Topic,Sentence
No,His powerpoint is really good.  It is really easy to understand quickly and doesn't distract you from what he is saying but still adds to the understanding of what he is talking about.
No,"Spoke quite fast, at times difficult to comprehend."
Structure,Gives numbers meaning.
No,Change in tone
No,Pictures
Structure,Create action plan in ending to give lasting impression
No,"His passion is obvious when he talks due to his tone, gestures and general confidence and enthusiasm. This makes listeners want to be enthused."
No,Slides are crisp and clean with the same style throughout. They aren't distracting but give power to the words being said.
No,Fun introduction.
No,The pace is quite fast and he is a bit stuttered.
No,"At the ending, he created two ways communication with the audience. That's impressive."
No,Makes good use of gestures and body and positive language.
No,"Gets right into it- no ""hi my name is... and I'm speaking to you today about..."""
No,wow amazing
No,His monotone voice made it quite boring to listen to in some places.
No,"- Presenter does not make it clear at the start as to what he is talking about/his main points.
- Didn't know the material that well."
No,Good graphical images should be used
No,Visual statistics. Good method
No,Excitement and enthesis
No,Shows the speed of voice
No,"Very engaging, use of correct and appropriate visual slides."
No,no idea what he's talking about
No,40% using internet in 2014
No,"No was fast and broken up, hard to understand at some stages. However, relevant and interesting content."
No,fast spoken
No,"easy going, friendly presentation that keeps you engaged"
No,needs to slow down in this section
No,engaging audience making them think helps to keep attention
No,inspiring
No,Cool graph
No,"good, makes it relatable to to the audience by talking about what they know and including them, saying we"
No,good visual
No,not the best closing?
No,talking very fast
No,clear and understandable figures
No,not a very clear No
Structure,ends on a strong point
No,Nice flowing powerpoint slides
Structure,Starts by telling a story (grabs audiences attention)
Structure,Lists examples to back up his opinions
No,Variation in voice
No,Too much variation in voice (sometimes too loud / sometimes too quiet)
No,Shoulders too high (causes him to speak too quickly)
No,"Mumbles / ah, ah ,ah (should just pause to regather his thoughts)"
Structure,"Repetition of ""I want"", adds structure to the speech"
No,Makes eye contact with the audience
No,Aspirational but optimistic speech
No,"He uses simple cartoon illustrations to convey his message, including facts. Also has a strong finishing statement."
No,"Moved around too much, which was distracting. But his slides were simple and effective and provided good video aid. I should try to make my slides similarly effective."
No,BAD: mumbled and spoke too fast
No,I enjoyed his visuals because of the simple nature and fun to look at with bright colors
No,Numbers are broken down and represented in a picture that are almost understandable without an explanation.
No,Graphs are used create interest in the introduction
No,Talks very quickly at points which distracts from the message.
No,Engages the audience through rhetorical questions
No,"Very engaging, simple but informative and visually appealing graphics"
No,Asking questions to get people thinking towards the end of the presentation.
Structure,"Based on one of the tutorial videos, the ending and beginning were done well as he introduced it with enthusiasm and left the audiences with an impression."
No,"The speaker seems nervous; he talks fast, stammers at times, moves around a lot which deters from what the speaker is saying."
No,No are clear and support ideas well
No,I feel that the presenters voice is some what illegible and perhaps he hasnt practised it enough?
No,"The No are clear and simple, and add interest to the speech."
No,Monotone in speaking bored the audience
No,He is very passionate about the topic which is evident and captivates the audience
No,Hes got a lisp. He sounds funny.
No,Great posture and speed
Structure,Clear start but not strong.
No,Conservational tone making it disengaging.
No,No helping to keep interest.
Structure,No clear structure to the speech. Points are not fluid and hard to follow.
No,"Calm, collected and enthusiastic. Clear speaking and therefore keeps the audience focused"
No,"Good final stance, leaves audience with strong message"
No,tone makes it disengaging
Structure,GOOD: I thought the introduction and the conclusion were quite strong. The introduction started with an exclamation and the conclusion of encouraging the audience to be involved in the future.
No,BAD: I that Berners-Lee was too erratic in his gestures and his general movement
No,GOOD: I liked the consistent use of the logo to prove different points
No,talking fast
No,nice and simple good imagery
No,could take more pauses in speech
No,Hand gestures are a little distracting and he's speaking too fast to fully take in what he's saying
No,High quality graphics
No,"The guy obviously isn't an easy speaker, yet he still put on a decent talk. Practice makes perfect."
No,Taking about what the interet is to us or what we want it to be was very intersting. It make me think about what I though the internet was
No,"Seems a little uncertain, repeats himself a little. Lacking in confidence??"
No,"says uhh too many times already, it is very distracting"
No,"keeps losing his stance and pacing, also using hand gestures that aren't necessary"
No,"Uses animations to display the data he wants everyone to see, very effective"
No,very interesting talk. Made interesting by the passion that he has for this topic.
No,Boring beginning but makes it better by asking question. Talks about himself so not very relatable
No,Good use of statistics and No. He connects the numbers with his point
No,Speaks a little too fast and is very fidgetty with his movement. Stance is good.
Structure,"Although he covers too many topics at a time, the variety means he can connect with more audience members. Not very structured talk"
No,"Has uhms and ahhs, not enough silence!"
No,Speaks in an unusual manner
No,To attract audience
No,Speak slowly and clearly
No,His tone of voice and his speech clarity was poor. He tends to stutters and seems like he is not confident on his presentation
Structure,This one really got me. Someone in my family has breast cancer right now and she really creates a sense of urgency with needing to develop more effective treatment.
No,"Good - Clear introduction, introducing herself and her passion."
Structure,Clearly stating what the slides are about and how it relates to the subject she is talking about
No,"When she looks to refer to the slide, she makes sure that she looks back to the audience."
No,She clearly delivers the speech with good hand gestures and good body posture.
No,very clear No of the ideas
No,good gestures
No,explains diagram
No,She emphasised the important words to capture and maintain attention
No,"She made sure the words she was using were the the most accurate words, i.e. very varied vocabulary."
Structure,Her speech was put into words that anyone could understand and very well explained.
No,"engaging and informative, with effective slides and she engages the audience well"
Structure,Set up what the speech will be about in the first 10 seconds
No,Hand gesture on point
No,Introducing yourself fully and addressing why you are giving your presentation is a good way to deliver the opening of the presentation as the audience will understand the purpose of the speech from the beginning.
No,Very complex visuals - hard to understand
Structure,Very boring intro
Structure,relation to us
Structure,lots of complex terms
No,Good eye contact
Structure,Effects of chemo - both positive and negative
No,Positive solution change in tone reflects important point
No,visuals hard to understand
No,explains in laymans terms
No,good gesture
No,emphatic ending
No,Referring to the material yet still mainatining eye contact with the audience
No,Inclusive of audience.
No,her stance and gestures are exactly how the other video instructed and it does make her appear more professional and impressive
No,Use of hands to encourage to look at images.
No,Thought the use of hand gestures with the visuals was effective. It highlighted the main points she wanted to get across and kept the audience engaged.
No,Amazing!
Structure,"Well structured, logical flow"
No,Hand gestures.
No,Uses stand out words
No,Good video.
No,Explains hypoxia like a story of cells which makes it easier to follow than scientific jargon.
No,Good gestures that aren't too distracting but keep things open.
No,A good tempo is pleasing to hear.
No,"She is a great speaker. Somehow, she looks very interested in her topic and knowledgeable. This makes the audience trust her and want to listen to her."
No,Referencing and explaining the slides rather than using them as a cue system.
No,Introduction and explanation of terms before their repeated use.
No,ted ed is so cool
No,"Uses lots of gestures and gas good body language, Her vocabulary is also very good, choosing the right words for the right circumstances."
Structure,Good gesturing and point to allow visuals to her speech
No,Good spacing and silence of the sentence
No,Good use of facts
No,"There seemed to be too much scientific information, which lost most people's attention."
No,good hand gestures
No,inspirational
No,"Strong, confident speech. Rehearsed and relevant content. Easy to understand and not fake/cheesy"
No,good hand gestures
No,engages well with the audeince
No,quite fast needs to slow down
Structure,lots of information
No,Off to a boring start
No,"good makes sure even if what she is talking about is complicated, it can be understood by all"
No,not pausing
No,good visual aid as not much listed/going on
Structure,lots of technical words in introduction
Structure,not a very engaging introduction
No,engages the audience
No,now uses lay mans terms
No,good posture
Structure,ends well
Structure,"Starts off with simple introduction, in all honesty not as captivating as Abraham"
No,"Strong stance, good posture"
No,Uses a picture/diagram to aid her presentation of ideas
No,Slows down and emaphasises her words when delivering her key point
No,"Interacts with audience, ask them to imagine"
No,Great movement of hands
No,"Great body language, low shoulders, standing up tall"
No,Well timed pauses and good variation in tone of voice
No,Refers to the information on the slide
No,Clarifies definitions so non-academics can understand
No,Effective use of a one slide powerpoint
No,Best speech of the four examples
No,Uses an analogy. Breast = ball
No,A complex idea is made simple through thorough explanation and the use of analogies. Providing a clever way to treat the cancer.
No,"It was interesting because she made it easily understandable and relatable. for example saying ""we"" and using simple ideas like saying the cancer is like a ""ball"". I have learned from this to make my presentation engaging I should follow similar ideas."
No,use of diagram helped explain it and her No was also on point
No,She speaks well and encourages intrigue while listening to the presentation
Structure,She uses her title as a headline and talks about every word.
Structure,The introduction goes straight into details and does not give an outline
No,Uses hand gestures to expands on the ideas of the power points
No,Uses informal language to connect to the audience
No,"Introduction, wasn't that engaging."
No,"There was a pause, emphasizing and changing of voice tones during her speech which does help with gaining attention and make the presentation to be more exciting and interesting."
No,Her posture and sights connection with the audience were a really good example of that confidence tutorial video.
No,"clear tone and voice. Good gestures and use of No for support. Despite the intro being in the format not recommended, it was delivered in a manner which was good."
No,I think she explained her point very well both technically and in layman's terms.
No,She explained the complex science in a way that was simple and easy for anyone to understand.
No,Introduce yourself before the presentation. Use body language to enhance speaking
Structure,"Strong finish, clear, to the point."
Structure,Bit too much scientific language - not everyone will understand what shes saying
Structure,Not a strong opening- started with an introduction of herself rather than an engaging story.
No,"Pointing out information unnecessarily frequently on the visual aid which is distracting, rather than relying on her audiences engagement to make the connection to her speech."
No,"Delivered well, but wasn't as engaging as it could be due to simply being a No of information."
Structure,"Good brief explanation, keep it short and sharp to keep the audience engaged."
No,"Not a very engaging introduction, but overall was good"
No,BAD: Too many scientific words and concepts delivered too fast - I stopped trying to listen and understand after two minutes and barely remembered anything of what Saggar had said at the end.
Structure,explains the concept very clearly
No,her use of hand gestures in acting out what she is saying makes the speech a lot more interesting.
No,clear No and tried to make it understandable for people with no medical background
No,Hand gestures
Structure,Hopefully she's successful.
No,"Nice use of the visual aid of the picture
Told it like a story, pointed stuff out"
No,Made a complicated scientific topic interesting for someone who doesn't understand it by projecting her own passion into the topic.
No,"Good No and hand gestures to the audience, getting across the important ideas"
No,image helped the audience to understand a complicated issue in a simpler way
No,Good explanation made speech easy to follow. Perhaps not enough information on her solution
Structure,Interesting topic
No,Good use of gestures
No,Good eye contact and engagement with the audience
Structure,Good finishing point
No,Put important details in the slides
No,Lots of gestures
No,"Lots of hand gestures, and pauses for effect"
No,Engaging
Structure,The story aspect made the speech considerably more engaging than it may have otherwise been.
No,ok
No,shows it all using an analogy
No,Engaging beginning
No,"GOOD: Putting pictures of things that didn't seem to relate to each other on the slide and then showing during the course of the presentation how they worked together was an excellent way for the audience to interested in the talk - ""How does lego and chess relate to computers?"""
Structure,Engages you from the beginning using analogies and then explaining how the random images relate together
No,GOOD: Only a few statistics used - the audience wouldn't be able to appreciate lots of statistics and not using any statistics would probably be boring.
No,The pace is a little bit too fast
Structure,"Story to start, gaining interest."
Structure,good and short gets the point cemented more clearly
No,Be humour
Structure,BAD: Is starting the presentation with a story too adrupt?
No,BAD: Maybe too much gesturing?
No,"Starts with story to engage audience and make topic not seem boring, gestures are used, relaxed confident stance."
No,Well rehearsed and personable
No,"Pauses, hand gestures, eye contact, change in pace"
Structure,"I like how it starts with a story, includes joke and analogies that we (as an audience) can relate to, (e.g. chess)."
No,Starts presentation with an anecdote.
No,Starts off with interesting story rather than boring introduction
Structure,starts with a story
No,very engaging begin
No,engaging beginning
Structure,Starts with his little anecdote
No,He is speaking in a rushed tone.
No,refers to slide but also always looks at audience
No,Eye contact is maintained with the audience
Structure,using an anecdote to start immediately engages the audience and keeps them listening
Structure,I like how he structured his speech with an initial opening story to grab the audiences attention and lead them to his main idea
No,Lots of pictures on one slide - makes it unclear what point is being made
No,"Talks clearly with confidence, but talks a bit too fast."
No,"The individual items on the slide were good as they were visual representations of what he was saying, allowing audiences to visualize as they listened without being distracting, however the slide itself was too busy with too many things on it and the tree background."
Structure,"Clear speaking, but there seems to be too much information on some slides at one time or another."
No,Refers to where the information can be found on slide - this seems unnecessary but does help audience
No,this shows how short pauses in speeches don't seem awkward at all!!
No,changes tone when talks about more serious topics
No,"Varies pitch, tone, speed for better No"
No,"only had 3 minutes, yet used his time wisely and didn't rush"
No,Giving numbers meaning with analogy
No,Passionate about speech which adds interest. Gives problem and solution which makes his material more intriguing
No,"Silence between points, emphasising them."
No,interesting story and captivating opening
No, - the use of a story at the start of the presentation made it engaging.- Knew his material well.- Good amount of hand gestures.- Good variation in voice.
Structure,Starting with a story helps to engage the audience.
No,Use hands to emphasize point
No,His hand gestures help sustain audience attention.
No,Simplification of jobs - makes it easier for all to understand but may be insulting to others
No,"Messy, and hard to understand"
No,Uses hand gestures to emphasise ideas
No,Only uses one slide with very few words for his entire 3 mins
No,Dumbs down content a lot
No,He is only looking in one direction - not at camera - do not feel involved
No,Good gestures with hands
Structure,start with a stroy
No,Rhetorical questions
No,makes use of metaphor
No,Gives his stats in context
No,Clear and interesting. good pace a tad fast if anything
No,"Good humor, well received by crowd."
No,good hand gestures
No,"engaging, funny and informative. The use of good body language, pauses, humour and examples to convey ideas with ease to listener."
No,Relationship between topic and everyday things ie. chess
No,engaging No
Structure,Anecdotes
No,Uses tree metaphor to expand idea
Structure,It's interesting how he compares it to something else
No,How computers are better than humans and how this translates to his topic - comparison
Structure,at the end brings everything back together
No,too much pointing
No,I enjoyed his presentation because he is calm when he speaks and isn't condescending.
No,good to use the chess example so people can visualise what he's talking about
No,Quite and interesting concept. Using hand gestures to display the significance
No,Pauses for effect
No,"Cool presentation, engaging content and well spoken"
No,this ones is actual so good
No,Good variation in speed of No
No,Using too much hand gestures now and is becoming a distraction.
No,Very clear and concise No
No,almost too much gesturing. Good use of the lego analogy and nice slide presentation
Structure,good analogies which makes the talk better to understand
No,makes good eye contact
No,"The good thing about this presenter is that he has taglines. He opens his presentation and closes it with remarks. So, he put things clear for the audience to understand. What I think is lacking is the slide. The background picture is covered with other overlapped pictures. This is not eye welcoming."
Structure,Simple ending that leaves people feeling underwhelmed
No,strong ending
No,"Real case study on trees, I found very interesting and left an impression"
Structure,Clear opening
Structure,"Ends with a strong, single message for the audience to remember"
No,The analogies help convey ideas which are complicated in a simple easy to understand manner
No,"Likened a computer's skills at chess a computer's ability to solve medicine issues, therefore he used the technique of making complicated issue simple by using an analogy."
No,The simple power point is useful to the audiences understanding
Structure,lego analogy on point
No,He used a story and things people already know to explain what he does which engaged you
Structure,"His use of stories was really engaging, and using different analogies made it more relatable for people from different fields."
No,He was passionate about his topic which made it easy to listen to his ideas.
No,"Was not a fan of this example, found it hard to keep engaged"
Structure,The tree link was good as it tied his points together.
No,I found there was a little to much hand action which distracted from his points.
No,"surprisingly interesting, relevant to study. He was a good speaker, keeping me engaged. Short and informal, yet factual and insightful"
No,"He had a strong opening statement, however I didnt like it when he said stuff like ""as shown on the slide"""
No,"Powerful introduction that grabbed the attention of the audience by starting with, ""I want to tell you a story..."" used hand gestures, spoke clearly and involved the audience"
Structure,He gave a single sentence to sum up his speech which was really strong.
No,He was able to make the audience to visualize the point that he was trying to point quite clearly by not only using the image but also by comparing to things in life that we can picture of.
No,Wow what a cool analogy
No,This speech was short but delivered the necessary information. Audience engagement was high due to the No of the speech from the speaker being very good. It was also high due to the speech following a structure that was easy to follow.
No,"Strong relateability to a well known topic, and used enthusiasm and confidence to boost the audiences attention effectively as well as other No techniques"
No,He had one slide with no words!
No,Super interesting to listen to even though there is no visual aid
No,So he wants to use the alogorims that are used for chess to make chemistry easier???His No was to informative and to the point
No,"Used the minimal on the slides, only to support what he was saying"
No,Deliver knowledge to audience
No,"She kept saying I think, which I didn't think was the most assertive way she could be communicating points or ideas."
No,Less wordsImagesMoving imagesMore images than wordsUse words in images
No,Awesome!
No,i like this one
No,Uses a powerful speech to convey her point. Using research and opinion together to help us understand her viewpoint.
No,The No were limited and were very simple to understand making for an enjoyable presentation
No,"This presentation really lacked and intruguing visual aid, plus her constant movement as very distracting"
No,Appropriate movement while talking. Try to relate to something is popular(well-known)
Structure,GOOD: Having an unusual title interests the audience - they would want to have this title explained as part of the presentation
No,The speaker was very confident and had obviously done a lot of practice.
Structure,Interesting title that encouraged people to want to listen
No,good No
No,The swaying was distracting
No,GOOD: Having animations is a good idea - they interest the audience and help to explain concepts easily.
No,BAD: I think Blakley paced around too much - it was rather distracting
No,"Her movement across the stage was quite distracting throughout, also when she kept turning to look at the screen with the pointer. Very distracting for the audience"
No,Use of changing computer image slightly distracts from what she is saying.
No,Gives examples of media
No,BAD: Blakley pausing to look at her powerpoint control to change slides broke the flow of the presentation
No,BAD: Blakley pausing to look at her powerpoint control to change slides broke the flow of the presentation
Structure,"Engaging movement while talking, also related to something the audience is familiar with."
No,Love the pictures
No,Starts with an attention grabbing question
Structure,Starts off with a strong thought which could be controversial but then joins the dots for clarity
Structure,She's doing the thing where you connect the dots for the audience
Structure,boring start
Structure,Outline argument
No,I strongly disagree with this woman.
No,too much going on on screen - distracts from what she's saying
Structure,I like how she opens her presentation with the argument she is going to convey to the audience so they have a clear idea what the presentation is about from the beginning. I think this is good structure.
No,Have a strong topic that people are interested in - start with a wild proposition
No,The swaying was a little distracting and so was looking at the notes and trying to change slides ect. could be fixed with more rehearsal.
No,The slides moving while she is talking is slightly distracting
No,Lots of changes in power point - to many points to draw attention to
No,"Not much writing on slides, just photos which means that the slides are not dividing the audience' attention from the speaker"
Structure,outlined what she was gonna talk about
No,"They are very effective No- simple, easy to understand, minimal"
No,saying is annoying
Structure,The introduction is interesting and creates the talking points of the speech
No,Stand out words
No,"many No used. Simple slides, which add to keeping speakers content engaging, which without it would not be so."
No,simple and effective aids
No,pauses
No,Animation keeps people interested.
No,Good visual aid. Visualization
No,Try to manipulate peoples thinking to make them think twice about their values and how they align - makes people more interested
No,too much going on.
No,good figure
No,Pretty cool
No," - She keeps moving side to side, which is distracting.- Boring presenter."
No,Analogy
Structure,Relate to media and their influence - use example that people know
No,"Relates a part to 'Mad Men' which helps some audience members identify with material, whilst leaving others slightly confused as they cannot relate"
No,Too much boring content
No,linked to the wider world.
No,Swaying from side to side - off putting
No,"Sways side to side a lot, a bit distracting. Also perhaps too much gesturing"
No,sways her hips alot
No,engaging finish
No,"Could have a better posture, moves around nervously a bit"
No,She is swaying side to side instead of standing at one point. This is becoming a distraction.
No,Too much swaying
No,Swaying
No,Great mind map and other No
No,She steps from side to side and it is extremely distracting.
No,same theme throughout
No,very visual that distracted from the talking
No,Lots of swaying/side stepping which is quite distracting
No,good use of varying voice to keep audience engaged
No,Nice simple slides
No,She changes her tone to show enthusiasm.
Structure,Starts with an interesting title so that people are curious about what she's going to say.
No,Very good use of graphs to convey ideas
No,very monotone
No,great No
No,"Blah, blah, blah, not enough variation in pace or tone"
No,Not a lot of connection between the visuals and the speech
No,Changes in pace keep it interesting and emphasises points.
No,"Walking around a little, meaning she seems like she is engaging with different parts of the audience"
No,"Speech is fluent and well prepared creating further engagement, in addition to the original interest of the topic."
No,"Blah, blah, blah"
No,Personal opinion - makes it more interesting - more connection
No,"Whilst clearly committed to her argument, her linguistic choices often reflect a timid approach which comes across as somewhat unreliable."
No,Uses two colours in visual presentation.
No,Graphic is very confusing to understand - draws attention away from point
No,Quite engaging visuals however potentially a bit busy and hard to fully take in dialogue
No,effective figures
No,doesn't look at the audience much
Structure,No clear structure
Structure,No key point to follow
No,Wild assumptions - get audience re-interested. Change of tone projects important point
No,"The presentation is clear, big and easily to visualize and understand for each point."
No,"idk bout thiskinda got bored, as in like this is old news"
Structure,Tries to put your feet in the media's shoes
Structure,What is the point that the speaker is trying to convey?
No,power points are very effective
No,"Not giving the audience much eye attention, keeps looking to the floor or to the side"
Structure,Relate points to reasearch
No,visuals were good though
No,Make presentation via questions and pics
No,Rhetorical question
No,"Her speech is fantastic. One advantage though is the title too. The title of the presentation is already exciting. So, by speaking about it, she must make it more interesting. The way she decipher the topic one by one is in good order too."
No,"Living in a false reality, (social media is not all about gender stereotyping)"
No,Using the word 'lame' gives more emphasis to her point.
No,"Her speech was relatable and told I story. My favorite part was when she talked about how advertising is now working on social media, because as a social media user I could relate. My take home from this video is that the audience will be more likely to be interested if you are relatable."
No,"Engaging and well rehearsed speaker, clearly was confident in the topic. However dragged on a bit at the end."
No,Good use of statistics and she ensured the audience understood these statistics or facts by using personal examples
No,Through the visual representation was relevant to the points
No,solid ending
No,The pictures she used helped to keep the audience engaged.
No,Good use of No
No,Sucks to be a guy
Structure,references to TV shows are v effective
No,"She spoke in a very conversational way, so it was easy to listen to and relaxed."
No,"Speaker is trying to create gender stereotyping, not solve it"
No,"Use of power point effectively and simplistically to engage the audience with the topic, and how it is changing."
No,"There was quite a lot of No, it was practically like a story"
Structure,Linking slidesTelling a story
No,"Great No, but really hard to listen, being so fast paced"
No,This talk is interesting and the No he employs are very strong however I felt a bit lost in the middle about what the point of his talk was
No,His powerpoint is really good.  It is really easy to understand quickly and doesn't distract you from what he is saying but still adds to the understanding of what he is talking about.
No,tone makes it disengaging
Structure,GOOD: I thought the introduction and the conclusion were quite strong. The introduction started with an exclamation and the conclusion of encouraging the audience to be involved in the future.
No,Monotone in speaking bored the audience
No,Need to slow down a bit
No,very engaging intro
Structure,Gives numbers meaning.
No,Fun introduction.
No,Boring beginning but makes it better by asking question. Talks about himself so not very relatable
No,"Gets right into it- no ""hi my name is... and I'm speaking to you today about..."""
No,talking very fast
No,Not a very interesting intro.
No,Nice flowing powerpoint slides
No,"Seems a little uncertain, repeats himself a little. Lacking in confidence??"
Structure,Starts by telling a story (grabs audiences attention)
No, - Presenter does not make it clear at the start as to what he is talking about/his main points.- Didn't know the material that well.
No,"Very good use of No, the moving diagrams and images allows us to picture the ideas he is talking about in his presentation."
No,Graphs are used create interest in the introduction
Structure,Clear start but not strong.
No,Talks really fast - hard to understand
No,"says uhh too many times already, it is very distracting"
No,Rhetorical question keeps audience engaged.
No,Used words that audience can relate to i.e. cool.
No,Visual statistics. Good method
No,good visual
No,Very easy graphics to understand
No,Conservational tone making it disengaging.
No,Speech is good. Use of change in tone to give emphasis
No,40% using internet in 2014
No,"Nice use of colours, attracts the audience."
No,Good use of statistics and No. He connects the numbers with his point
No,Numbers are broken down and represented in a picture that are almost understandable without an explanation.
No,Hes got a lisp. He sounds funny.
No,"Spoke quite fast, at times difficult to comprehend."
No,clear and understandable figures
No,Using statistical numbers to reinforce the idea
No,Makes good use of gestures and body and positive language.
No,Speaks a little too fast and is very fidgetty with his movement. Stance is good.
No,"awesome slide animations, makes you want to watch it."
No,"easy going, friendly presentation that keeps you engaged"
No,"Very engaging, simple but informative and visually appealing graphics"
Structure,Lists examples to back up his opinions
Structure,"Advantages and disadvantages, looks at both view points"
No,Words where too small and too compact to read.
No,Good graphical images should be used
No,Variation in voice
No,Speak slowly and clearly
No,no idea what he's talking about
No,Too much variation in voice (sometimes too loud / sometimes too quiet)
No,Talks very quickly at points which distracts from the message.
No,talking fast
No,"keeps losing his stance and pacing, also using hand gestures that aren't necessary"
No,Hand gestures are a little distracting and he's speaking too fast to fully take in what he's saying
No,"Uses animations to display the data he wants everyone to see, very effective"
No,"The speaker seems nervous; he talks fast, stammers at times, moves around a lot which deters from what the speaker is saying."
No,Shoulders too high (causes him to speak too quickly)
No,"His passion is obvious when he talks due to his tone, gestures and general confidence and enthusiasm. This makes listeners want to be enthused."
No,speaks too fast no change in tone
No,High quality graphics
No,"Moved around too much, which was distracting. But his slides were simple and effective and provided good video aid. I should try to make my slides similarly effective."
No,what a twitchy guy- passionate though
No,Bad- stuttering and using words like umm.
Structure,"Although he covers too many topics at a time, the variety means he can connect with more audience members. Not very structured talk"
No,"uses um, no silence"
No,"His body posture looks uncomfortable and uneasy, which gives a bad vibe to the presentation."
No,"Mumbles / ah, ah ,ah (should just pause to regather his thoughts)"
No,His tone of voice and his speech clarity was poor. He tends to stutters and seems like he is not confident on his presentation
No,His volume is changing quite often and he's talking quite fast.Makes you think that he's not 100% comfortable or confident
No,I feel that the presenters voice is some what illegible and perhaps he hasnt practised it enough?
No,He is very passionate about the topic which is evident and captivates the audience
No,not a very clear No
Structure,does not make clear points
No,Shows the speed of voice
No,Great posture and speed
No,"Slightly hard to understand the speech, however he presents confidently and has an effective use of the 5 s's"
No,I enjoyed his visuals because of the simple nature and fun to look at with bright colors
No,No helping to keep interest.
Structure,Warnings to the public or risks and benefits
No,Excitement and enthesis
No,Change in tone
No,too much arm movement
No,It is obvious he was unrehearsed for this speech as he stuttered while trying to remember correct lines.
No,"The No are clear and simple, and add interest to the speech."
No,"Has uhms and ahhs, not enough silence!"
No,nice and simple good imagery
No,well delivered point
Structure,No clear structure to the speech. Points are not fluid and hard to follow.
No,Too many colours in presentation.
No,Pictures
No,"Very engaging, use of correct and appropriate visual slides."
No,"good, makes it relatable to to the audience by talking about what they know and including them, saying we"
No,"Calm, collected and enthusiastic. Clear speaking and therefore keeps the audience focused"
No,needs to slow down in this section
No,The pace is quite fast and he is a bit stuttered.
No,could take more pauses in speech
No,Speaks in an unusual manner
No,Slides are crisp and clean with the same style throughout. They aren't distracting but give power to the words being said.
No,boring
No,effective slides with sufficient information without making them too distracting
No,"Possibilities - what they want, gets viewers inspired that it could happen"
Structure,"Repetition of ""I want"", adds structure to the speech"
No,No are clear and support ideas well
No,"Bad - Hand gestures are moving way too fast, therefore are becoming a distraction."
No,Makes eye contact with the audience
No,engaging audience making them think helps to keep attention
No,fast spoken
No,monotone voice left me bored
Structure,ends on a strong point
No,No gaps in speech - very full
No,Asking questions to get people thinking towards the end of the presentation.
No,Engages the audience through rhetorical questions
Structure,Create action plan in ending to give lasting impression
No,"He made excellent points but he did stutter and mumble a bit, so at points it sounded a bit disjointed."
Structure,He summarised his points really clearly throughout.
No,"Good final stance, leaves audience with strong message"
No,Aspirational but optimistic speech
No,"Memorable ending, sharing his passion to the audience by asking them a favour."
No,not the best closing?
No,BAD: I that Berners-Lee was too erratic in his gestures and his general movement
No,GOOD: I liked the consistent use of the logo to prove different points
No,inspiring
Structure,he leaves a lasting idea
Structure,The conclusion has a call to action without explanation as to how it could be done.
No,"At the ending, he created two ways communication with the audience. That's impressive."
No,"No was fast and broken up, hard to understand at some stages. However, relevant and interesting content."
No,"Some times was hard to understand what the presentation was talking about, could improve the way the speech was presented"
No,Cool graph
No,His Speech is fragmented and difficult to follow because he joins together his words
No,"The guy obviously isn't an easy speaker, yet he still put on a decent talk. Practice makes perfect."
No,His monotone voice made it quite boring to listen to in some places.
No,"He uses simple cartoon illustrations to convey his message, including facts. Also has a strong finishing statement."
No,BAD: mumbled and spoke too fast
Structure,"Based on one of the tutorial videos, the ending and beginning were done well as he introduced it with enthusiasm and left the audiences with an impression."
No,Taking about what the interet is to us or what we want it to be was very intersting. It make me think about what I though the internet was
No,very interesting talk. Made interesting by the passion that he has for this topic.
No,To attract audience
Structure,This one really got me. Someone in my family has breast cancer right now and she really creates a sense of urgency with needing to develop more effective treatment.
No,"She made sure the words she was using were the the most accurate words, i.e. very varied vocabulary."
Structure,Set up what the speech will be about in the first 10 seconds
No,Use of hands to encourage to look at images.
No,Amazing!
No,ted ed is so cool
Structure,lots of information
No,She speaks well and encourages intrigue while listening to the presentation
No,She explained the complex science in a way that was simple and easy for anyone to understand.
No,Introduce yourself before the presentation. Use body language to enhance speaking
No,"Not a very engaging introduction, but overall was good"
No,BAD: Too many scientific words and concepts delivered too fast - I stopped trying to listen and understand after two minutes and barely remembered anything of what Saggar had said at the end.
No,Made a complicated scientific topic interesting for someone who doesn't understand it by projecting her own passion into the topic.
Structure,Her speech was put into words that anyone could understand and very well explained.
No,clear No and tried to make it understandable for people with no medical background
No,Hand gestures.
No,"There seemed to be too much scientific information, which lost most people's attention."
No,Very complex visuals - hard to understand
No,visuals hard to understand
No,visuals hard to understand
Structure,Very boring intro
No,Off to a boring start
No,"Good - Clear introduction, introducing herself and her passion."
No,#NAME?
No,"Introduction, wasn't that engaging."
No,Introducing yourself fully and addressing why you are giving your presentation is a good way to deliver the opening of the presentation as the audience will understand the purpose of the speech from the beginning.
Structure,lots of technical words in introduction
Structure,"Starts off with simple introduction, in all honesty not as captivating as Abraham"
Structure,Not a strong opening- started with an introduction of herself rather than an engaging story.
No,"Strong stance, good posture"
No,"clear tone and voice. Good gestures and use of No for support. Despite the intro being in the format not recommended, it was delivered in a manner which was good."
No,her stance and gestures are exactly how the other video instructed and it does make her appear more professional and impressive
Structure,"Well structured, logical flow"
No,A good tempo is pleasing to hear.
No,good hand gestures
Structure,not a very engaging introduction
No,Great movement of hands
No,Hand gestures
No,Inclusive of audience.
No,"Interacts with audience, ask them to imagine"
No,engages well with the audeince
