Topic,Sentence
No," Like for this guy. So this guy's having a, he's not having a good day. He's having a rage reaction, and without going through all of these things, just if you want to study this, you can, but something didn't match up with his expectations, okay? That's where most anger comes from."
No," there's a real wiring diagram and a real chemical messaging system. So anxiety, stress, and worry are interactive, they're bidirectional. If you have a tendency to be anxious, that emotional brain is gonna be pumping out more messages of, ""Look out."""
No," and it's gonna send messages back and they can get into a real, kind of a reverberating circuit. All these parts of the brain are chemically sensitive, and of course in medicine, typically we try to chemically manipulate these things if somebody's got a real anxiety disorder."
No, We're not talking about anxiety disorders which where the anxiety level is just cranked up high in spite of the thinking here. But we try to manipulate that with medications. Those of us who have studied nutritional medicine know that there are naturally occurring molecules. That there are molecules in our foods
No," that underlie our reactions, so. And that's gonna be our focus tonight, is about thinking. For any of you who have any doubts that the mind and body are really connected and create physiology, just a real quick, this is biofeedback data. And to make it simple, this is muscle tension. This is electrical response in the skin."
No," This is fingertip temperature, which is a sign of either stress or relaxation. This nice, even white line here is respiration. So this guy is sitting in a biofeedback therapist's office with a bunch of sensors hooked up to his muscles and his fingertips to measure the way that his circulation responds to stress."
No," You can see it best here, what happens to his breathing. It just goes to pod. It's just very shallow, very irregular. Stops breathing into his abdomen. His skin temperature, actually this reversed. It should go decrease. His muscle tension goes up."
No," ""Just think about coming down the stairs ""and seeing your car keys."" In a person who's developed a phobia, that would be enough to stimulate a huge reaction. Now, if the person then can learn to breathe more deeply and to induce a relaxation response, which most people can, while he's imagining that, go back to the calm physiology."
No," and how much we respond to just thinking about things. So there's a lot, how many have heard the term neuroplasticity? Has that been talked about here? So it doesn't mean your brain is made of plastic. It means that your brain is changeable, and there's been a lot of literature lately"
No," And what happens over time, what they found was, in these people, that watching a device called a functional MRI, which can show us what parts of the brain are active while people are thinking, that it was the part of the brain in the occipital cortex that processes visual information,"
Environment," Isn't that astounding? So part of Jeffrey Schwartz at UCLA, his research has been with people with ObsessiveCompulsive Disorder, which has been traditionally a very difficult condition to treat, and finding very structured, repetitive exercises,"
No," at the table like this and looks like a cretin and spends all of his time in his room and is barely human, and he was a brilliant, loving little kid. He's got testosterone poisoning, which is again, seriously, (audience laughing) is again, killing neurons in his brain that have to do with emotional communication."
No," in thinking about how we think. Thinking about how we worry. That if the blind can learn to see, then the anxious should be able to learn to relax. I would think it's much easier to learn to relax than it is to see when you've never seen before. I may be wrong, but this is kind of at the center of it."
No," If our brain is capable of that kind of learning, then what do we need to do in order to teach it? And this is a great term that comes from Jeffrey Schwartz selfdirected neuroplasticity, which is fascinating because you're using your own mind to change your own brain. Really an interesting concept."
No," is ""How to Avoid Natural Selection,"" which is (mumbles). So this is ultimately, I mean, our greatest selfcare tool. So let's talk about how we can think about this, and this is how I'm thinking about it now. I'm thinking that there's good worry and bad worry. And by that, I mean good worry is functional worry."
Environment," ""I'm worried about this project. ""I'm worried about where to go to school. ""I'm worried about whether I'm gonna be able ""to pay for my kid's education."" Real stuff to worry about. It's not that there's any lack of real stuff to worry about, but stuff that, if you asked yourself, ""Is it likely"
No," Doesn't go anywhere. Doesn't lead to solutions, scares you. In a sense, it starts to become a type of autosuggestion, right? 'Cause you're thinking about this thing all the time, you're scaring yourself. You're sending out those fear pathway and that makes"
No," So there's ways, ordinary ways to access more wisdom. Talk to people that you think are wise. If you have wise friends, if you have wise teachers, see if they'll talk to you and you can share your problem, listen to 'em, consider what they say. That's one good source of wisdom. This stands for what would"
No," Jesus, Buddha, Dalai Lama, or Yoda do? So if you don't have access to a wise friend or teacher, this is a type of imagery technique. Think about what would somebody that you imagine is genuinely wise, what would they say in that situation? Remember Hillary Clinton got all kinds"
No," ""that has this wisdom."" Because there is a part of all of us that has a lot of wisdom. You know when it comes out? It comes out when your friend's in trouble. When your friend comes to you for advice 'cause they can't figure it out, right?"
No," And have you ever noticed how easy it is to give advice to your friends? Good advice, usually. And if it's a serious thing, you take time to think about it. You don't just give them a glib answer. You take some time and you think about it."
No," You go down as deep as you can inside yourself and you give them that wise advice. The thing is, it's probably easier for you to get to your wisdom than your friend if your friend is really frightened. Because when we are frightened, when we're anxious, when we're worried,"
No," and that blocks our access to our own wisdom. And that's why taking the time to go to actually do a relaxation practice, relax your body, shift your mind, imagine that you go to a place that's beautiful and peaceful and safe, so that you get out of that fearful loop."
No," You imagine, or you invite an image, of someone or something that's wise and loving, and that cares about you, whether it's someone or something you've ever met or something you just make up. You just imagine, you imagine what it would tell you or show you or do with you, and it's quite remarkable what can come"
No," from a meditation like this. Does that make sense to people? And so it's easier to do that for your friend because as much as you love your friend, you're probably not gonna be as freaked out as they are if it's a serious situation. We see this all the time."
No," and figure out their best option. While emotionally, they're feeling like a threeyearold. So, and it's very difficult for them to make the decisions that way. These kinds of techniques, if you start early and help them connect to a deeper level enough that scared child can really make a difference"
No," in terms of wise decisionmaking. So sometimes they give, your inner advisor will say something like this. ""The secret of living without frustration and worry ""is to avoid becoming personally involved in your own life."" This is definitely a good treatment for worry, okay? But usually, and that's not bad advice."
No," Here's how I think this thing kind of works. So if we go through this process of thinking about the worries, I actually have people in class write them down and then go through and separate them. I mean, it sounds mechanical. It's just using our ordinary intelligence."
No," So, and I'm gonna skip the whole argument here about whether or not that has a physical effect and the secret. Whether we just make something happen by changing our intention, and sometimes it seems that we do and sometimes we don't. But what does happen when people, in other words, some friend gets diagnosed with cancer"
No," and you are overcome with worry because you are just worried that she's gonna die, okay. Or be sick or go through some horrendous thing 'cause you care for your friend. That's a typically normal reaction. But you find yourself losing sleep and you're thinking about"
No," But now you start to say, ""Okay, instead of constantly imagining ""what I don't wanna have happen, ""I'm gonna think about what I would rather have happen, ""so I'm gonna start to imagine that she gets great treatment ""and that her cancer responds ""and that she comes through that treatment"
No," ""and she survives it and she comes out being ""an even stronger and healthier person. ""That if it's up to, if it was up to me, ""if I was God, that's what would happen."" And I don't know if that'll make any difference, but that's where I'm gonna put my energy, instead of putting my energy over here."
No," And whether it changes the outcome or not, way beyond me, but what it does do is that when people start focusing on that image, they become less anxious. You become less anxious because you feel like, ""I'm doing what I can be doing ""and I'm putting my energy into what I wanna see happen."""
No," Does that make sense? Without doing that, I was talking to a psychiatrist friend of mine the other day about this and he says, ""I think you're talking about intention deficit disorder."" 'Cause a lot of this comes down to whether how much control we can have about where we put our attention. So we put our attention in this case on a,"
No," if you're a prayer, if you're a religious person and you have a way of praying, then you pray for the outcome that you desire. If you're not a religious person, if you don't pray, you visualize or you intend it. You say, ""If it's up to me, ""I'm worried that my friend will succumb."
No," ""I don't want that to happen."" ""But the way that I'm gonna put my energy ""into her getting better, ""into imagining that she gets better."" And if nothing else, it'll help you. It'll help reduce your anxiety level. Sometimes a little, sometimes a lot."
No," so that you can be more effective in making changes that you want to, okay. And leading to an action that can actually resolve these problems. So imagery is a type of thinking, people often say that it involves your senses. Thoughts that you can see, hear, smell, feel, daydreams."
Environment," And it's just that we haven't had much education in using it, and runaway imagination is probably the primary source of modern stress. It's not just what's happening, it's what you think will happen to you, and how it will affect you"
No," You could work up pretty good anxiety. If I asked you instead to imagine that you go to a place that's peaceful and beautiful to you and that you just loved to be in, we have nothing to do and it's safe and it's the right temperature and notice what you see and hear and smell"
No," Let's do, would you like to do some imagery? Some guided imagery instead. We'll rest your left brain. We'll fan it off, cool it off. So I wanna share with you a fairly simple imagery that we call evocative imagery. How many of you have used guided imagery on purpose before?"
No," And give it a name. Think about what the name of it, and you could do a couple of qualities. I wouldn't do more than, sometimes it's unclear what you need more of. I feel like I need more, I don't know if it's courage or I need more strength,"
No," as you welcome the breath into your body. Just notice that you're literally bringing fresh energy and oxygen into your body. You can invite it to circulate and flow around your body in the bloodstream to every cell of your body. Brings fresh energy. And as you let the breath out, if you like,"
No," just let it be an invitation to your body, your mind, even your spirit, to just let go of any tension or discomfort you don't have to hold right now. And you don't even have to worry about whether you need to hold or what you can let go of. Just invite the body to soften."
No," and let yourself get comfortable there. And then think about a quality that you think you'd like to feel more of. The name of a quality, a particular quality or feeling state that you'd like to feel more of. And then let yourself go back in your memory to some time when you experienced yourself"
No," having that quality in yourself. Just let your memory go back to some time when you felt that quality in yourself. And some of you may not have a memory of having that quality, so let yourself go to some time when you witnessed somebody else expressing that quality or embodying that quality."
No, In your chest. Especially in your brain. Your spinal cord and your nervous system. As if every cell of your body were touched by a ray of this quality. As if you were a sponge and you were bathing in this quality and could soak up as much as you'd like.
No, And just let yourself rest in that for a few more minutes. And just take a moment before you bring your awareness back into the room. Just take a moment to review what's happened in this brief imagery experience. What quality you were looking to experience more of. Whether you have or not.
No," Did everybody hear that? It sometimes you get into such a stressful state and an anxious state, it's just. She's had experiences where relaxation, guided imagery have been very useful. And other times when she's been so stressed and so anxious and upset that she couldn't even get into it,"
No," Talk to a friend. This is a place where medications may come in. I find a double shot of Jack Daniels works really well. I wouldn't recommend it as a daily diet, but it certainly helps really get your anxiety level down, and you may be able then to relieve enough of the anxiety that you can pay attention to these things."
No," So there are many other things we can do, from medications to nutrients to other relaxants to doing whatever you need to get to that place, where you can focus. One of the qualities of imagery thinking is that it can help you connect with the bigger picture and how things are connected in kind of a bigger picture,"
No," Because that's part of really sorting it into things that you might be able to do, something about things you can't do something about, is to let yourself run it out. Does that make sense to you? Yeah? So sometimes when people are making treatment choices"
No," that are very difficult, I'll invite them to imagine that they're at a crossroads. Again, this happens when, and if they go down this road, they choose this kind of treatment, and just imagine walking down that road and just imagine it going as far as you can and see what you imagine go down this road"
No," We have trouble sleeping. The body starts to signal that it needs something. So finding a way to get to those deeper levels and plug in a couple of those relaxation places as just a basic tool is I think one of the real fundamental benefits of guided imagery, which is a type of meditation at that level."
No, And I really appreciate your attention. Thank you very much. I hope it was useful. (audience clapping) (upbeat music)
No," Gosh, it is hard to not worry about your health and the health of others, especially during this pandemic and when dramatic, healthfocused news is everywhere. Now, I have never worried much about my health, but that's all changed since the pandemic hit. So back in March of 2020, we went to a super rural part of Utah. We hiked around and we explored. We thought we were being careful with social distancing. And then on our way back home, we stopped for ice cream to appease our children, but we had to order inside. And afterwards I remember being just hit with like fear and worry. And I started worrying, you know,"
No," really catastrophizing. I told my husband, ""Oh, no. I'm sure that we're gonna get COVID from that,"" even though there were only a handful of cases in Utah at the time. And I decided not to go see my parents that Easter weekend because I feared exposing them. Now, I think it's really normal to worry about your health sometimes, and it's especially normal to worry about it during a global pandemic. Everyone worries about their health sometimes. However, health anxiety can be a quite serious problem when it gets more entrenched. Health anxiety is an obsessive and irrational worry about having a serious medical condition. It's also called illness anxiety,"
No," and it used to be called hypochondria. With health anxiety, you believe that you have an illness that you don't actually have. Another form of health anxiety is somatization disorder, where you interpret small bodily sensations as being a symptom of something serious. But health anxiety is real paradox. There are some things that a lot of people try to soothe their anxiety that actually feeds their anxiety, and this is called the health anxiety cycle. But there is an escape. It's just, you know, different than what you might think. So in this video, you'll learn five things you might do that make health anxiety worse, and you're gonna learn what to do instead."
No," The holidays are coming up, and you know what that means more time with your family. And for many of us that's exciting, but for others that means more stress, conflict, drama, and hurt feelings. So if you'd like to improve your relationships with family and friends but you don't know where to start, there are steps you can take. Building good relationships isn't just something that happens to you; it's a skill that you can learn. In my course Better Relationships in 30 days, I'll walk you through the process of fostering appreciation, improving communication. You'll learn how to make repairs and restore those feelings of warmth"
No," and love. You really can learn to transform conflict into connection this holiday season. So check out the link in the description to learn more. The health anxiety cycle usually starts with something like a sensation in your body or even just hearing about someone else's illness. Now, here's the first thing that you might do that makes health anxiety worse, and this is meaningmaking. This is especially common with somatization disorder. So it's it's saying something like, ""Oh, if I have this sensation, it must mean something."" It's asking, ""Why am I feeling this?"" Now, your brain hates unanswered questions, so it's going to invent"
No," something to fill in that blank. So it might go something like this: you might think, ""Oh my gosh, this sniffle means I have COVID and I'm going to die."" Or you have a headache and you think, ""This headache must mean that I have brain cancer and I'm going to leave my children fatherless."" So so what are the stories that you tell yourself when you're worried about your health? Now, let me tell you a story. This last summer I was climbing the Grand Teton with my dad and some old friends. We were all experienced climbers, and on the second day about 5 am we were scrambling up the approach to the Exum Ridge, and we came to an area called Wall Street. This is a narrow ramp"
No," about five feet wide, and it runs along the south ridge of the Grand Teton. And as you walk along, it it gets narrower and narrower. Oh, and there's about a thousand foot drop beneath you. Now, my friends and I have done stuff like this for years, but I took a long break after having kids, so I was a little out of practice, you know, with heights and and stuff. So I mean, just so you guys know, I am actually afraid of heights, but the more I climb, the less I worry. And that's kind of how your brain works, right? The more you expose yourself to something that feels dangerous but is actually safe, your anxiety levels actually drop. But I haven't been climbing for a long time,"
No," this is my first time with this much exposure, it's like 5 am, it's freezing cold. So we're basically transitioning from the hike part to the climb part of this, the ascent on this mountain. Um we stopped to get our ropes out and to get our harnesses on and and to get all our gear ready. And in that moment I got struck with this intense feeling of fear, and and I wondered what it meant. Was it a premonition? It's it seemed like it was saying ""Something terrible is going to happen. Turn around."" And I was really scared. I almost told my friends, ""We should turn around. This isn't going to end well,"" you know. I believed that because I was feeling this way"
No," that it meant something. So so in that moment I checked myself and I asked ""Is this a premonition, or is this anxiety speaking?"" The sky was clear, my friends and I were prepared, I'd led this route before. And in that quiet moment, I knew it was just fear speaking. We continued upward, and then we summited that morning to a beautiful, clear sky and a safe descent. Okay. So back to meaningmaking. When we feel anxiety or when we feel a symptom like a headache or a heart, a fast heartbeat or something, instead of asking ""Why am I feeling this? What does this mean?"" say ""Oh, this is just a sensation."" Or you could say, like I did on the climb, ""Oh, this is anxiety speaking,"
No," right? Just because I feel scared doesn't mean I'm in danger. Just because I think stuff doesn't mean I'm actually sick. Just because I have a sensation like a headache or heart heart palpitation, that doesn't mean that I'm actually sick. These are just sensations. Thoughts, sensations, and emotions are just that: they're passing experiences, but they don't necessarily mean something. So instead of trying to figure out what this means or why am I feeling this, learn to make space for sensations without needing them to mean something. Spending hours of your life trying to get to the root of why you're feeling something"
No," is going to distract you from your life purpose. So allow yourself to feel the sensation it's it's just a sensation without needing to figure out why or make a meaning of it. And and mindfulness practice is a really practical way to learn how to do this. Okay. The second thing you might do that makes health anxiety worse, that contributes to this health anxiety cycle is catastrophizing. Catastrophizing is when, you know, if something is uncomfortable or worrisome, you take it to the extreme, and you believe that the most extreme version must be true. So you think ""I feel so tired,"" and then you think ""Oh no, what if I'm tired because I have"
No," some horrible autoimmune disease? Then I won't be able to work, and then we'll lose the house, and then my children will starve, and I won't be able to handle it. It's the end of the world,"" right? When in reality you're tired because you worked a long day, a long week, and your kids keep you up at night. When we take a feeling or a thought and we catastrophize, it activates that fight/flight/freeze response. And this can actually heighten our physical sensations. It makes your heart race and your breathing faster, and it can increase your muscle tension. So this can actually make your symptoms seem worse. It's also going to make your anxiety"
No," feel worse. So what do you do instead? Label it as catastrophizing. Learn to recognize the voice that anxiety speaks in, right? Catastrophizing uses terms like ""must,"" ""have to,"" ""always,"" ""never,"" and extreme terms like ""death"" and ""doom."" Write a list of your most common health anxiety thoughts so that when they show up, you can recognize them as anxiety or fears and not as reality. I like to draw little pictures with silly hats on my fears because it helps me to see them as they are. These are fears, not facts. Now, the next thing I'm going to say is a little bit tricky because it works well with regular anxiety, but it doesn't work super well with OCD. So if you have an OC,"
No," more of an OCD style of health anxiety, don't do this. But you can also check for alternatives, right? Catastrophizing is just one explanation out of many. So you might be tired because you're hungry. You might be tired because you're anxious. You might be tired because you had a long workout that day. You you can tell it's catastrophizing if there's a lot of options for why you're tired, but you're sure that the worst one is the one that's most likely. So if you want to learn more about catastrophizing, check out my video on the on the topic. Okay. So the third thing that makes health anxiety worse is googling. It's it's saying, ""Oh, I'm going to spend tons of time"
No," scanning the internet for verification that my fears are true."" This is like pouring gas on the anxiety fire. It just fuels that fear. Because yes, a headache could be a symptom of about a thousand disorders, but most of the time it's just a headache. But when you seek reassurance by searching the internet, you probably feel better for just a moment. You feel this little sense of relief, or like you're doing something. But then this actually trains your brain to feel more anxious and to need more reassurance. It makes your anxiety worse. Check out my video on how anxiety is like a toddler at the grocery store because the more tantrums it throws and the more"
No," you give into it with reassuranceseeking, the worse your anxiety is going to get. So instead of seeking reassurance on the internet, consult a doctor once, and then limit the amount of time seeking reassurance. So you can set an actual numerical limit on how much time you can spend searching your symptoms. And then redirect your attention to what makes your life rich and meaningful instead of constantly focusing on a perceived danger, because what we focus on, we get more of. That is how the brain works. So you just kind of let your anxiety throw a tantrum. You say ""Hello, anxiety. Nice to see you again,"" but you don't have to give in. So you redirect"
Environment," your attention and energy to what matters to you. Now, specifically, like if you worry about COVID, it can be easy to go to the extremes to try and protect yourself from this. And what the OCD community is saying, the OCD practitioners are saying, is set a reasonable boundary around what safety behaviors you're going to do. And what the OCD community is saying, the OCD practitioners are saying, is choose to follow CDC guidelines as your standard, but don't allow yourself to make up a ton of extra rules in your head that you have to follow to be okay, because that's going to be feeding that health anxiety or that OCD."
No," Okay. The fourth thing that can contribute to the health anxiety cycle is getting unnecessary tests. So this is another form of checking. This is constantly seeking reassurance, and this is a subtle form of avoidance. Every time you seek to reassure your anxiety by getting another test, it's like trying to get your toddler to behave better by giving them a candy bar for throwing a tantrum. Endlessly seeking reassurance is going to sap your life and your time and your energy. So instead of seeking reassurance over and over, choose to spend your time on the things most important to you. One of the ways you can tell if a worry is meaningful or is anxiety is that"
No," anxiety almost tells you to withdraw or to focus all of your energy and attention on your fears, on getting your symptoms checked. So so just clarify your values. What do you want your life to be about? Then ask yourself, ""Do these thoughts and feelings, these worries about your health, do they help you live a rich and meaningful life?"" If not, then redirect yourself to what you do want your life to be about, and then choose to show up, show up to your own life. Limit the amount of time you can spend checking on your symptoms, and choose to do what's more important to you. Okay. The fifth thing that you might do that makes health anxiety worse is seeking certainty."
No," It's saying, ""I have to know for sure, or else I can't live my life."" So you check and you check, and you ask more doctors, and you run more tests, and you spend more time googling. And if you count the hours you're spending on your health anxiety or if you count the things you're missing because of your anxiety, you'll see that checking is getting in the way of living your life. So instead, accept that uncertainty is a part of life. Seeking to eliminate uncertainty will use up tons of time, and it's also fruitless. If you don't believe me, check yourself right now. Has seeking certainty helped you feel more certain? Like, the more certainty you seek,"
No," do you feel better? If you're watching this video because you have health anxiety, it probably hasn't helped in the long run. This process is about getting comfortable with uncomfortable feelings. This is called the distress tolerance. With health anxiety, it sounds like saying, ""I can't know for sure. I might have some disease that I don't know about, but I've checked enough, and now I'm going to accept that uncertainty and live my life."" Give yourself a mantra like, ""I can do hard things"" or ""I can feel the fear and do it anyway. I can feel the fear, and I can go to my kid's soccer game anyway, and I can be as present as possible."
No," The ability to feel a little uncomfortable and allow it to be there instead of trying to force it to go away is really an essential skill, and it's what I call getting better at feeling. I like to practice this by doing physical challenges like rock climbing or hiking, but there's other ways to practice it too. Allowing yourself to feel your emotions, journaling, making music and art that express your emotions, and then other things like taking cold showers, fasting, or or challenging yourself to do something that scares you. And as you practice this ,as you face your anxiety without trying to reassure it or check or google it or try to"
No," make it go away, your anxiety will actually most likely go down. This is the paradox of anxiety. Your addiction to checking will decrease. And whether your anxiety goes down or not, you'll be better at living the life you value. In the end, health anxiety doesn't need to control your life. But the tricky problem is that if you only focus on making fears go away, you'll often do things that make anxiety worse in the long run. So just to summarize: these are things like avoiding activities, researching your symptoms, seeking reassurance, and catastrophizing. These all make your anxiety worse in the long run. So instead, I encourage you to get better at feeling. Get"
No," better at allowing yourself to feel the anxiety and choose to live the life the way you want to anyway. Okay. I hope that's helpful. Thank you for watching, and take care."
No," Hi everybody it 's elisa here , so today 's video is all about the positive signs and symptoms of full recovery , and this is gon na be a twopart video series , and today i 'm gon na talk about the nine physical symptoms of full recovery , some common symptoms that will indicate That"
No," you are getting closer to full recovery , so i really hope you 're gon na find today 's video helpful and please subscribe to my channel and also please like this video and now , let 's get started with today 's video . So what are some physical signs"
No, sweats i experienced night sweats and they did n't felt great . It actually felt pretty horrible it disrupted . My sleep . I remember i woke up in the middle of night and i would be drenched in sweat . I had to lay a towel between my sheets because my sheets were drenched and this
No," positive sign is that you are Able to eat your full hunger , and also you are maintaining your weight in full recovery . You should be able to eat whatever you want as much as you want to eat your full hunger , mental hunger , eating regularly getting satisfied with foods"
No," quite hard for so many people in recovery , but it 's gon na pass . It 'S not gon na be long term next , having better digestion is another physical improvement in eating soda recovery . It 'S so normal and common to have lots of digestion issues , and i know many people"
No," of The restriction and the starvation and all the eating other behaviors you have done . This has messed up your digestion and your digestion has got so weak if you have eliminated a lot of food , or sometimes even food groups and having digestion issues was one of the"
No," hardest challenges for me in my recovery , and i have created several videos about digestion . Why it happens what to do about it and so forth ? So i 'm gon na link some videos down in the description , but when you 're getting closer to full recovery , you are fully recovered . You'Re"
No," gon na have better digestion overall if the digestion issues were caused because of your eating disorder . But again here i have to say that not all problems like not all health problems or digestion issues are n't , you know always caused only by eating disorders . So"
No," you have to talk to your doctor to indicate like what is going on with your digestion , but very often because the eating disorder plans we come from . So many people have digestion issues because of the eating disorder and so many times it can actually be improved . A"
No," - and i do n't have those symptoms anymore , so please have hope that it 's possible to have a better digestion after recovery and the next symptom of getting closer to full recovery is that you will start to see improvements In your skin , in your nails in your hair , they get"
No," your body recovers . You also focus on things like reducing stress . Overall , you focus on getting better sleep . You work on your mindset then , over time . Hopefully , you also see how your skin gets better next . Another great sign of recovery or getting closer to full recovery is"
No," having better sleep , and i personally struggled with my sleep in my recovery for quite a long time . I think it was even like over like half a year or something like that , and i do n't really know what it was , but i just think that recovery by itself was so stressful"
No," like going through recovery is not like , oh yeah , it feels like so relaxing and I can have a good night 's sleep very often i would like wake up during the night drenched in sweat , as i said before , feeling so uncomfortable and then having rushing thoughts about"
No," the fear of weight , gain and worrying about my digestion and stuff like that . So obviously , i think this was also a big stress by itself , but over time , as i saw things improving getting , you know better place like physically mentally then over time my sleep improved so much so yeah ."
No," Who knows exactly what it was , but i totally understand how hard it is to struggle with sleep , but over time . I hope you will also start to experience better sleep overall and , lastly , you will experience more energy . This can take a long time , for some people may happen"
No," like something else as well . It 'S not like , after eating the recovery , your health will be perfect and there 's not gon na , be like no negative symptoms . Anymore , like this is not realistic , but if the lowered energy was because of the eating disorder , then it 's very likely"
No," you 're gon na see like some increase in your energy as well . You may overall also see more motivation , more energy to engage in daily activities . Maybe you feel like socializing more going out more or just generally like doing everyday tasks seems much easier and you"
No," have just overall more energy to engage in your life . So these are just some of the physical symptoms to look out , for that will indicate that you are getting closer to full recovery , but also these are not the only symptoms . As i said , these are maybe some of the most common"
No," symptoms , but again everybody 's different . A few other physical symptoms that you may see is overall , like healthier , vitamin and mineral levels , better immune system feeling stronger , healthier bones , healthier heart , stronger teeth , better wound healing , better sex drive"
No," like we already mentioned , and i 'm sure many other symptoms . I want to be very clear because i know how easy it is to start comparing and then we feel sad . We feel like something is wrong with us everybody 's different . Maybe your symptoms that indicate the improvement"
No," will be something else and if you 're not there , yet do n't take it as a sign that there is something wrong with you and you never will get there , but rather like use it as a motivation like something you can look Forward to and having like hope and faith that things will start to"
No," get better , things will improve , and what you have to do is rather like do n't worry about why i 'm not there yet , but rather put your time and energy into like what am i doing today . Am i doing everything on my part today to be sure that i 'm in full recovery path , feeding"
No," hope you found it helpful and also , if you want to know more about recovery , check out my book , everything i did to get to my full recovery and also check out the online courses . I have on my website how to go through recovery step by step , and please"
No," Introduction Welcome to, Understanding Depression, part of the Mindful Planet Mental Health Ambassador course. By the end of this lesson, you will understand several depressive disorders, along with their symptoms, causes, and treatments conducted by mental health professionals. Thank you for learning today, as understanding these topics is essential to making the world a more Mindful Planet. So, let’s start."
No," Depression is a mental health condition that affects millions of people worldwide. It's a common, but serious illness that can interfere with daily life, work, and relationships. Depression can be caused by a variety of psychological, biological, and environmental factors. People with depression often experience feelings of sadness, hopelessness, and helplessness that persists for weeks or months. They may lose interest in activities they once enjoyed, have trouble sleeping, experience changes in appetite and weight, or have difficulty concentrating or making decisions."
No," Depression can also cause physical symptoms such as fatigue, headaches, and digestive problems. It's important to note that depression is different from normal feelings of sadness or grief people experience in response to life events, such as the loss of a loved one or a breakup. Depression is a medical condition that requires professional treatment. There are several effective treatments for depression, including therapy, medication,"
No," and lifestyle changes. It's important to seek help from a qualified mental health professional if you or someone you know is experiencing symptoms of depression. With proper treatment and support, people with depression can recover and lead fulfilling lives. This educational video is not a substitute for seeking professional help or research. Prevalence of Depression In the United States, approximately 7.1% of"
No," the adult population each year, or 17.3 million adults, experience depression. Depression is the leading cause of disability globally, and a major contributor to the overall global burden of disease. It is also a major risk factor for suicide, which is the second leading cause of death among people aged 15 to 29 globally. Women are almost twice as likely as men to have a diagnosis of depression in the United States, and among children and adolescents in the United States, 3.2 million, or 13.3%,"
No," have had at least one major depressive episode. Depression is also linked to an increased risk of developing other medical conditions, such as heart disease, stroke, and diabetes, and it is estimated to cost the global economy over $1 trillion per year in lost productivity. These statistics highlight the urgent need for increased awareness, resources, and access to effective treatment for depression. Importance of Understanding Depression It is important for the public outside of"
No," the mental health profession to understand depression because it’s a common mental health condition that can affect anyone, regardless of age, gender, or background. Depression is often misunderstood, and there is a stigma surrounding mental illness that can prevent people from seeking the help they need. Having knowledge about depression can help individuals recognize the signs and symptoms of depression in themselves and in others. This can lead to early intervention and treatment, which is crucial in managing depression and"
No," preventing it from becoming more severe. Furthermore, having knowledge about depression can help individuals support their loved ones who may be struggling with the condition. Understanding the impact that depression can have on an individual's life can help family members and friends provide the necessary support and care for their loved one. Finally, having knowledge about depression can lead to increased empathy and understanding for those who are struggling with the condition."
No," This can help reduce the isolation and stigma that individuals with depression may feel and create a more supportive and accepting society. Symptoms. With all the symptoms those suffering with depression experience, they can not face these alone. Depression can cause a range of physical symptoms, including changes in appetite and weight, sleep disturbances, fatigue, and low energy levels."
No," Individuals with depression may experience a decrease in appetite and weight loss or an increase in appetite and weight gain. Sleep disturbances can include difficulty falling asleep, staying asleep, or sleeping too much. Fatigue and low energy levels can make it difficult to perform daily tasks, leading to a decreased sense of motivation and productivity. Depression can also cause a range of emotional symptoms, including feelings of sadness, hopelessness,"
No," and helplessness. Individuals with depression may feel irritable or easily agitated, and they may have a decreased interest in activities they once enjoyed. They may also experience feelings of worthlessness or guilt and have difficulty experiencing pleasure or happiness. Depression can affect an individual's cognitive functioning, leading to difficulty concentrating, making decisions, and remembering details."
No," Individuals with depression may also experience negative thoughts, such as selfcriticism, selfblame, or thoughts of worthlessness. Depression can also affect an individual's behavior, leading to social withdrawal, decreased productivity, and increase risk of substance use. Individuals with depression may withdraw from social activities, avoid social interactions, and have difficulty maintaining relationships. They may also experience a decrease in productivity and motivation, leading to a decline in work"
No," or school performance. The severity of symptoms can vary from mild to severe, depending on the individual and their specific experience of depression. Some individuals may experience mild symptoms that do not significantly impact their daily life, while others may experience severe symptoms that have significant affect. Severe depression can also lead to suicidal thoughts or behaviors or selfharm, making it crucial to seek professional help (even if not severe) if you or someone you know"
No," is experiencing symptoms of depression. Types of Depression. In this section, we will discuss several common types of depressive disorders, their symptoms, and their diagnostic criteria according to the DSM5, or Diagnostic Statistical Manual of Mental Disorders 5th edition. Major depressive disorder is a serious mental health condition that affects millions of people worldwide."
No," It is characterized by persistent feelings of sadness, hopelessness, and loss of interest or pleasure in activities that an individual once enjoyed. The symptoms can interfere with daily life, work, and relationships. The diagnostic criteria for major depressive disorder are outlined in the DSM5, which includes a depressed mood or loss of interest in almost all activities for at least two weeks. In addition to these core symptoms, individuals must also experience at least four additional"
No," symptoms, such as changes in appetite, insomnia or excessive sleepiness, fatigue, feelings of worthlessness or excessive guilt, difficulty concentrating, or thoughts of death or suicide. Symptoms must cause significant distress or impairment in social, occupational, or other important areas of functioning, and must not be due to substance abuse or another medical condition. The severity and duration of symptoms can vary among individuals, with some experiencing only a single episode of major depression, while others may experience multiple episodes"
