SegmentId,StartTime,EndTime,Transcript,Topic
hMk5s1y486I101,9.45,9.47,and by putting it on paper first it,Structure
nan,nan,nan,make it much easier. to edit and It,No
hMk5s1y486I102,9.47,9.5,doe nt get any easier. than editing with,No
hMk5s1y486I103,9.5,9.52,viz me a very shameless plug. I know but,No
hMk5s1y486I104,9.52,9.55,viz me is completely free. You can edit a,No
hMk5s1y486I105,9.55,9.59,blank canvas with video and animation,No
nan,nan,nan,and audio. You can edit text and image,No
hMk5s1y486I106,9.59,10.09,to fit your style There are endless,No
nan,nan,nan,possibility with viz me before we go I,Structure
nan,nan,nan,do want to tell you to rehearse rehearse,No
nan,nan,nan,rehearse Ted. Speaker say you should,No
hMk5s1y486I107,10.09,10.16,rehearse a minimum of ten time before,Structure
nan,nan,nan,doing the real thing you wanted to see,No
nan,nan,nan,professional and you want your,No
nan,nan,nan,"presentation. to flow. Naturally. Now, at",Structure
hMk5s1y486I108,10.18,10.18,nan,No
hMk5s1y486I109,10.18,10.22,the beginning of this video I told you,Structure
nan,nan,nan,all about my drag story. and how,No
hMk5s1y486I110,10.22,10.24,is that the peak of my day. and I wa,No
hMk5s1y486I111,10.24,10.26,headed for that valley. right well that,No
hMk5s1y486I112,10.26,10.26,"valley. happened later on that evening,",No
hMk5s1y486I113,10.28,10.46,when I decided to show off my skill,No
nan,nan,nan,on my stilt that I own in front of my,No
nan,nan,nan,"family and friend and Well, what happens",Structure
nan,nan,nan,when you try to show off and your,No
nan,nan,nan,confidence is high well You re brought,No
nan,nan,nan,back down to earth literally I wa,No
nan,nan,nan,brought back down to earth and a big,No
nan,nan,nan,"fall, and I broke both of my arm. Yes, one",No
hMk5s1y486I114,10.46,10.55,of the most embarrassing story in my,Structure
nan,nan,nan,life and I Have now just hold the entire,Structure
nan,nan,nan,"YouTube universe. Thank you for listening,",No
hMk5s1y486I115,10.55,11.03,hey before we go I do want to make sure,No
nan,nan,nan,that You do check out bisby s website,No
nan,nan,nan,and subscribe to our channel for,No
nan,nan,nan,constantly updated content. For now on my,No
hMk5s1y486I116,11.03,11.08,constantly updated content. For now on my,No
nan,nan,nan,clogger with viz me helping you make,No
nan,nan,nan,"information beautiful,",No
bgFNTuRYtKE1,0,0,Hi everybody hope all doing well.,No
bgFNTuRYtKE2,0.02,0.08,"In this short lesson,",No
nan,nan,nan,going to show you lot of great,No
nan,nan,nan,phrase and expression,No
nan,nan,nan,for making presentation in english.,No
bgFNTuRYtKE3,0.18,0.18,Welcome back to english. for,No
bgFNTuRYtKE4,0.18,0.23,"professional, derek, and here",No
nan,nan,nan,"with another short lesson, for you",Structure
nan,nan,nan,busy people before we get started. Just a,No
bgFNTuRYtKE5,0.23,0.32,quick reminder to subscribe to my,No
nan,nan,nan,"channel,",No
nan,nan,nan,hit the red button and forget to,No
nan,nan,nan,click on the little bell,No
nan,nan,nan,that way. be notified every time i,Structure
bgFNTuRYtKE6,0.32,0.37,upload a new lesson,No
nan,nan,nan,and forget to join my email list.,No
bgFNTuRYtKE7,0.39,0.43,Every two week i send out my free,No
nan,nan,nan,vocabulary: email,No
nan,nan,nan,with additional business. English word,No
bgFNTuRYtKE8,0.43,0.46,from the news,No
nan,nan,nan,and everyday english for you to learn.,No
bgFNTuRYtKE9,0.48,0.5,The link is in the description below,Structure
nan,nan,nan,"and now, get started. with the",Structure
bgFNTuRYtKE10,0.5,0.58,lesson,No
nan,nan,nan,at the beginning of a presentation. We,No
bgFNTuRYtKE11,0.58,1.09,usually welcome the audience,No
nan,nan,nan,introduce ourselves and our topic,No
nan,nan,nan,good morning or good afternoon or,No
nan,nan,nan,good evening. Everybody and Welcome to my,No
bgFNTuRYtKE12,1.09,1.09,presentation.,No
bgFNTuRYtKE13,1.14,1.14,my name is derek callan and i a,No
nan,nan,nan,business. English coach,No
bgFNTuRYtKE14,1.16,1.17,at derekcallen.com. If a student,No
bgFNTuRYtKE15,1.17,1.25,mention your field of study and your,No
nan,nan,nan,"university,",No
nan,nan,nan,the topic of my presentation. is,No
bgFNTuRYtKE16,1.25,1.28,or today like to talk to you about,No
nan,nan,nan,now. This is a very standard way of,No
bgFNTuRYtKE17,1.33,1.38,introducing yourself and your topic,No
nan,nan,nan,and perfectly okay. However often,No
bgFNTuRYtKE18,1.38,1.5,your audience will already know who you,No
nan,nan,nan,are,No
nan,nan,nan,and what your topic is If you want to,No
nan,nan,nan,make your intro a little different or,No
nan,nan,nan,more interesting,No
nan,nan,nan,check out. My other lesson. Four way to,No
bgFNTuRYtKE19,1.5,1.5,nan,No
bgFNTuRYtKE20,1.5,2.2,make your presentation,No
nan,nan,nan,more interesting you should find the,No
nan,nan,nan,link somewhere here,Structure
nan,nan,nan,"on the screen, and now, get back to",No
nan,nan,nan,"some other thing, you might want to do",No
nan,nan,nan,in your introduction before beginning,Structure
nan,nan,nan,"with your first main point,",Structure
nan,nan,nan,it can be a good idea to Let your,No
nan,nan,nan,audience know what the structure of your,Structure
nan,nan,nan,presentation is,No
nan,nan,nan,going to focus on or look at,No
nan,nan,nan,"or deal with three main point,",Structure
nan,nan,nan,or divided my presentation. into,Structure
bgFNTuRYtKE21,2.2,2.24,"three main part. First of all,",Structure
bgFNTuRYtKE22,2.24,2.42,"talk about Second,",No
nan,nan,nan,look at and finally,No
nan,nan,nan,explain or show you,No
nan,nan,nan,or tell you about,Structure
nan,nan,nan,if your audience know how long,No
nan,nan,nan,the presentation. is going to be,Structure
bgFNTuRYtKE23,2.42,2.51,Let them know My presentation will take,Structure
nan,nan,nan,about,No
nan,nan,nan,and it can also be helpful to. Let them,No
bgFNTuRYtKE24,2.51,2.58,know when they can ask question:,No
nan,nan,nan,if you have a strict time limit and you,No
nan,nan,nan,do want to be interrupted.,No
bgFNTuRYtKE25,3,3.05,You can say something like This,No
nan,nan,nan,be plenty of time for question: at the,Structure
nan,nan,nan,end of my presentation.,No
bgFNTuRYtKE26,3.07,3.07,or appreciate it. If you could leave,No
bgFNTuRYtKE27,3.07,3.12,any question you may have,No
nan,nan,nan,until the end of my presentation.,Structure
bgFNTuRYtKE28,3.15,3.23,"on the other hand, if you want to be",No
nan,nan,nan,flexible and Welcome question: at any,No
nan,nan,nan,"time,",No
nan,nan,nan,you could say something like This if you,No
nan,nan,nan,have any question during the,No
nan,nan,nan,presentation.,No
bgFNTuRYtKE29,3.26,3.33,"feel free to interrupt at any time,",No
nan,nan,nan,"great, so made your introduction",No
nan,nan,nan,"and now, it time to start with the main",Structure
nan,nan,nan,part.,Structure
bgFNTuRYtKE30,3.36,3.41,or the body of your presentation and,No
nan,nan,nan,This is where sign posting phrase can,No
nan,nan,nan,be very useful.,No
bgFNTuRYtKE31,3.43,3.46,These are phrase we use to guide our,No
nan,nan,nan,audience through,No
nan,nan,nan,our presentation. to Let them know when,No
bgFNTuRYtKE32,3.46,3.55,we want to introduce a new topic,No
nan,nan,nan,when we finished with a topic and,Structure
nan,nan,nan,when we want to continue,No
nan,nan,nan,with the next one. Introducing your first,No
bgFNTuRYtKE33,3.55,4.18,"point,",Structure
nan,nan,nan,like to begin by telling you,Structure
nan,nan,nan,"or showing you and so on, important",No
nan,nan,nan,here,No
nan,nan,nan,to follow begin by with a gerund,Structure
nan,nan,nan,with the in form or,No
nan,nan,nan,Let start with or,Structure
nan,nan,nan,so let get started. so,Structure
bgFNTuRYtKE34,4.18,4.21,is a very short and simple word. But,No
bgFNTuRYtKE35,4.21,5,a very effective way to get your,No
nan,nan,nan,audience attention,No
nan,nan,nan,finishing one topic so that cover,Structure
nan,nan,nan,"everything i want to say about, or",No
nan,nan,nan,that concludes my first or that,Structure
nan,nan,nan,"concludes my Second,",Structure
nan,nan,nan,topic and continuing with another,Structure
nan,nan,nan,"now, Let move on to my next topic which",Structure
nan,nan,nan,is,No
nan,nan,nan,or Let turn now to,No
nan,nan,nan,or moving on to,Structure
nan,nan,nan,and If you want to show your audience,No
nan,nan,nan,some information on,Structure
nan,nan,nan,graph or chart. The following phrase,No
bgFNTuRYtKE36,5,5.06,should be quite helpful:,No
nan,nan,nan,a you can see on This chart. or,No
bgFNTuRYtKE37,5.06,5.1,take a look at This chart. or,No
bgFNTuRYtKE38,5.1,5.22,This graph clearly show,No
nan,nan,nan,or This graph highlight the importance,No
nan,nan,nan,of,No
nan,nan,nan,sometimes important to go into more,No
nan,nan,nan,detail.,Structure
bgFNTuRYtKE39,5.26,5.26,Let have a look at a couple of way. We,No
bgFNTuRYtKE40,5.26,5.35,can do this,No
nan,nan,nan,"Let me expand on This point, or",Structure
nan,nan,nan,"i like to elaborate on This point, for",Structure
nan,nan,nan,a few minute.,No
bgFNTuRYtKE41,5.38,5.58,also very important to remind your,No
nan,nan,nan,audience about the purpose of your,Structure
nan,nan,nan,presentation,No
nan,nan,nan,Why important and Why relevant,No
nan,nan,nan,a i said at the beginning,Structure
nan,nan,nan,or This relates to what i wa saying,No
nan,nan,nan,"earlier,",No
nan,nan,nan,or This tie in with what i said at the,No
nan,nan,nan,start of my talk,Structure
nan,nan,nan,or at the start of my presentation. If,No
bgFNTuRYtKE42,5.58,6.03,"something tie in with something else,",Structure
nan,nan,nan,"it mean the two thing, are connected.",Structure
bgFNTuRYtKE43,6.07,6.1,"Excellent now, Let think about the last",No
nan,nan,nan,part of the presentation.,No
bgFNTuRYtKE44,6.11,6.17,here we usually summarize the main,Structure
nan,nan,nan,"point, give a conclusion or a final",Structure
nan,nan,nan,message,No
nan,nan,nan,thank the audience and invite them to.,Structure
bgFNTuRYtKE45,6.19,6.19,ask question:,No
nan,nan,nan,summarizing. So that brings me to the end,Structure
bgFNTuRYtKE46,6.21,6.24,of my presentation.,No
bgFNTuRYtKE47,6.26,6.33,"We looked at three main point,",Structure
nan,nan,nan,First i showed you or i spoke about,No
nan,nan,nan,"followed by a one. or two sentence,",No
bgFNTuRYtKE48,6.33,6.4,summary,Structure
nan,nan,nan,"of the key information from This topic,",Structure
nan,nan,nan,Then we looked at again followed by a,No
nan,nan,nan,"one. to two sentence, summary",Structure
bgFNTuRYtKE49,6.43,7.02,and finally i explained or i told you,Structure
nan,nan,nan,about,No
nan,nan,nan,and once again a short summary,Structure
nan,nan,nan,concluding to conclude like to say,Structure
nan,nan,nan,or before we finish like to leave,Structure
nan,nan,nan,you with one.,No
bgFNTuRYtKE50,7.03,7.06,final thought,Structure
nan,nan,nan,thanking The audience and inviting them,Structure
nan,nan,nan,to. ask question:,No
bgFNTuRYtKE51,7.08,7.15,thank you very much for your attention,No
nan,nan,nan,or for your time,Structure
nan,nan,nan,or thank you for listening.,No
bgFNTuRYtKE52,7.18,7.23,If you have any question i be happy,No
nan,nan,nan,to answer them now,No
nan,nan,nan,so that brings u to the end of This,Structure
nan,nan,nan,lesson. i hope you found it helpful,No
bgFNTuRYtKE53,7.25,7.31,and i hope you can practice using some,No
nan,nan,nan,of those phrase,No
nan,nan,nan,in your next presentation. and by the way.,No
bgFNTuRYtKE54,7.31,7.31,nan,No
bgFNTuRYtKE55,7.33,7.33,If there are any other area of business.,No
bgFNTuRYtKE56,7.36,7.41,English i can help you with,No
nan,nan,nan,Let me know in the comment and i do,No
nan,nan,nan,my best to cover those topic in,No
nan,nan,nan,"upcoming lesson, If you like This lesson.",No
bgFNTuRYtKE57,7.44,7.56,hit the like button and share with your,No
nan,nan,nan,friend and colleague,No
nan,nan,nan,"subscribe to my channel, If you have",No
nan,nan,nan,done that already,No
nan,nan,nan,"and join my email list every two week, i",No
nan,nan,nan,send out my free vocabulary: email,No
nan,nan,nan,with additional business. English word,No
bgFNTuRYtKE58,7.56,7.59,from the news,No
nan,nan,nan,and everyday english for you to learn.,No
bgFNTuRYtKE59,8.01,8.03,the link is in the description below,Structure
nan,nan,nan,thanks a lot for watching and see you,No
nan,nan,nan,soon.,No
bgFNTuRYtKE60,8.03,8.05,thanks a lot for watching and see you,No
nan,nan,nan,soon.,No
XA1o5rvy8r41,0,0,This episode contains abbreviated language with dubious meaning .,Structure
XA1o5rvy8r42,0.03,0.03,It 's for instructional purpose only .,No
XA1o5rvy8r43,0.06,0.06,Do n't repeat at work .,No
XA1o5rvy8r44,0.07,0.11,Today I want to share with you three tip,No
nan,nan,nan,that helped me make more effective,No
nan,nan,nan,PowerPoint slide and deliver better presentation .,No
XA1o5rvy8r45,0.14,0.23,So if you go to a lot of internal company meeting and you need to present at,No
nan,nan,nan,some of them,No
nan,nan,nan,so either to your team or your management or you 're a consultant that need to,No
nan,nan,nan,pitch a product or service to another company these tip can help you .,No
XA1o5rvy8r46,0.27,0.32,They actually stem from my own mistake and these are the tip that I personally,Structure
nan,nan,nan,use to improve my presentation .,No
XA1o5rvy8r47,0.34,0.35,Number one,No
nan,nan,nan,simplicity is not the enemy of detail .,No
XA1o5rvy8r48,0.39,0.41,In fact a stated by Davinci,Structure
nan,nan,nan,simplicity is the ultimate sophistication .,No
XA1o5rvy8r49,0.44,0.44,Slides are there to help deliver your message .,No
XA1o5rvy8r410,0.47,0.47,They are n't there for you to remember your text .,No
XA1o5rvy8r411,0.5,0.52,They 're for your audience,No
nan,nan,nan,not for you .,No
XA1o5rvy8r412,0.53,0.53,This wa a big problem area for me when I created slide .,No
XA1o5rvy8r413,0.57,1.01,When I went to a meeting I took with me one thing,No
nan,nan,nan,my slide,No
nan,nan,nan,they were my cue point . They were also my handout .,No
XA1o5rvy8r414,1.01,1.01,nan,No
XA1o5rvy8r415,1.05,1.1,It wa like a three in one deal except that it wa only a good deal for me,No
nan,nan,nan,but not for my audience .,No
XA1o5rvy8r416,1.12,1.16,I used to add one bullet point after another because I did n't want to forget,No
nan,nan,nan,something . What happened wa I ended up with crowded,No
XA1o5rvy8r417,1.16,1.28,intimidating slide slide that no one could or wanted to read,No
nan,nan,nan,not only where they 're distracting cause who can read and listen at the same,No
nan,nan,nan,time but I started to lose people 's attention .,No
XA1o5rvy8r418,1.31,1.31,They started to think about their dinner and fitness plan .,No
XA1o5rvy8r419,1.34,1.34,Something you probably do n't want to encourage while you 're presenting .,No
XA1o5rvy8r420,1.38,1.43,One complicated slide take the same amount of time to present a three simple,No
nan,nan,nan,slide . It 's a question of pacing your communication .,No
XA1o5rvy8r421,1.43,1.43,nan,No
XA1o5rvy8r422,1.47,1.51,It 's about giving them the right amount of information in the order they need to,No
nan,nan,nan,understand it .,No
XA1o5rvy8r423,1.52,1.52,The difference is the complicated slide confuses and distracts the viewer .,No
XA1o5rvy8r424,1.57,1.59,Whereas with the simple one,No
nan,nan,nan,they 're likely to stay on and get your message .,No
XA1o5rvy8r425,2.02,2.05,Now when I attend an important meeting,No
nan,nan,nan,I take with me three thing .,No
XA1o5rvy8r426,2.07,2.07,I have my cue card which help me remember my point .,No
XA1o5rvy8r427,2.1,2.1,I have my slide which help my audience .,No
XA1o5rvy8r428,2.12,2.16,Remember the most important point and I have the detailed handout that help,Structure
nan,nan,nan,them get more detail if they want .,Structure
XA1o5rvy8r429,2.18,2.22,If you 're not sure whether your slide are simple enough or not,No
nan,nan,nan,here 's the test you can do . If you gave your PowerPoint,No
XA1o5rvy8r430,2.22,2.29,to your neighbor and you ask them,No
nan,nan,nan,go to the meeting and press next next next,Structure
nan,nan,nan,on the slide . Will it make sense to your audience ?,No
XA1o5rvy8r431,2.29,2.33,If yes that 's not a PowerPoint presentation .,No
XA1o5rvy8r432,2.36,2.36,Those are your handout .,No
XA1o5rvy8r433,2.38,2.38,Your slide should n't make sense without you .,No
XA1o5rvy8r434,2.41,2.42,Number two,No
nan,nan,nan,the use of acronym . Do they help or hurt ?,No
XA1o5rvy8r435,2.42,2.55,If you 're in a finance meeting and you say,No
nan,nan,nan,let 's take a look at the BS you 've been working on,No
nan,nan,nan,probably people will understand you mean balance sheet and you 're not trying to,No
nan,nan,nan,be offensive but it 's not always clear . When I working in a team,No
XA1o5rvy8r436,2.55,3.07,on an Oracle project setting up a group finance consolidation system,Structure
nan,nan,nan,we had to create the backbone structure,Structure
nan,nan,nan,which is called the Metadata of the system .,Structure
XA1o5rvy8r437,3.1,3.14,One task wa to set up different hierarchy,Structure
nan,nan,nan,for our company structure and all,Structure
nan,nan,nan,of them had code name like no space short word sometimes number .,No
XA1o5rvy8r438,3.19,3.24,One request we got wa to set up separate structure for our European and American,Structure
nan,nan,nan,company . The code to use wa A. N. A. L Europe,No
XA1o5rvy8r439,3.24,3.24,nan,No
XA1o5rvy8r440,3.24,3.24,A. N. A. L America .,No
XA1o5rvy8r441,3.28,3.28,nan,No
XA1o5rvy8r442,3.29,3.29,A.N . A.L standing for analysis .,No
XA1o5rvy8r443,3.29,3.29,nan,No
XA1o5rvy8r444,3.32,3.32,Some word just should n't be shorted .,No
XA1o5rvy8r445,3.34,3.34,You can either entirely replace them or use the full word .,No
XA1o5rvy8r446,3.39,3.42,So going back to your use of acronym in a meeting,No
nan,nan,nan,you want to make sure that you do n't unintentionally offend someone .,No
XA1o5rvy8r447,3.47,3.47,And you do n't exclude anyone because they do n't understand what it mean .,No
XA1o5rvy8r448,3.5,3.56,So make sure you emphasize what these are in the handout and also on the slide,No
nan,nan,nan,if you 're using them in there .,No
XA1o5rvy8r449,3.59,3.59,Number three branding .,No
XA1o5rvy8r450,4.01,4.04,Are you getting excessive with your branding ?,No
nan,nan,nan,The company I worked for always had their logo on every single slide .,No
XA1o5rvy8r451,4.09,4.09,When I started to work on my own that 's what I did .,No
XA1o5rvy8r452,4.11,4.11,I put my logo on every single slide prominently featured on top .,No
XA1o5rvy8r453,4.16,4.19,I believed that wa the professional thing to do,No
nan,nan,nan,but when I started to make simpler slide that logo wa so distracting .,No
XA1o5rvy8r454,4.24,4.24,It looked bigger than ever .,No
XA1o5rvy8r455,4.26,4.4,Before I did n't even notice it so much because the slide wa so full,No
nan,nan,nan,but when it started to get empty,No
nan,nan,nan,I started to question the placement of any image or object on that slide,No
nan,nan,nan,and I asked doe it bring any added value ?,Structure
nan,nan,nan,Well it did n't . It wa distracting .,No
XA1o5rvy8r456,4.4,4.4,nan,No
XA1o5rvy8r457,4.42,4.42,I do n't need my logo on every single page .,No
XA1o5rvy8r458,4.45,4.45,It 's enough to put it on the first and the last page .,No
XA1o5rvy8r459,4.48,4.5,And if you 're concerned about piracy,No
nan,nan,nan,you can use a light watermark in the footer and make it small .,No
XA1o5rvy8r460,4.53,4.53,That 's what I do .,No
XA1o5rvy8r461,4.54,4.54,Think about this slide you use for your internal meeting .,No
XA1o5rvy8r462,4.58,5.06,Do you have the logo on every single slide ? Does it bring any added value ?,No
nan,nan,nan,So these were my three tip that help me make better PowerPoint slide,No
nan,nan,nan,and more effective presentation .,No
XA1o5rvy8r463,5.09,5.09,I hope you found them helpful .,Structure
XA1o5rvy8r464,5.1,5.1,I 'm curious to hear what you think . Also,No
XA1o5rvy8r465,5.1,5.17,what do you most struggle with when you make PowerPoint presentation ?,No
nan,nan,nan,Let me know in the comment below . Thank you for watching .,Structure
XA1o5rvy8r466,5.17,5.17,nan,No
XA1o5rvy8r467,5.21,5.21,See you in the next video .,No
XA1o5rvy8r468,5.27,5.27,Yeah .,No
fzIxD1jXn441,0.01,0.01,Hi I ’ m Gina .,No
fzIxD1jXn442,0.03,0.06,Welcome to Oxford Online English !,No
nan,nan,nan,In this lesson you can learn how to make a presentation in English .,No
fzIxD1jXn443,0.1,0.14,Do you have to make presentation in English in your job ?,No
nan,nan,nan,Imagine you have to give an important presentation in English tomorrow .,No
fzIxD1jXn444,0.18,0.31,How would you feel about it ?,No
nan,nan,nan,This lesson will help you learn useful phrase and technique to introduce yourself and your,No
nan,nan,nan,topic keep your idea organised deal with problem and respond to question from audience,No
nan,nan,nan,member .,No
fzIxD1jXn445,0.32,0.32,Imagine you ’ re standing in front of your colleague .,No
fzIxD1jXn446,0.36,0.36,You need to introduce yourself and what your presentation is about .,No
fzIxD1jXn447,0.42,0.52,What are some word and phrase you could use ?,No
nan,nan,nan,If some people in the audience don ’ t know who you are you should introduce yourself,No
nan,nan,nan,and your position .,No
fzIxD1jXn448,0.54,0.59,In a more formal setting you could say something like this :,No
nan,nan,nan,Good morning everyone .,No
fzIxD1jXn449,1,1,For those who don ’ t know me my name ’ s Simon and I work in the marketing department .,No
fzIxD1jXn4410,1.05,1.05,Or : Hello everybody .,No
fzIxD1jXn4411,1.07,1.07,Before we begin let me introduce myself briefly : I ’ m Reese and I ’ m the head of HR .,No
fzIxD1jXn4412,1.13,1.18,If you work in a more informal company you could say :,No
nan,nan,nan,Hi guy ; if you don ’ t know me I ’ m Sylvia and I work in digital marketing .,No
fzIxD1jXn4413,1.24,1.31,Or : Hello !,No
nan,nan,nan,I see some new face so I ’ ll introduce myself first : I ’ m Julia and I ’ m one of,No
nan,nan,nan,our customer service team .,No
fzIxD1jXn4414,1.34,1.34,Next you need to introduce your topic .,No
fzIxD1jXn4415,1.38,1.42,If your presentation topic is simpler you could just say one sentence like this :,No
nan,nan,nan,Today I ’ m going to be talking about our new HR policy and how they affect you .,No
fzIxD1jXn4416,1.48,1.54,Or : I ’ d like to talk to you today about quality control and why we ’ re all responsible,No
nan,nan,nan,for quality control whichever department you work in .,No
fzIxD1jXn4417,1.58,1.58,If your topic is more complex you might add more detail to break your idea into stage .,Structure
fzIxD1jXn4418,2.06,2.11,For example : I ’ ll begin by outlining the policy and,Structure
nan,nan,nan,then I ’ ll go on to highlight what they mean for you and your working habit .,Structure
fzIxD1jXn4419,2.16,2.23,Finally I ’ ll briefly discus why we feel these new policy are necessary and beneficial,Structure
nan,nan,nan,for u all .,No
fzIxD1jXn4420,2.25,2.29,Here ’ s another example : First of all I ’ ll explain why ‘ quality,Structure
nan,nan,nan,control ’ ha a broader meaning than you might expect .,Structure
fzIxD1jXn4421,2.32,2.37,I ’ ll continue by giving example of real quality control and why this matter for,Structure
nan,nan,nan,all of u .,No
fzIxD1jXn4422,2.39,2.43,To finish I ’ ll be asking you to think of way you can incorporate quality control into,Structure
nan,nan,nan,your working habit .,No
fzIxD1jXn4423,2.44,2.44,Here you saw two example .,No
fzIxD1jXn4424,2.48,3.15,You can use these a template to begin your presentation :,No
nan,nan,nan,I ’ ll begin by… and then I ’ ll…,Structure
nan,nan,nan,Finally I ’ ll…,Structure
nan,nan,nan,Or : First of all I ’ ll…,Structure
nan,nan,nan,I ’ ll continue by…,Structure
nan,nan,nan,To finish I ’ ll…,Structure
nan,nan,nan,Okay now you can practice !,No
nan,nan,nan,We ’ d like you to do two thing .,No
fzIxD1jXn4425,3.19,3.26,First practice introducing yourself informally and explaining your topic in a simple way,No
nan,nan,nan,with one sentence .,No
fzIxD1jXn4426,3.3,3.37,Then practice introducing yourself formally and explaining your topic in a more detailed,No
nan,nan,nan,way .,No
fzIxD1jXn4427,3.39,3.39,Pause the video and practice speaking .,No
fzIxD1jXn4428,3.43,3.43,All the language you need is in this section .,No
fzIxD1jXn4429,3.47,3.54,Ready ?,No
nan,nan,nan,Let ’ s move on !,Structure
nan,nan,nan,I ’ m sure that in your life you ’ ve heard good speaker and bad speaker .,No
fzIxD1jXn4430,3.59,3.59,Good speaker grab your attention and don ’ t let go .,No
fzIxD1jXn4431,4.02,4.02,You want to hear what they have to say .,No
fzIxD1jXn4432,4.05,4.05,You feel interested and energised by listening to them .,No
fzIxD1jXn4433,4.09,4.09,Bad speaker are the opposite .,No
fzIxD1jXn4434,4.11,4.11,Even if you try to make yourself listen you find that your attention drift away .,No
fzIxD1jXn4435,4.16,4.16,Your eyelid feel heavy and you have to struggle to stay awake .,No
fzIxD1jXn4436,4.2,4.33,So here ’ s a question : what ’ s the difference between good speaker and bad speaker ?,No
nan,nan,nan,And how can you make sure you speak effectively when you make your presentation in English ?,No
nan,nan,nan,Here ’ s one way to think about it : bad speaker don ’ t think they have to earn your attention .,No
fzIxD1jXn4437,4.41,4.48,Good speaker understand that no one ha to listen to them so they work hard to make,No
nan,nan,nan,you want to pay attention .,No
fzIxD1jXn4438,4.51,4.57,What doe this mean for you and your presentation ?,Structure
nan,nan,nan,Getting people ’ s attention start from the beginning .,No
fzIxD1jXn4439,5.01,5.07,You need to make it clear what people should expect from your presentation and why they,No
nan,nan,nan,should care about what you have to say .,No
fzIxD1jXn4440,5.11,5.16,Sounds like a nice idea but how do you do this ?,No
nan,nan,nan,Here are three technique you can use .,No
fzIxD1jXn4441,5.18,5.18,One : establish a problem which many people in your audience have .,Structure
fzIxD1jXn4442,5.23,5.23,Then establish that you have a solution to their problem .,Structure
fzIxD1jXn4443,5.28,5.41,For example :,No
nan,nan,nan,Have you ever felt unfairly treated at work or felt that the work you do isn ’ t appreciated ?,No
nan,nan,nan,We ’ ve been working to design new HR policy that will make sure all staff get fair recognition,No
nan,nan,nan,for their contribution to the company .,No
fzIxD1jXn4444,5.45,5.51,In this way you take a boring topic like HR policy and you make it more relevant,No
nan,nan,nan,to your audience .,No
fzIxD1jXn4445,5.53,5.54,How ?,No
nan,nan,nan,By connecting it with their experience and feeling .,No
fzIxD1jXn4446,5.58,6,The second technique ?,No
nan,nan,nan,Mention an interesting fact or a surprising statistic to get people ’ s attention .,Structure
fzIxD1jXn4447,6.07,6.25,For example :,No
nan,nan,nan,Did you know that the average office worker spends eight hour a day at work but only,No
nan,nan,nan,doe four hour of productive useful work ?,No
nan,nan,nan,I ’ m here to tell you about ‘ quality control ’ and how you can use this idea to make better,No
nan,nan,nan,use of your time .,No
fzIxD1jXn4448,6.27,6.27,Finally you can engage people by telling a short story and connecting it to your topic .,Structure
fzIxD1jXn4449,6.33,6.37,Stories are powerful and they can add an emotional dimension to your topic if you do,Structure
nan,nan,nan,it well .,No
fzIxD1jXn4450,6.39,6.41,For example :,No
nan,nan,nan,I once met a young salesman—I won ’ t mention his name .,No
fzIxD1jXn4451,6.45,6.45,He spent several week building a relationship with a potential client .,No
fzIxD1jXn4452,6.48,6.53,He worked overtime and he wa working so hard that he wa under severe stress which,No
nan,nan,nan,started to affect his personal life .,No
fzIxD1jXn4453,6.56,6.56,In the end he didn ’ t close the deal—the client signed with another firm .,Structure
fzIxD1jXn4454,7.01,7.06,Today I ’ m going to talk about confidence a a sale tool and how you can avoid the,No
nan,nan,nan,trap that this young man fell into .,No
fzIxD1jXn4455,7.11,7.16,Use one of these three technique in your introduction to connect with your audience,No
nan,nan,nan,and show them why they should be interested in what you have to say .,No
fzIxD1jXn4456,7.2,7.26,Here ’ s a question for you : which technique would you prefer to use and why ?,No
nan,nan,nan,Okay now you ’ ve introduced your topic and you have everyone ’ s attention .,No
fzIxD1jXn4457,7.31,7.45,What next ?,Structure
nan,nan,nan,There ’ s a famous quote about making presentation :,Structure
nan,nan,nan,“ Tell the audience what you ’ re going to say ; say it and then tell them what you ’ ve,No
nan,nan,nan,said . ”,No
fzIxD1jXn4458,7.45,7.51,Have you heard this before ?,Structure
nan,nan,nan,Do you know who said it ?,Structure
nan,nan,nan,This come from Dale Carnegie a very successful American salesman and writer .,No
fzIxD1jXn4459,7.58,7.58,He lived a long time ago but his advice is still relevant today .,Structure
fzIxD1jXn4460,8.03,8.09,So here ’ s a question : what doe the quote mean ?,Structure
nan,nan,nan,It mean that your presentation shouldn ’ t just give information .,Structure
fzIxD1jXn4461,8.13,8.13,You also need to show people how your information is organized .,No
fzIxD1jXn4462,8.18,8.18,To do this you need signposting language .,No
fzIxD1jXn4463,8.22,8.22,Let me give you an example to explain .,Structure
fzIxD1jXn4464,8.25,8.25,Imagine you go to a website .,No
fzIxD1jXn4465,8.27,8.27,The website is full of really useful interesting information .,Structure
fzIxD1jXn4466,8.31,8.31,But the information is all on one page .,Structure
fzIxD1jXn4467,8.34,8.39,There ’ s no organization and you have to scroll up and down up and down this huge,Structure
nan,nan,nan,page trying to find what you need .,No
fzIxD1jXn4468,8.43,8.46,Would you stay on that website ?,No
nan,nan,nan,Probably not .,No
