SegmentId,StartTime,EndTime,Transcript,,,,,,,
,,,,,,,,,,
d812a7qG9Kw7,0.24,0.27,The one before this is on how to improve,Practice,Preparation,,,Delivery,,
,,,and this one is specifically on how to practice a speech .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw8,0.3,0.39,So let 's get into the five way,Speech,LanguageElement,VerbalCommunication,,Delivery,,
,,,that I recommend you practicing a speech,End,StructureComponent,,,Structure,,
,,,and at the end of this video you may wan na stick around,Video,Film,MovingImage,Illustration,VisualAid,,
,,,because I have a couple of resource to suggest,,,,,,,
,,,to help you move your public speaking to the next level .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw9,0.42,0.44,So the first way to practice a speech,Practice,Preparation,,,Delivery,,
,,,is to practice from an outline .,Speech,LanguageElement,VerbalCommunication,,Delivery,,
,,,,Practice,Preparation,,,Delivery,,
,,,,Outline,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
d812a7qG9Kw10,0.48,0.48,Not word for word note .,Note,VisualAidArtefact,,,VisualAid,,
,,,,,,,,,,
d812a7qG9Kw11,0.5,0.51,I 've given some version of this tip,Video,Film,MovingImage,Illustration,VisualAid,,
,,,in a lot of different video but let 's say it clearly .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw12,0.54,1.01,You must practice from an outline a bare bone outline,Practice,Preparation,,,Delivery,,
,,,if you want to sound conversational,Outline,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,which is really what your listener want from you .,Outline,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,,Sound,Audio,VisualAidArtefact,,VisualAid,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
d812a7qG9Kw13,1.03,1.06,They do n't want you to read your speech,Speech,LanguageElement,VerbalCommunication,,Delivery,,
,,,they do n't want you to sound like you 've memorized it .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw14,1.08,1.08,They want a conversation .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw15,1.09,1.09,And the way to get there is this .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw16,1.11,1.25,You take whatever note you have to prepare at first,Note,VisualAidArtefact,,,VisualAid,,
,,,your first few draft,Practice,Preparation,,,Delivery,,
,,,and then you just keep cutting them down over and over again,Outline,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,every time you practice,,,,,,,
,,,until all you 're left with is a bulleted outline,,,,,,,
,,,of your key point that you are going to hit .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw17,1.27,1.27,That 's all you really want in the end .,End,StructureComponent,,,Structure,,
,,,,,,,,,,
d812a7qG9Kw18,1.29,1.32,And that way you have a safety net to fall back on,,,,,,,
,,,so you wo n't ever lose your place .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw19,1.34,1.37,You can just glance down at your note,Note,VisualAidArtefact,,,VisualAid,,
,,,and then bounce your eye right back up,Eye,EyeMotion,BodyMotion,BodyLangugenamebodylanguage,Delivery,,
,,,and present from an outline .,Outline,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
d812a7qG9Kw20,1.39,1.39,That 's the best way .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw21,1.4,1.41,Practice from an outline,Practice,Preparation,,,Delivery,,
,,,and in the end present like an outline .,Outline,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,,End,StructureComponent,,,Structure,,
,,,,Outline,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
d812a7qG9Kw22,1.43,1.53,One of the thing I will do in fact is,Sound,Audio,VisualAidArtefact,,VisualAid,,
,,,so I do n't sound like I 've memorized it,Sound,Audio,VisualAidArtefact,,VisualAid,,
,,,I do n't sound like a robot,Practice,Preparation,,,Delivery,,
,,,is every time I practice,Purpose,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,I might say it a little differently on purpose,,,,,,,
,,,so that I 'm not tempted to memorize .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw23,1.55,1.55,So do n't try to put it word for word do n't try to memorize .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw24,1.59,1.59,Talking point only and practice from that kind of outline .,Practice,Preparation,,,Delivery,,
,,,,,,,,,,
d812a7qG9Kw25,2.02,2.04,The number two tip on how to practice,Practice,Preparation,,,Delivery,,
,,,is to spread out your practice session over time .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw26,2.08,2.08,Do n't cram the night before .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw27,2.1,2.1,Do n't cram the morning before your presentation .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw28,2.13,2.15,I recommend spreading your practice session out,Practice,Preparation,,,Delivery,,
,,,over three day .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw29,2.16,2.2,The idea is to practice about three time each day,Practice,Preparation,,,Delivery,,
,,,over those three day .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw30,2.21,2.25,I like to practice about 10 time,Practice,Preparation,,,Delivery,,
,,,before I stand up and speak,,,,,,,
,,,and it 's really easier to do if you spread it out .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw31,2.28,2.3,A lot of great thing happen,Practice,Preparation,,,Delivery,,
,,,when you spread out your practice session .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw32,2.32,2.32,The first thing that happens to me is it calm me down .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw33,2.35,2.35,It say to me hey there 's time .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw34,2.37,2.41,So if my earliest few practice session practice time,Practice,Preparation,,,Delivery,,
,,,do n't go so well I say hey there 's time .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw35,2.43,2.43,No problem I got a few more day .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw36,2.44,2.44,I 'll work out these kink .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw37,2.46,2.49,Another great thing that happens is,,,,,,,
,,,let 's say I 've practiced it three time,,,,,,,
,,,and then I sleep on it .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw38,2.51,2.59,Oftentimes in the middle of the day,Middle,StructureComponent,,,Structure,,
,,,I 'm doing other thing I 'm washing dish,,,,,,,
,,,my brain keep working on it,,,,,,,
,,,and keep figuring out better way to say something,,,,,,,
,,,or a quicker way to get to the point .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw39,3.01,3.06,So in that downtime I believe that our brain,,,,,,,
,,,are still working on it,,,,,,,
,,,and we benefit from that downtime a well .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw40,3.08,3.12,The other great thing about breaking up,Practice,Preparation,,,Delivery,,
,,,your practice session is it help me,,,,,,,
,,,with my composure in the moment .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw41,3.14,3.18,Because it feel to me like muscle memory with an athlete,,,,,,,
,,,that I 've done this before .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw42,3.2,3.2,I 've been doing this presentation for day .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw43,3.22,3.22,So it really help me stay composed and in the moment .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw44,3.25,3.28,So spread out those practice session three time a day,Practice,Preparation,,,Delivery,,
,,,over three day .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw45,3.29,3.29,That usually is about what you need .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw46,3.31,3.36,The number three tip is to focus,Focus,Paralanguage,NonVerbalCommunication,,Delivery,,
,,,on only one or two improvement,,,,,,,
,,,each time you practice it through .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw47,3.39,3.41,So you might just work on your structure and your outline,,,,,Structure,,
,,,in the first few time through that 's normal .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw48,3.44,3.48,The next few time through just pick one or two thing,Outline,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,like oh now I 'm just gon na work on looking up,,,,,,,
,,,form my outline eye contact for example .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw49,3.5,3.53,The next time through you might just work on gesture,Gesture,BodyMotion,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,and your posture a little bit .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw50,3.54,4.14,Every time you practice,Practice,Preparation,,,Delivery,,
,,,add one or two thing you wan na improve on,Practice,Preparation,,,Delivery,,
,,,because when you add too many thing all at once,Practice,Preparation,,,Delivery,,
,,,when you try to get it perfect every time you practice,Focus,Paralanguage,NonVerbalCommunication,,Delivery,,
,,,you 're going to get paralyzed,Start,StructureComponent,,,Structure,,
,,,because you ca n't really improve more than one thing,List,Text,VisualAidArtefact,,VisualAid,,
,,,or maybe two thing in any given practice session,,,,,,,
,,,so focus on improvement,,,,,,,
,,,and then start checking those off the list .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw51,4.16,4.18,And then your fundamental will all be in place,Stand,BodyPosition,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,by the time you actually stand up to present .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw52,4.21,4.21,Number four tip is to keep practice session realistic .,Practice,Preparation,,,Delivery,,
,,,,,,,,,,
d812a7qG9Kw53,4.26,4.29,Do not for example the whole time you 're practicing,,,,,,,
,,,isolate yourself completely and make condition perfect .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw54,4.34,4.37,Because what end up happening in the moment,End,StructureComponent,,,Structure,,
,,,of your actual presentation is it wo n't go perfectly .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw55,4.39,4.45,People will walk in late,Walk,BodyPosition,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,or they 'll get up to use the bathroom,,,,,,,
,,,or there 'll be somebody,,,,,,,
,,,with a lawn mower outside your window .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw56,4.47,4.52,In fact I 've been recording this morning,,,,,,,
,,,and there is a neighbor working with a chainsaw nearby,,,,,,,
,,,that keep distracting me but you just power through it .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw57,4.55,4.59,So after a few time practicing alone,End,StructureComponent,,,Structure,,
,,,what I end up doing when I practice,Practice,Preparation,,,Delivery,,
,,,is I add distraction on purpose .,Distraction,Attention,,,PresentationAttribute,,
,,,,Purpose,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
d812a7qG9Kw58,5.02,5.14,Like I will put the television or some music on,Music,Audio,VisualAidArtefact,,VisualAid,,
,,,and then I 'll talk over that,Distraction,Attention,,,PresentationAttribute,,
,,,because it creates a little bit of noise,Practice,Preparation,,,Delivery,,
,,,and distraction for me to cope with,Distraction,Attention,,,PresentationAttribute,,
,,,and I know that if I can practice through those distraction,,,,,,,
,,,that during the actual moment I 'll be ready to push through .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw59,5.17,5.18,Even if something weird or odd happens,,,,,,,
,,,it wo n't throw me off a much .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw60,5.2,5.2,So keep practice session realistic .,Practice,Preparation,,,Delivery,,
,,,,,,,,,,
d812a7qG9Kw61,5.23,5.28,And the number five tip is to visualize the first 30 second,,,,,,,
,,,and the last 30 second of your presentation .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw62,5.3,5.3,So by visualization I mean the way a sport athlete doe it .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw63,5.34,5.4,So you picture yourself walking up,Picture,Figure,Illustration,VisualAidArtefact,VisualAid,,
,,,through that first 30 second of the moment,Walking,BodyPosition,BodyLangugenamebodylanguage,NonVerbalCommunication,Delivery,,
,,,starting off your presentation,Close,StructureComponent,,,Structure,,
,,,and then the last 30 second how you 're gon na close .,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
d812a7qG9Kw64,5.43,5.43,So athlete do this with great success .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw65,5.46,5.55,There is a study by Laure Ecard published in the 1980s,,,,,,,
,,,and a lot of other study like it,,,,,,,
,,,on basketball free throw shooting,,,,,,,
,,,and they found people that only visualized,,,,,,,
,,,actually did improve a little bit .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw66,5.57,6,People who practiced free throw basketball free throw,,,,,,,
,,,improved a little more .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw67,6.01,6.05,But athlete who did both,,,,,,,
,,,they visualized and they practiced,,,,,,,
,,,did the most improvement out of any of the group .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw68,6.08,6.15,So by visualizing the first 30 second and last 30 second,Practice,Preparation,,,Delivery,,
,,,you 're going to be boosting,,,,,,,
,,,your overall performance up quite a bit,,,,,,,
,,,even if you do n't get to practice it a few extra session .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw69,6.18,6.2,So those are the five tip I recommend,Practice,Preparation,,,Delivery,,
,,,in term of how to practice for a speech .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw70,6.22,6.28,These are the one I use personally,Practice,Preparation,,,Delivery,,
,,,and I have coached a lot of people over the year,,,,,,,
,,,to use them and they really do work,,,,,,,
,,,so put them into practice a soon a possible .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw71,6.3,6.33,So I mentioned a couple of resource at the beginning,Beginning,StructureComponent,,,Structure,,
,,,I wanted to tell you about that are for you .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw72,6.35,6.35,The first one is a free PDF download .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw73,6.38,6.4,It 's instant tip to make you a more confident,Confident,SpeakerEmotion,,,Delivery,,
,,,and composed public speaker .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw74,6.43,6.44,You put your email address in,,,,,,,
,,,and I email you those instant tip .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw75,6.46,6.46,It 's a PDF download .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw76,6.47,6.5,The second resource is a full course that I have created,,,,,,,
,,,called Present Like a Pro .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw77,6.52,7,It 's a whole course and it 's designed to help you become,,,,,,,
,,,a top 10 % speaker in your professional setting,,,,,,,
,,,so if you really want to get into it,,,,,,,
,,,I invite you to check that out .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw78,7.01,7.03,The link to all these resource,Video,Film,MovingImage,Illustration,VisualAid,,
,,,are in the description below the video .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw79,7.05,7.12,So question of the day how do you recommend practicing,Section,BodyComponent,StructureComponent,,Structure,,
,,,your presentation that help you the most ?,,,,,,,
,,,I would love to hear your thought on what help you,,,,,,,
,,,in that section below the video .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw80,7.14,7.14,I look forward to reading those comment .,,,,,,,
,,,,,,,,,,
d812a7qG9Kw81,7.16,7.16,So thanks god bless and I will see you soon .,,,,,,,
,,,,,,,,,,
hMk5s1y486I1,0,0.07,I want to talk to you about the day in,Reason,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,my life that wa one to remember for all,,,,,,,
,,,"the right, but also all of the wrong",,,,,,,
,,,reason. You see I used to drag race car,,,,,,,
,,,,,,,,,,
hMk5s1y486I2,0.1,0.12,in this one particular day. I had reached,,,,,,,
,,,,,,,,,,
hMk5s1y486I3,0.12,0.25,the final for the very first time it,Start,StructureComponent,,,Structure,,
,,,wa just me and one other person going,,,,,,,
,,,head to head We go up to the start line,,,,,,,
,,,"in that light, flash green, we re down",,,,,,,
,,,"the racetrack, but unfortunately you got",,,,,,,
,,,a better jump than I did. I m slowly,,,,,,,
,,,,,,,,,,
hMk5s1y486I4,0.25,0.33,creeping up a we go towards that finish,Finish,StructureComponent,,,Structure,,
,,,"line, but unfortunately again that finish",,,,,,,
,,,"line, crossed before I could take first",,,,,,,
,,,place. I finished in second place. It,,,,,,,
,,,,,,,,,,
hMk5s1y486I5,0.35,0.35,nan,,,,,,,
,,,,,,,,,,
hMk5s1y486I6,0.35,0.4,"wa nt first, but it wa my best finish",Finish,StructureComponent,,,Structure,,
,,,ever I wa elated little did. I know my,,,,,,,
,,,,,,,,,,
hMk5s1y486I7,0.4,0.4,day. in that moment I wa at the peak of,,,,,,,
,,,,,,,,,,
hMk5s1y486I8,0.43,0.45,my day. headed for a valley. What would,,,,,,,
,,,,,,,,,,
hMk5s1y486I9,0.45,0.45,nan,,,,,,,
,,,,,,,,,,
hMk5s1y486I10,0.45,0.5,happen later is something my family,,,,,,,
,,,still talk about in a joking manner.,,,,,,,
,,,,,,,,,,
hMk5s1y486I11,0.52,0.55,"Nonetheless, are you hooked? Well, any",Story,StructureApproach,,,Structure,,
,,,strong presentation will tell a story.,,,,,,,
,,,,,,,,,,
hMk5s1y486I12,0.57,0.57,It ll. Keep your audience locked in from,Audience,,,,Delivery,,
,,,,,,,,,,
hMk5s1y486I13,0.57,1,start to finish,Start,StructureComponent,,,Structure,,
,,,hello world. My name is Mike Lauder here,,,,,,,
,,,,,,,,,,
hMk5s1y486I14,1,1.06,with viz me and if you stick around,,,,,Structure,,
,,,not only will I tell you these seven,Finish,StructureComponent,,,Structure,,
,,,different way to structure your,Story,StructureApproach,,,Structure,,
,,,presentation. I ll. also finish my story.,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
hMk5s1y486I15,1.07,1.07,nan,,,,,,,
,,,,,,,,,,
hMk5s1y486I16,1.07,1.07,nan,,,,,,,
,,,,,,,,,,
hMk5s1y486I17,1.09,1.13,and give you something to laugh about,,,,,Structure,,
,,,before we get to the seven different,,,,,,,
,,,way to structure your presentation. it s,,,,,,,
,,,,,,,,,,
hMk5s1y486I18,1.13,1.17,important to thoroughly plan your,Plan,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,"message in a rough draft. First, you got",,,,,,,
,,,,,,,,,,
hMk5s1y486I19,1.17,1.26,to decide if you want your message to be,Message,Conclusion,ClosingComponent,StructureComponent,Structure,,
,,,"informative, inspiring, persuasive or",Persuasive,Impact,,,PresentationAttribute,,
,,,entertaining it can be one or two of,Map,Picture,Figure,Illustration,VisualAid,,
,,,these but do nt try to cover the entire,Title,Text,VisualAidArtefact,,VisualAid,,
,,,map. Then you want your title to be the,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
hMk5s1y486I20,1.28,1.3,very first slide in your presentation. to,Slide,VisualAidArtefact,,,VisualAid,,
,,,,,,,,,,
hMk5s1y486I21,1.3,1.36,set the tone for What you want to,Tone,Paralanguage,NonVerbalCommunication,,Delivery,,
,,,accomplish start jotting your idea down,,,,,,,
,,,on paper and establish your main focal,,,,,,,
,,,point.,,,,,,,
,,,,,,,,,,
hMk5s1y486I22,1.39,1.41,This will make writing your actual,,,,,,,
,,,"presentation, much much easier.",,,,,,,
,,,,,,,,,,
hMk5s1y486I23,1.47,1.49,If you re looking to inform or inspire,Story,StructureApproach,,,Structure,,
,,,the fact and story. presentation.,,,,,,,
,,,,,,,,,,
hMk5s1y486I24,1.51,1.55,structure is a great place to start,,,,,Structure,,
,,,here you intertwine fact into your,Start,StructureComponent,,,Structure,,
,,,story to Keep your audience interested.,Story,StructureApproach,,,Structure,,
,,,,Audience,,,,Delivery,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
hMk5s1y486I25,1.57,2.01,You start with what is This is the,Start,StructureComponent,,,Structure,,
,,,present reality or the current situation,,,,,,,
,,,at hand. This statement should be,,,,,,,
,,,,,,,,,,
hMk5s1y486I26,2.01,2.1,completely factual and from there you,Story,StructureApproach,,,Structure,,
,,,turn to What could be to express,,,,,,,
,,,potential improvement by going from,,,,,,,
,,,fact the story. fact the story. your,,,,,,,
,,,,,,,,,,
hMk5s1y486I27,2.1,2.1,nan,,,,,,,
,,,,,,,,,,
hMk5s1y486I28,2.1,2.13,"audience constantly want more. However,",Audience,,,,Delivery,,
,,,,,,,,,,
hMk5s1y486I29,2.13,2.17,it is important to reach that finish,Finish,StructureComponent,,,Structure,,
,,,"line, in your presentation. your viewer",,,,,,,
,,,,,,,,,,
hMk5s1y486I30,2.17,2.25,will feel like they ve learned something,Drawing,Diagram,Figure,Illustration,VisualAid,,
,,,new and they ll be inspired to act so,,,,,,,
,,,make it easy for them to do so by,,,,,,,
,,,drawing out exactly how they can create,,,,,,,
,,,change. This TED talk by David McCandless,,,,,,,
,,,,,,,,,,
hMk5s1y486I31,2.27,2.32,and the beauty of data visualization is,Story,StructureApproach,,,Structure,,
,,,a perfect example of fact and story. He,,,,,,,
,,,,,,,,,,
hMk5s1y486I32,2.32,2.42,combined his own data with personal,PersonalStory,PersonalIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,story that the audience can relate to,,,,,Structure,,
,,,our second presentation structure is the,Purpose,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,explanation. The explanation purpose is,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
hMk5s1y486I33,2.45,2.57,"to inform about a process, create a plan",Plan,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,to fix a problem or even to learn,Plan,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,something new This is typically used by,Start,StructureComponent,,,Structure,,
,,,consultant or salesperson trying to,,,,,,,
,,,create new. master plan. You start at the,,,,,,,
,,,,,,,,,,
hMk5s1y486I34,2.57,2.57,nan,,,,,,,
,,,,,,,,,,
hMk5s1y486I35,2.57,2.59,bottom with the lay of the land. This,,,,,,,
,,,,,,,,,,
hMk5s1y486I36,2.59,3.06,"show where thing are, but You want to",Plan,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,establish a plan of attack to reach your,Start,StructureComponent,,,Structure,,
,,,"destination, should start with a story. to",Story,StructureApproach,,,Structure,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
hMk5s1y486I37,3.06,3.08,Keep your audience excited. You Then step,Audience,,,,Delivery,,
,,,,,,,,,,
hMk5s1y486I38,3.08,3.1,up to the roadmap. This is an actual,,,,,,,
,,,,,,,,,,
hMk5s1y486I39,3.1,3.12,visual representation on how You ll.,,,,,,,
,,,,,,,,,,
hMk5s1y486I40,3.15,3.17,"reach your destination, the audience by",Audience,,,,Delivery,,
,,,"now is on to the right, track. Your first",,,,,,,
,,,,,,,,,,
hMk5s1y486I41,3.17,3.29,"step begin the adventure, while the next",Middle,StructureComponent,,,Structure,,
,,,"step are somewhere in the middle, laying",,,,,,,
,,,out each step one by one by one when,,,,,,,
,,,"you re almost there, you look back at",,,,,,,
,,,just how far you ve come.,,,,,,,
,,,,,,,,,,
hMk5s1y486I42,3.3,3.35,"And finally, the arrival is when you ve",Audience,,,,Delivery,,
,,,"reached your destination, in the audience",,,,,,,
,,,feel enlightened with new knowledge. Try,,,,,,,
,,,,,,,,,,
hMk5s1y486I43,3.35,3.37,watching this TED talk by Amy Cuddy. She,,,,,,,
,,,,,,,,,,
hMk5s1y486I44,3.37,3.52,"explains how power pose effect,",End,StructureComponent,,,Structure,,
,,,"difficult situation and at the end, she",Practice,Preparation,,,Delivery,,
,,,even invite? U all to try it in a,Sound,Audio,VisualAidArtefact,,VisualAid,,
,,,two practice of power posing,Pitch,Tone,Paralanguage,NonVerbalCommunication,Delivery,,
,,,just a It sound. The pitch is all about,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
hMk5s1y486I45,3.52,3.57,expressing an idea to solve a problem or,,,,,,,
,,,to improve something. Have you ever seen,,,,,,,
,,,,,,,,,,
hMk5s1y486I46,3.57,4.08,the show shark tank it s one of my,Product,Prop,VisualAidArtefact,,VisualAid,,
,,,"favorite, because you see small",,,,,,,
,,,company and individual that are,,,,,,,
,,,pitching their product to potential,,,,,,,
,,,investor and the pitch There are a,,,,,,,
,,,"series of event to take place. first, is",,,,,,,
,,,,,,,,,,
hMk5s1y486I47,4.08,4.15,"the wind up? These are effect, that You",Audience,,,,Delivery,,
,,,want your audience to relate to and to,,,,,,,
,,,"understand after that, come the hurdle.",,,,,,,
,,,,,,,,,,
hMk5s1y486I48,4.17,4.22,This is a problem or the problem that,Story,StructureApproach,,,Structure,,
,,,You Have a solution for present This in,,,,,,,
,,,a story. so the emphasis is double. After,,,,,,,
,,,,,,,,,,
hMk5s1y486I49,4.22,4.22,nan,,,,,,,
,,,,,,,,,,
hMk5s1y486I50,4.22,4.29,diagnosing the problem shed some light,,,,,,,
,,,on the idea and how the problem can be,,,,,,,
,,,"solved, this is called the vision. Then",,,,,,,
,,,,,,,,,,
hMk5s1y486I51,4.29,4.29,come. the important part present solid,,,,,,,
,,,,,,,,,,
hMk5s1y486I52,4.32,4.35,option that would solve the issue. Use,,,,,,,
,,,,,,,,,,
hMk5s1y486I53,4.35,4.41,"test, experiment, research, data, anything",Story,StructureApproach,,,Structure,,
,,,you possibly have a proof and a story.,,,,,,,
,,,,,,,,,,
hMk5s1y486I54,4.43,4.53,to give backbone to your idea and,Backbone,ContentIntroduction,OpeningComponent,StructureComponent,Structure,,
,,,"finally, you want to close out with your",Close,StructureComponent,,,Structure,,
,,,best option tell the audience the fine,Audience,,,,Delivery,,
,,,print on What the next step to take are,Finish,StructureComponent,,,Structure,,
,,,"and finish with the hook. The conclusion,",Conclusion,ClosingComponent,StructureComponent,,Structure,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
hMk5s1y486I55,4.53,5.04,with an added bonus to the solution,,,,,,,
,,,check out This by Enrique Salah,,,,,,,
,,,"after 10 year of research, he s hoping",,,,,,,
,,,"to turn high into natural reserve,",,,,,,,
,,,solving oceanic destruction and low fish,,,,,,,
,,,supply.,,,,,,,
,,,,,,,,,,
hMk5s1y486I56,5.12,5.26,"Typically, in our life We like to avoid",Story,StructureApproach,,,Structure,,
,,,"drama in any way possible, but that",,,,,,,
,,,doe nt Have to be the case in a,,,,,,,
,,,presentation This style follows a main,,,,,,,
,,,character or group of people through all,,,,,,,
,,,the trial and tribulation they re,,,,,,,
,,,"experiencing before finishing, with an",,,,,,,
,,,"inspiring success story. there are, eight",,,,,,,
,,,,,,,,,,
hMk5s1y486I57,5.26,5.31,step in this structure and you start,,,,,Structure,,
,,,with one fine day. This set the scene of,,,,,,,
,,,,,,,,,,
hMk5s1y486I58,5.31,5.34,"the story. there s, nothing great going on",Story,StructureApproach,,,Structure,,
,,,,,,,,,,
hMk5s1y486I59,5.34,5.38,nothing bad everything is just fine,,,,,,,
,,,"Suddenly, a challenge appears. This is a",,,,,,,
,,,,,,,,,,
hMk5s1y486I60,5.38,5.45,"problem that must be solved, and you",,,,,,,
,,,"attack it with the descending crisis, but",,,,,,,
,,,unfortunately that just make everything,,,,,,,
,,,worse. You ve now reached rock bottom.,,,,,,,
,,,,,,,,,,
hMk5s1y486I61,5.47,5.47,nan,,,,,,,
,,,,,,,,,,
hMk5s1y486I62,5.5,5.5,Your story. is at a standstill and here s,Story,StructureApproach,,,Structure,,
,,,,,,,,,,
hMk5s1y486I63,5.5,6.07,a little secret pause for added effect,Pause,Paralanguage,NonVerbalCommunication,,Delivery,,
,,,when all seems lost some light shine,,,,,,,
,,,"through to get you right, back on your",,,,,,,
,,,foot and with This new discovery you re,,,,,,,
,,,fighting to get back to where you,,,,,,,
,,,"started in the Rise before long, you ve",,,,,,,
,,,reached the return. This is where,,,,,,,
,,,,,,,,,,
hMk5s1y486I64,6.07,6.17,"everything is normal again, but why stop",Conclusion,ClosingComponent,StructureComponent,,Structure,,
,,,"there? You ve reached a conclusion, but",,,,,,,
,,,You ve also learned an invaluable lesson,,,,,,,
,,,along the way your audience is inspired,,,,,,,
,,,they re informed. They re even,,,,,,,
,,,,,,,,,,
hMk5s1y486I65,6.17,6.21,entertained a little bit with a great,Story,StructureApproach,,,Structure,,
