SegmentId,StartTime,EndTime,Transcript
,,,for our company structure and all
,,,of them had code name like no space short word sometimes number .
XA1o5rvy8r438,3.19,3.24,One request we got wa to set up separate structure for our European and American
,,,company . The code to use wa A. N. A. L Europe
XA1o5rvy8r439,3.24,3.24,
XA1o5rvy8r440,3.24,3.24,A. N. A. L America .
XA1o5rvy8r441,3.28,3.28,
XA1o5rvy8r442,3.29,3.29,A.N . A.L standing for analysis .
XA1o5rvy8r443,3.29,3.29,
XA1o5rvy8r444,3.32,3.32,Some word just should n't be shorted .
XA1o5rvy8r445,3.34,3.34,You can either entirely replace them or use the full word .
XA1o5rvy8r446,3.39,3.42,So going back to your use of acronym in a meeting
,,,you want to make sure that you do n't unintentionally offend someone .
XA1o5rvy8r447,3.47,3.47,And you do n't exclude anyone because they do n't understand what it mean .
XA1o5rvy8r448,3.5,3.56,So make sure you emphasize what these are in the handout and also on the slide
,,,if you 're using them in there .
XA1o5rvy8r449,3.59,3.59,Number three branding .
XA1o5rvy8r450,4.01,4.04,Are you getting excessive with your branding ?
,,,The company I worked for always had their logo on every single slide .
XA1o5rvy8r451,4.09,4.09,When I started to work on my own that 's what I did .
XA1o5rvy8r452,4.11,4.11,I put my logo on every single slide prominently featured on top .
XA1o5rvy8r453,4.16,4.19,I believed that wa the professional thing to do
,,,but when I started to make simpler slide that logo wa so distracting .
XA1o5rvy8r454,4.24,4.24,It looked bigger than ever .
XA1o5rvy8r455,4.26,4.4,Before I did n't even notice it so much because the slide wa so full
,,,but when it started to get empty
,,,I started to question the placement of any image or object on that slide
,,,and I asked doe it bring any added value ?
,,,Well it did n't . It wa distracting .
XA1o5rvy8r456,4.4,4.4,
XA1o5rvy8r457,4.42,4.42,I do n't need my logo on every single page .
XA1o5rvy8r458,4.45,4.45,It 's enough to put it on the first and the last page .
XA1o5rvy8r459,4.48,4.5,And if you 're concerned about piracy
,,,you can use a light watermark in the footer and make it small .
XA1o5rvy8r460,4.53,4.53,That 's what I do .
XA1o5rvy8r461,4.54,4.54,Think about this slide you use for your internal meeting .
XA1o5rvy8r462,4.58,5.06,Do you have the logo on every single slide ? Does it bring any added value ?
,,,So these were my three tip that help me make better PowerPoint slide
,,,and more effective presentation .
XA1o5rvy8r463,5.09,5.09,I hope you found them helpful .
XA1o5rvy8r464,5.1,5.1,I 'm curious to hear what you think . Also
XA1o5rvy8r465,5.1,5.17,what do you most struggle with when you make PowerPoint presentation ?
,,,Let me know in the comment below . Thank you for watching .
XA1o5rvy8r466,5.17,5.17,
XA1o5rvy8r467,5.21,5.21,See you in the next video .
XA1o5rvy8r468,5.27,5.27,Yeah .
fzIxD1jXn441,0.01,0.01,Hi I ’ m Gina .
fzIxD1jXn442,0.03,0.06,Welcome to Oxford Online English !
,,,In this lesson you can learn how to make a presentation in English .
fzIxD1jXn443,0.1,0.14,Do you have to make presentation in English in your job ?
,,,Imagine you have to give an important presentation in English tomorrow .
fzIxD1jXn444,0.18,0.31,How would you feel about it ?
,,,This lesson will help you learn useful phrase and technique to introduce yourself and your
,,,topic keep your idea organised deal with problem and respond to question from audience
,,,member .
fzIxD1jXn445,0.32,0.32,Imagine you ’ re standing in front of your colleague .
fzIxD1jXn446,0.36,0.36,You need to introduce yourself and what your presentation is about .
fzIxD1jXn447,0.42,0.52,What are some word and phrase you could use ?
,,,If some people in the audience don ’ t know who you are you should introduce yourself
,,,and your position .
fzIxD1jXn448,0.54,0.59,In a more formal setting you could say something like this :
,,,Good morning everyone .
fzIxD1jXn449,1,1,For those who don ’ t know me my name ’ s Simon and I work in the marketing department .
fzIxD1jXn4410,1.05,1.05,Or : Hello everybody .
fzIxD1jXn4411,1.07,1.07,Before we begin let me introduce myself briefly : I ’ m Reese and I ’ m the head of HR .
fzIxD1jXn4412,1.13,1.18,If you work in a more informal company you could say :
,,,Hi guy ; if you don ’ t know me I ’ m Sylvia and I work in digital marketing .
fzIxD1jXn4413,1.24,1.31,Or : Hello !
,,,I see some new face so I ’ ll introduce myself first : I ’ m Julia and I ’ m one of
,,,our customer service team .
fzIxD1jXn4414,1.34,1.34,Next you need to introduce your topic .
fzIxD1jXn4415,1.38,1.42,If your presentation topic is simpler you could just say one sentence like this :
,,,Today I ’ m going to be talking about our new HR policy and how they affect you .
fzIxD1jXn4416,1.48,1.54,Or : I ’ d like to talk to you today about quality control and why we ’ re all responsible
,,,for quality control whichever department you work in .
fzIxD1jXn4417,1.58,1.58,If your topic is more complex you might add more detail to break your idea into stage .
fzIxD1jXn4418,2.06,2.11,For example : I ’ ll begin by outlining the policy and
,,,then I ’ ll go on to highlight what they mean for you and your working habit .
fzIxD1jXn4419,2.16,2.23,Finally I ’ ll briefly discus why we feel these new policy are necessary and beneficial
,,,for u all .
fzIxD1jXn4420,2.25,2.29,Here ’ s another example : First of all I ’ ll explain why ‘ quality
,,,control ’ ha a broader meaning than you might expect .
fzIxD1jXn4421,2.32,2.37,I ’ ll continue by giving example of real quality control and why this matter for
,,,all of u .
fzIxD1jXn4422,2.39,2.43,To finish I ’ ll be asking you to think of way you can incorporate quality control into
,,,your working habit .
fzIxD1jXn4423,2.44,2.44,Here you saw two example .
fzIxD1jXn4424,2.48,3.15,You can use these a template to begin your presentation :
,,,I ’ ll begin by… and then I ’ ll…
,,,Finally I ’ ll…
,,,Or : First of all I ’ ll…
,,,I ’ ll continue by…
,,,To finish I ’ ll…
,,,Okay now you can practice !
,,,We ’ d like you to do two thing .
fzIxD1jXn4425,3.19,3.26,First practice introducing yourself informally and explaining your topic in a simple way
,,,with one sentence .
fzIxD1jXn4426,3.3,3.37,Then practice introducing yourself formally and explaining your topic in a more detailed
,,,way .
fzIxD1jXn4427,3.39,3.39,Pause the video and practice speaking .
fzIxD1jXn4428,3.43,3.43,All the language you need is in this section .
fzIxD1jXn4429,3.47,3.54,Ready ?
,,,Let ’ s move on !
,,,I ’ m sure that in your life you ’ ve heard good speaker and bad speaker .
fzIxD1jXn4430,3.59,3.59,Good speaker grab your attention and don ’ t let go .
fzIxD1jXn4431,4.02,4.02,You want to hear what they have to say .
fzIxD1jXn4432,4.05,4.05,You feel interested and energised by listening to them .
fzIxD1jXn4433,4.09,4.09,Bad speaker are the opposite .
fzIxD1jXn4434,4.11,4.11,Even if you try to make yourself listen you find that your attention drift away .
fzIxD1jXn4435,4.16,4.16,Your eyelid feel heavy and you have to struggle to stay awake .
fzIxD1jXn4436,4.2,4.33,So here ’ s a question : what ’ s the difference between good speaker and bad speaker ?
,,,And how can you make sure you speak effectively when you make your presentation in English ?
,,,Here ’ s one way to think about it : bad speaker don ’ t think they have to earn your attention .
fzIxD1jXn4437,4.41,4.48,Good speaker understand that no one ha to listen to them so they work hard to make
,,,you want to pay attention .
fzIxD1jXn4438,4.51,4.57,What doe this mean for you and your presentation ?
,,,Getting people ’ s attention start from the beginning .
fzIxD1jXn4439,5.01,5.07,You need to make it clear what people should expect from your presentation and why they
,,,should care about what you have to say .
fzIxD1jXn4440,5.11,5.16,Sounds like a nice idea but how do you do this ?
,,,Here are three technique you can use .
fzIxD1jXn4441,5.18,5.18,One : establish a problem which many people in your audience have .
fzIxD1jXn4442,5.23,5.23,Then establish that you have a solution to their problem .
fzIxD1jXn4443,5.28,5.41,For example :
,,,Have you ever felt unfairly treated at work or felt that the work you do isn ’ t appreciated ?
,,,We ’ ve been working to design new HR policy that will make sure all staff get fair recognition
,,,for their contribution to the company .
fzIxD1jXn4444,5.45,5.51,In this way you take a boring topic like HR policy and you make it more relevant
,,,to your audience .
fzIxD1jXn4445,5.53,5.54,How ?
,,,By connecting it with their experience and feeling .
fzIxD1jXn4446,5.58,6,The second technique ?
,,,Mention an interesting fact or a surprising statistic to get people ’ s attention .
fzIxD1jXn4447,6.07,6.25,For example :
,,,Did you know that the average office worker spends eight hour a day at work but only
,,,doe four hour of productive useful work ?
,,,I ’ m here to tell you about ‘ quality control ’ and how you can use this idea to make better
,,,use of your time .
fzIxD1jXn4448,6.27,6.27,Finally you can engage people by telling a short story and connecting it to your topic .
fzIxD1jXn4449,6.33,6.37,Stories are powerful and they can add an emotional dimension to your topic if you do
,,,it well .
fzIxD1jXn4450,6.39,6.41,For example :
,,,I once met a young salesman—I won ’ t mention his name .
fzIxD1jXn4451,6.45,6.45,He spent several week building a relationship with a potential client .
fzIxD1jXn4452,6.48,6.53,He worked overtime and he wa working so hard that he wa under severe stress which
,,,started to affect his personal life .
fzIxD1jXn4453,6.56,6.56,In the end he didn ’ t close the deal—the client signed with another firm .
fzIxD1jXn4454,7.01,7.06,Today I ’ m going to talk about confidence a a sale tool and how you can avoid the
,,,trap that this young man fell into .
fzIxD1jXn4455,7.11,7.16,Use one of these three technique in your introduction to connect with your audience
,,,and show them why they should be interested in what you have to say .
fzIxD1jXn4456,7.2,7.26,Here ’ s a question for you : which technique would you prefer to use and why ?
,,,Okay now you ’ ve introduced your topic and you have everyone ’ s attention .
fzIxD1jXn4457,7.31,7.45,What next ?
,,,There ’ s a famous quote about making presentation :
,,,“ Tell the audience what you ’ re going to say ; say it and then tell them what you ’ ve
,,,said . ”
fzIxD1jXn4458,7.45,7.51,Have you heard this before ?
,,,Do you know who said it ?
,,,This come from Dale Carnegie a very successful American salesman and writer .
fzIxD1jXn4459,7.58,7.58,He lived a long time ago but his advice is still relevant today .
fzIxD1jXn4460,8.03,8.09,So here ’ s a question : what doe the quote mean ?
,,,It mean that your presentation shouldn ’ t just give information .
fzIxD1jXn4461,8.13,8.13,You also need to show people how your information is organized .
fzIxD1jXn4462,8.18,8.18,To do this you need signposting language .
fzIxD1jXn4463,8.22,8.22,Let me give you an example to explain .
fzIxD1jXn4464,8.25,8.25,Imagine you go to a website .
fzIxD1jXn4465,8.27,8.27,The website is full of really useful interesting information .
fzIxD1jXn4466,8.31,8.31,But the information is all on one page .
fzIxD1jXn4467,8.34,8.39,There ’ s no organization and you have to scroll up and down up and down this huge
,,,page trying to find what you need .
fzIxD1jXn4468,8.43,8.46,Would you stay on that website ?
,,,Probably not .
fzIxD1jXn4469,8.47,8.47,You ’ ll find a website which make it easier for you to find the information you need .
fzIxD1jXn4470,8.51,8.54,What ’ s the point here ?
,,,The point is that having interesting or relevant information is not enough .
fzIxD1jXn4471,9,9,How you structure and organize your information is equally important .
fzIxD1jXn4472,9.05,9.11,If you don ’ t structure your presentation clearly people won ’ t pay attention just
,,,like you won ’ t stay on a website if you can ’ t find the information you want .
fzIxD1jXn4473,9.16,9.2,So how can you do this ?
,,,You use signposting language .
fzIxD1jXn4474,9.23,9.31,This mean using word and phrase to show the audience where your point begin and end
,,,to show what ’ s coming next and to remind them about thing you talked about before .
fzIxD1jXn4475,9.37,9.38,For example :
,,,Okay that cover the new policy .
fzIxD1jXn4476,9.41,9.41,Next I ’ d like to move on and discus what these policy mean for you .
fzIxD1jXn4477,9.47,9.52,Or : Now that you ’ ve heard a bit about what not to do let ’ s focus on positive advice
,,,to help you be more effective salesperson and close more of your lead .
fzIxD1jXn4478,9.58,10.02,When you say something like this you aren ’ t giving people information about the topic
,,,of your presentation .
fzIxD1jXn4479,10.03,10.03,Instead you ’ re showing people where you are and where you ’ re going next .
fzIxD1jXn4480,10.08,10.08,It ’ s a kind of signpost .
fzIxD1jXn4481,10.11,10.15,You don ’ t need signpost to travel from one place to another but they can make it
,,,easier .
fzIxD1jXn4482,10.17,10.21,What else can you use signposting language for ?
,,,You can use signposting language to move from one point to the next .
fzIxD1jXn4483,10.27,10.53,For example :
,,,Next I ’ d like to talk about…
,,,Let ’ s move on and discuss…
,,,Or : At this point I ’ d like to turn to…
,,,You can use signposting language to add detail to an idea :
,,,Let me go into some more detail about…
,,,Let ’ s examine … in more depth .
fzIxD1jXn4484,10.56,11.09,Or : I ’ d like to elaborate on…
,,,You can use signposting language to show that you ’ ve finished your main point and you ’ ve
,,,reached your conclusion :
,,,To wrap up let ’ s remind ourselves of why this should matter to everyone here .
fzIxD1jXn4485,11.17,11.17,Let ’ s review the key point from this session .
fzIxD1jXn4486,11.21,11.21,So you ’ ve heard what I have to say .
fzIxD1jXn4487,11.25,11.3,What conclusion can you take away from this ?
,,,If you have an important presentation in English practice using signposting language .
fzIxD1jXn4488,11.37,11.43,Use signposting language to move between point to show when you ’ re giving a summary or
,,,going into more detail and to signal that you ’ ve reached your conclusion .
fzIxD1jXn4489,11.49,11.49,Okay but thing don ’ t always go so smoothly in real life .
fzIxD1jXn4490,11.56,11.58,We know that !
,,,Let ’ s look at some advice and language for dealing with problem during your presentation .
fzIxD1jXn4491,12.07,12.07,Imagine you ’ re making your presentation in English .
fzIxD1jXn4492,12.1,12.18,What could go wrong ?
,,,What problem could you have ?
,,,There are many common problem :
,,,You might forget where you were or forget an important word .
fzIxD1jXn4493,12.21,12.21,You might realise that you said something wrong or you didn ’ t explain something clearly .
fzIxD1jXn4494,12.27,12.27,You might forget to mention something important .
fzIxD1jXn4495,12.29,12.29,Or someone might ask you an awkward question which you have no idea how to answer .
fzIxD1jXn4496,12.35,12.38,Of course there are other possibility !
,,,Let ’ s think about these problem .
fzIxD1jXn4497,12.4,12.54,What can you do and more importantly what can you say in these situation ?
,,,First of all it ’ s a good idea to make a cue card with key point a well a any important
,,,vocabulary you need .
fzIxD1jXn4498,12.56,12.56,If you lose your place or you forget a word it could help .
fzIxD1jXn4499,13.01,13.01,However you can ’ t prepare for everything .
fzIxD1jXn44100,13.05,13.05,So it ’ s useful to learn some phrase to deal with problem smoothly .
fzIxD1jXn44101,13.12,13.28,If you lose your place and can ’ t remember what to say next you can use a filler phrase
,,,like :
,,,Where wa I ?
,,,So what wa I saying ?
,,,What ’ s the word in English again ?
,,,If you still can ’ t remember look at your cue card with your main point .
fzIxD1jXn44102,13.35,13.35,Of course forgetting something isn ’ t ideal .
fzIxD1jXn44103,13.39,13.39,But if you do it ’ s better to keep talking rather than just standing there in silence .
fzIxD1jXn44104,13.47,13.55,What if you make a mistake or you realise that you didn ’ t explain something well ?
,,,You could say :
,,,Let me rephrase that .
fzIxD1jXn44105,13.57,14.2,Actually what I meant to say is…
,,,To clarify I wanted to say that…
,,,In this way you can correct yourself without admitting that you made a mistake !
,,,What if you realise that you forgot to mention something important ?
,,,Use a phrase like this :
,,,Let me just add one more thing : …
,,,I ’ d like to add something to a point we discussed earlier .
fzIxD1jXn44106,14.26,14.26,Let me return to an earlier point briefly .
fzIxD1jXn44107,14.29,14.36,Again this allows you to correct your mistake in a confident way so you look like you ’ re
,,,in control .
fzIxD1jXn44108,14.38,14.47,Finally what do you do if someone asks you a difficult question which you can ’ t answer ?
,,,You have a few option .
fzIxD1jXn44109,14.48,14.48,First you can delay giving an answer .
fzIxD1jXn44110,14.52,14.58,For example :
,,,I ’ ve allocated time for question at the end of this session so we ’ ll address your
,,,idea later .
fzIxD1jXn44111,14.59,15.04,Or : I ’ m not in a position to answer that right now but I ’ ll get back to you later
,,,this week .
fzIxD1jXn44112,15.06,15.18,This give you time to think of an answer and do some research if you have to !
,,,Next you can deflect the question by asking a question back or maybe by asking other
,,,audience member what they think .
fzIxD1jXn44113,15.21,15.22,For example :
,,,That ’ s an interesting question .
fzIxD1jXn44114,15.25,15.3,Before I answer I ’ d like to know : what ’ s your take on this ?
,,,Or : You ’ ve raised an important point there .
fzIxD1jXn44115,15.34,15.37,What doe everyone else think about this ?
,,,Finally if the question is irrelevant you can dismiss the question and move on .
fzIxD1jXn44116,15.43,15.44,For example :
,,,Thanks for your input but I don ’ t see how that ’ s connected to what I ’ m saying .
fzIxD1jXn44117,15.49,15.49,I don ’ t mean to be blunt but I don ’ t think that ’ s relevant to today ’ s discussion .
fzIxD1jXn44118,15.56,16.02,Notice how you can use phrase like thanks for your input but… or I don ’ t mean to
,,,be blunt but… to make your language more indirect and polite .
fzIxD1jXn44119,16.08,16.16,So for dealing with difficult question just remember the three d ’ s : delay deflect
,,,dismiss !
,,,Finally we want to ask you something .
fzIxD1jXn44120,16.19,16.28,Do you have any advice for giving good presentation in English or any language ?
,,,We ’ d love to hear your idea !
,,,Please leave a comment and tell u what you think .
fzIxD1jXn44121,16.33,16.38,Remember to visit our website for more free English lesson : Oxford Online English dot
,,,com .
fzIxD1jXn44122,16.38,16.4,com .
,,,Thanks for watching !
,,,See you next time !
UOceysteIjo1,0.13,0.16,Do you know any tip for a great presentation ? That ’ s the question someone asked me a few
,,,year ago and I said no . because It really didn ’ t matter to me a I my work never
UOceysteIjo2,0.16,0.22,involved giving presentation . Then one fine day I had to give a presentation to some
UOceysteIjo3,0.22,0.33,of my client although they were just a bunch of people I had never felt so nervous in
,,,my entire life . I spoke very fast without breathing because I just wanted to get over
UOceysteIjo4,0.33,0.39,with the presentation . Soon I realized it 's not gon na work like this my next presentation
UOceysteIjo5,0.39,0.46,ha to be great .
UOceysteIjo6,0.47,0.52,Now on the way to develop my own presentation skill I discovered many little hack that
,,,could improve the way we present thing to the audience maybe small or large . So in
UOceysteIjo7,0.52,1.03,this video today I am bringing you these little hack that would make a great amount
,,,of difference to your presentation skill . Hi I am AAKASH and today I am gon na share
UOceysteIjo8,1.03,1.14,with you few way to improve your presentation skill that have helped me personally or
,,,I could say they have saved me on a number of occasion . So let ’ s get started .
UOceysteIjo9,1.14,1.14,
UOceysteIjo10,1.25,1.36,Well I am not gon na start with your appearance how should you dress it common sense I
,,,am sure you all know that you need to be well dressed and appear great when you are supposed
,,,to stand on the podium . Of course you know that – you are not going to wear your most
UOceysteIjo11,1.36,1.41,comfortable boxer short and give a presentation . But I would like to add something here wear
UOceysteIjo12,1.41,1.47,something that you are comfortable in . Only because you saw some presenter wearing that
UOceysteIjo13,1.47,1.53,impressive Jacket you also shouldn ’ t jump in . How you carry what you wear is important .
UOceysteIjo14,1.53,1.53,
UOceysteIjo15,2,2,Okay now if I say that you need to be a genius with your presentation that would sound unrealistic .
UOceysteIjo16,2.05,2.05,But you need to know these 3 know even before you start preparing your presentation . These
UOceysteIjo17,2.05,2.11,3 Knows are definitely the building block for any great presentation .
UOceysteIjo18,2.16,2.16,First know know your room . Arrive early and stroll round so you know where you will
UOceysteIjo19,2.16,2.23,be presenting . You get the feel of the place we human always take some time to get adjusted
UOceysteIjo20,2.23,2.28,to the environment . Next know your people . Know your audience
UOceysteIjo21,2.28,2.28,
UOceysteIjo22,2.28,2.38,beforehand if you have a brief background about your audience you can tune your presentation
,,,accordingly . What ’ s the point of presenting something that in not in sync with your audience ?
UOceysteIjo23,2.38,2.45,Let me explain that to you better . In the software industry when you develop a particular
UOceysteIjo24,2.45,3.08,software understanding what the client need is very important understanding their business
,,,is very important if you don ’ t do that the outcome of the application what the client
,,,picturized would be completely different even though you are great at your programming
,,,skill . Same thing applies when it come to understanding your audience if you do your
UOceysteIjo25,3.08,3.19,homework well your presentation is sure to be accepted by the audience
,,,And finally know your speech well . Rehearse the presentation until you ’ re comfortable
UOceysteIjo26,3.19,3.25,with what you ’ re saying and how you ’ re saying it . After all you are presenting to
UOceysteIjo27,3.25,3.3,and for the audience . If you sound confused with your presentation and it ’ s not absorbed
UOceysteIjo28,3.3,3.35,by the audience what ’ s the point . So always remember these three know know your room
UOceysteIjo29,3.35,3.42,know your audience and know your speech well .
UOceysteIjo30,3.5,3.55,Take the comfort of knowing that nobody understands your presentation or the data in your presentation
,,,better than you . There is a very popular mantra shared by theatre expert that say Sometimes
UOceysteIjo31,3.55,4.01,mess can happen but ... “ The audience doesn ’ t know the script . ”
UOceysteIjo32,4.01,4.01,
UOceysteIjo33,4.01,4.06,So it could happen that you could mess with some of the point in your presentation .
UOceysteIjo34,4.11,4.16,You might forget to highlight some important fact what would you do ? Would you start saying
,,,sorry or maybe panic or freak ? Come on ... Just relax .
UOceysteIjo35,4.16,4.16,
UOceysteIjo36,4.22,4.28,Instead of freaking out freezing up or trying to ignore it happened just try to be graceful
,,,about it . Chances are that it went unnoticed by your audience . And even If it wa noticeable
UOceysteIjo37,4.28,4.28,
UOceysteIjo38,4.28,4.39,all you need to do is say “ excuse me ” “ I would like to add some more information ”
,,,and carry on with your presentation . Believe it or not presentation can be fun . All you
UOceysteIjo39,4.39,4.39,
UOceysteIjo40,4.39,4.45,need to do is be prepared and know your audience well ...
UOceysteIjo41,4.54,5.04,Are you one of those people who get really nervous and start to walk up and down the
,,,stage like a polar bear in a zoo mark a spot for yourself on the stage or bring a stool
,,,if required to use . Guy ’ s people are watching a presentation and not a tennis match ! I ’ m
UOceysteIjo42,5.04,5.1,really bad for shuffling while I ’ m talking . I even flap my hand around when I get excited
UOceysteIjo43,5.1,5.15,with some point in the presentation . Remember when you are presenting what do
UOceysteIjo44,5.15,5.21,you want your audience to remember your poor body language or your great presentation .
UOceysteIjo45,5.27,5.33,Do you want your audience to think about your message or your body movement ? So be aware
,,,of your body language .
UOceysteIjo46,5.34,5.4,Do you wriggle from one foot to the other crossing and uncrossing your leg or stepping
,,,backwards a lot ? Try to keep all these body movement under control . Make some eye contact .
UOceysteIjo47,5.4,5.4,
UOceysteIjo48,5.47,5.53,Eye contact help keeping the connection between your audience and you and is one of the key
,,,element for a great presentation . If you show your back all the time while reading
UOceysteIjo49,5.53,5.59,your slide that will destroy that bridge between the audience and you . Now also remember
UOceysteIjo50,5.59,6.05,staring down your audience without a blink can be creepy . It ’ s also stressful on you .
UOceysteIjo51,6.05,6.05,
UOceysteIjo52,6.11,6.11,Shift your gaze and sometimes it ’ s acceptable to glance at some note card if you have one .
UOceysteIjo53,6.17,6.23,But also remember just don ’ t read those card it 's gon na be a good a reading your
,,,slide . Come on you need to smile everyone know
UOceysteIjo54,6.23,6.27,you are nervous Giving presentation is nerve . So make sure you are smiling and make an effort
UOceysteIjo55,6.27,6.34,to make eye with people . Practice meeting your audience 's eye while rehearsing
UOceysteIjo56,6.34,6.4,and it ’ ll feel a lot more normal in the big presentation . This would project you a
UOceysteIjo57,6.4,6.45,a warm and friendly person and your audience would be also at ease .
UOceysteIjo58,6.55,7.02,Using PowerPoint ? Well you ’ re not the only one – Do you know ? There are around 350
,,,PowerPoint presentation given every second across the world . And what do you think are
UOceysteIjo59,7.02,7.07,they effective enough ? They aren ’ t that effective . Immediately after a ten minute
UOceysteIjo60,7.07,7.13,presentation only 50 % of the fact can be recalled . By the next day only 23 % is retained
UOceysteIjo61,7.13,7.19,and 7 day later just 10 % of the information . You know this human mind ha it own limit
UOceysteIjo62,7.19,7.26,and it can only hold on to between three and or say maximum seven point .
UOceysteIjo63,7.31,7.31,You should aim for three main point and your presentation would be remembered . ALSO AVOID
UOceysteIjo64,7.31,7.36,BIG WALLS OF TEXT . This is a common mistake a lot of presenter make with their PowerPoint
UOceysteIjo65,7.36,7.41,slide . I know it ’ s tempting to stick every item of information on your slide . However
UOceysteIjo66,7.41,7.41,
UOceysteIjo67,7.41,7.53,this will intimidate your audience and the recall value of your presentation would be
,,,limited . Now if you have too much text on your slide that would force you to turn your
UOceysteIjo68,7.53,7.59,back to the audience which is a big no in all form of public interaction . So guy
UOceysteIjo69,7.59,8.05,Keep your slide brief and let the audience keep the attention on you .
UOceysteIjo70,8.14,8.19,Rather than focusing your mind on your presentation and how you ’ re gon na do it think about
,,,the message that you are gon na give . You ’ ll come across a a lot more passionate and interested
UOceysteIjo71,8.19,8.25,and would give yourself an expert presenter status a well . You ’ ll also make fewer mistake
UOceysteIjo72,8.25,8.31,because you won ’ t be flustered . Define the purpose of your presentation . Before you start
UOceysteIjo73,8.31,8.31,
UOceysteIjo74,8.31,8.37,designing your presentation ask yourself what 's the purpose of your talk is . In general
UOceysteIjo75,8.37,8.43,you ’ re either informing persuading or building a goodwill .
UOceysteIjo76,8.47,9,So think about it : are you sharing your expertise giving a step workshop do you want
,,,people to buy your product or service are you motivating people educating them are
,,,you presenting case is it purely entertainment . Now these are just some main
UOceysteIjo77,9,9.06,theme you could build your talk or presentation around .
UOceysteIjo78,9.09,9.21,One of the best public speaking tip I have learned is to make sure that you ’ re only
,,,gon na cover 1 main topic and just stay away from adding anything else you might want to
,,,share . Although it might be important a well it just take away the power of your presentation .
UOceysteIjo79,9.21,9.21,
UOceysteIjo80,9.27,9.43,Now what do I mean by this For example This video is about How could you improve your
,,,presentation skill Well designing a good presentation is an important part of presentation
,,,skill However my main goal is to introduce you to important hack for delivering a good
,,,presentation and not how you could write a good presentation . I will certainly do that
UOceysteIjo81,9.43,9.49,in some other video . But In this video my main topic is How to deliver great presentation
UOceysteIjo82,9.49,9.56,And I am gon na just stick to that only that ’ s my main topic . Although I might share a few
UOceysteIjo83,9.56,10.01,highlight about designing a presentation but that ’ s not my main topic . You need to
UOceysteIjo84,10.01,10.07,draw an outline of your talk so you have a framework to start with . Because if you
UOceysteIjo85,10.07,10.13,don ’ t know the main purpose of your talk no in the audience will . So always define
UOceysteIjo86,10.13,10.19,the purpose of your presentation .
UOceysteIjo87,10.26,10.26,Hey ! Slow Down ... . Its not a RACE ... .
UOceysteIjo88,10.26,10.26,
UOceysteIjo89,10.28,10.45,Focusing on speaking slowly should be one of the most important thing in your talk
,,,because you are speaking for an audience where not everyone is an expert on the topic possibly
,,,quite a few people have English a their second or even third language and it really just
,,,take time for people to let new information sink in .
UOceysteIjo90,10.5,10.5,PRACTICE SPEAKING SLOWLY For some reason people talk faster onstage . I remember my
UOceysteIjo91,10.5,10.57,bos always told me to speak so slowly until the point it get uncomfortable . That will
UOceysteIjo92,10.57,11.04,be the perfect tempo for the audience . I promise it ’ s gon na feel weird initially .
UOceysteIjo93,11.04,11.04,
UOceysteIjo94,11.1,11.26,But what ’ s weirder : speaking a lot slower than usual or stumbling over your # word
,,,and confusing your listener ? There ’ s one more way you could learn to speak slower
,,,listen carefully to each and every word that you say only say the next word when you have
,,,listened to the first one clearly . It would help you to certainly slow down your speaking
UOceysteIjo95,11.26,11.31,speed and be clearer with your word and pronunciation .
UOceysteIjo96,11.4,11.47,Why do phrase like “ Once upon a time… ” or
,,,“ In a land far away… ” immediately grab our attention ? Because those phrase tell
,,,you you ’ re about to hear a story and story are incredible communication tool . When you
UOceysteIjo97,11.47,12,tell story in your presentation they challenge our intellect stimulate our imagination
,,,and touch our emotion . Why everyone doe love a good story ? Because story communicate
UOceysteIjo98,12,12.06,idea and information that no other medium can .
UOceysteIjo99,12.1,12.22,Now No matter where you tell a story it could be around a campfire when you are on a picnic
,,,it could be by the water cooler in the office or in a courtroom or even in an auditorium
,,,while giving presentation . The impact of a story always remains the same : When you
UOceysteIjo100,12.22,12.35,tell a story start strong be engaging capture the interest of your audience and get them
,,,thinking with an impactful story related to your presentation .
UOceysteIjo101,12.38,12.45,Look through for anywhere that you can add in story or a really good or relevant image
,,,from where you could build the stage for telling your story . Story telling will make your presentation
UOceysteIjo102,12.45,12.56,seem realistic a well a help your presentation to flow naturally and increase the retention
,,,of your presentation by a minimum 65 % . So learn the art of storytelling it certainly work .
UOceysteIjo103,12.56,12.56,
UOceysteIjo104,13.08,13.08,Listening to a presentation for any length of time can be a difficult process . If the
UOceysteIjo105,13.08,13.22,talk doesn ’ t engage their attention the audience will start to feel distanced from
,,,your presentation they will start to lose track of the flow of information and eventually
,,,fail to absorb your idea and insight . To engage an audience fully the presentation
UOceysteIjo106,13.22,13.35,need to be energetic purposeful and staged a if it is a direct conversation between
,,,you and the audience . Direct interaction with the audience is harder a most presentation
UOceysteIjo107,13.35,13.47,are one only but if you can find a way to get your audience to DO something like
,,,a activity chance are they will remember what you said much better .
UOceysteIjo108,13.52,13.57,The activity doesn ’ t have to take long but just let your audience member speak up
,,,or speak to each other for about a minute . To give an example I can recall a presentation
UOceysteIjo109,13.57,14.09,I attended where the speaker asked the audience to close their eye for a second and think
,,,about their first travel experience . And then to turn to the person sitting next and share
UOceysteIjo110,14.09,14.16,the travel experience . Very simple but so powerful a the rest of the presentation
