Topic,Sentence
No,"His body posture looks uncomfortable and uneasy, which gives a bad vibe to the presentation."
Delivery,It is obvious he was unrehearsed for this speech as he stuttered while trying to remember correct lines.
No,Too many colours in presentation.
No,"Bad - Hand gestures are moving way too fast, therefore are becoming a distraction."
Delivery,"Memorable ending, sharing his passion to the audience by asking them a favour."
No,does not make clear points
Delivery,too much arm movement
No,he leaves a lasting idea
Delivery,speaks too fast no change in tone
Delivery,"uses um, no silence"
Delivery,boring
Delivery,"He made excellent points but he did stutter and mumble a bit, so at points it sounded a bit disjointed."
No,He summarised his points really clearly throughout.
Delivery,"Slightly hard to understand the speech, however he presents confidently and has an effective use of the 5 s's"
No,"Linking slides
Telling a story"
Delivery,Need to slow down a bit
No,"Very good use of visual aids, the moving diagrams and images allows us to picture the ideas he is talking about in his presentation."
Delivery,Talks really fast - hard to understand
No,Very easy graphics to understand
No,"Advantages and disadvantages, looks at both view points"
No,Warnings to the public or risks and benefits
Delivery,"Possibilities - what they want, gets viewers inspired that it could happen"
Delivery,No gaps in speech - very full
Delivery,very engaging intro
Delivery,well delivered point
No,effective slides with sufficient information without making them too distracting
Delivery,monotone voice left me bored
Delivery,Speech is good. Use of change in tone to give emphasis
No,"Great visual aids, but really hard to listen, being so fast paced"
Delivery,"His volume is changing quite often and he's talking quite fast.
Makes you think that he's not 100% comfortable or confident"
Delivery,Rhetorical question keeps audience engaged.
No,This talk is interesting and the visual aids he employs are very strong however I felt a bit lost in the middle about what the point of his talk was
No,"Nice use of colours, attracts the audience."
No,"awesome slide animations, makes you want to watch it."
No,The conclusion has a call to action without explanation as to how it could be done.
Delivery,His Speech is fragmented and difficult to follow because he joins together his words
Delivery,"Some times was hard to understand what the presentation was talking about, could improve the way the speech was presented"
Delivery,Interesting!
No,His powerpoint is really good.  It is really easy to understand quickly and doesn't distract you from what he is saying but still adds to the understanding of what he is talking about.
Delivery,"Spoke quite fast, at times difficult to comprehend."
No,Gives numbers meaning.
Delivery,Change in tone
No,Pictures
No,Create action plan in ending to give lasting impression
Delivery,"His passion is obvious when he talks due to his tone, gestures and general confidence and enthusiasm. This makes listeners want to be enthused."
No,Slides are crisp and clean with the same style throughout. They aren't distracting but give power to the words being said.
Delivery,Fun introduction.
Delivery,The pace is quite fast and he is a bit stuttered.
Delivery,"At the ending, he created two ways communication with the audience. That's impressive."
Delivery,Makes good use of gestures and body and positive language.
Delivery,"Gets right into it- no ""hi my name is... and I'm speaking to you today about..."""
No,wow amazing
Delivery,His monotone voice made it quite boring to listen to in some places.
Delivery,"- Presenter does not make it clear at the start as to what he is talking about/his main points.
- Didn't know the material that well."
No,Good graphical images should be used
No,Visual statistics. Good method
Delivery,Excitement and enthesis
Delivery,Shows the speed of voice
No,"Very engaging, use of correct and appropriate visual slides."
Delivery,no idea what he's talking about
No,40% using internet in 2014
Delivery,"Delivery was fast and broken up, hard to understand at some stages. However, relevant and interesting content."
Delivery,fast spoken
Delivery,"easy going, friendly presentation that keeps you engaged"
Delivery,needs to slow down in this section
Delivery,engaging audience making them think helps to keep attention
Delivery,inspiring
No,Cool graph
Delivery,"good, makes it relatable to to the audience by talking about what they know and including them, saying we"
No,good visual
Delivery,not the best closing?
Delivery,talking very fast
No,clear and understandable figures
Delivery,not a very clear delivery
No,ends on a strong point
No,Nice flowing powerpoint slides
No,Starts by telling a story (grabs audiences attention)
No,Lists examples to back up his opinions
Delivery,Variation in voice
Delivery,Too much variation in voice (sometimes too loud / sometimes too quiet)
Delivery,Shoulders too high (causes him to speak too quickly)
Delivery,"Mumbles / ah, ah ,ah (should just pause to regather his thoughts)"
No,"Repetition of ""I want"", adds structure to the speech"
Delivery,Makes eye contact with the audience
Delivery,Aspirational but optimistic speech
No,"He uses simple cartoon illustrations to convey his message, including facts. Also has a strong finishing statement."
No,"Moved around too much, which was distracting. But his slides were simple and effective and provided good video aid. I should try to make my slides similarly effective."
Delivery,BAD: mumbled and spoke too fast
No,I enjoyed his visuals because of the simple nature and fun to look at with bright colors
No,Numbers are broken down and represented in a picture that are almost understandable without an explanation.
No,Graphs are used create interest in the introduction
Delivery,Talks very quickly at points which distracts from the message.
Delivery,Engages the audience through rhetorical questions
No,"Very engaging, simple but informative and visually appealing graphics"
Delivery,Asking questions to get people thinking towards the end of the presentation.
No,"Based on one of the tutorial videos, the ending and beginning were done well as he introduced it with enthusiasm and left the audiences with an impression."
Delivery,"The speaker seems nervous; he talks fast, stammers at times, moves around a lot which deters from what the speaker is saying."
No,visual aids are clear and support ideas well
Delivery,I feel that the presenters voice is some what illegible and perhaps he hasnt practised it enough?
No,"The visual aids are clear and simple, and add interest to the speech."
Delivery,Monotone in speaking bored the audience
Delivery,He is very passionate about the topic which is evident and captivates the audience
Delivery,Hes got a lisp. He sounds funny.
Delivery,Great posture and speed
No,Clear start but not strong.
Delivery,Conservational tone making it disengaging.
No,Visual aids helping to keep interest.
No,No clear structure to the speech. Points are not fluid and hard to follow.
Delivery,"Calm, collected and enthusiastic. Clear speaking and therefore keeps the audience focused"
Delivery,"Good final stance, leaves audience with strong message"
Delivery,tone makes it disengaging
No,GOOD: I thought the introduction and the conclusion were quite strong. The introduction started with an exclamation and the conclusion of encouraging the audience to be involved in the future.
Delivery,BAD: I that Berners-Lee was too erratic in his gestures and his general movement
No,GOOD: I liked the consistent use of the logo to prove different points
Delivery,talking fast
No,nice and simple good imagery
Delivery,could take more pauses in speech
Delivery,Hand gestures are a little distracting and he's speaking too fast to fully take in what he's saying
No,High quality graphics
Delivery,"The guy obviously isn't an easy speaker, yet he still put on a decent talk. Practice makes perfect."
Delivery,Taking about what the interet is to us or what we want it to be was very intersting. It make me think about what I though the internet was
Delivery,"Seems a little uncertain, repeats himself a little. Lacking in confidence??"
Delivery,"says uhh too many times already, it is very distracting"
Delivery,"keeps losing his stance and pacing, also using hand gestures that aren't necessary"
No,"Uses animations to display the data he wants everyone to see, very effective"
Delivery,very interesting talk. Made interesting by the passion that he has for this topic.
Delivery,Boring beginning but makes it better by asking question. Talks about himself so not very relatable
No,Good use of statistics and visual aids. He connects the numbers with his point
Delivery,Speaks a little too fast and is very fidgetty with his movement. Stance is good.
No,"Although he covers too many topics at a time, the variety means he can connect with more audience members. Not very structured talk"
Delivery,"Has uhms and ahhs, not enough silence!"
Delivery,Speaks in an unusual manner
Delivery,To attract audience
Delivery,Speak slowly and clearly
Delivery,His tone of voice and his speech clarity was poor. He tends to stutters and seems like he is not confident on his presentation
No,This one really got me. Someone in my family has breast cancer right now and she really creates a sense of urgency with needing to develop more effective treatment.
Delivery,"Good - Clear introduction, introducing herself and her passion."
No,Clearly stating what the slides are about and how it relates to the subject she is talking about
Delivery,"When she looks to refer to the slide, she makes sure that she looks back to the audience."
Delivery,She clearly delivers the speech with good hand gestures and good body posture.
Delivery,very clear delivery of the ideas
Delivery,good gestures
No,explains diagram
Delivery,She emphasised the important words to capture and maintain attention
Delivery,"She made sure the words she was using were the the most accurate words, i.e. very varied vocabulary."
No,Her speech was put into words that anyone could understand and very well explained.
Delivery,"engaging and informative, with effective slides and she engages the audience well"
No,Set up what the speech will be about in the first 10 seconds
Delivery,Hand gesture on point
Delivery,Introducing yourself fully and addressing why you are giving your presentation is a good way to deliver the opening of the presentation as the audience will understand the purpose of the speech from the beginning.
No,Very complex visuals - hard to understand
No,Very boring intro
No,relation to us
No,lots of complex terms
Delivery,Good eye contact
No,Effects of chemo - both positive and negative
Delivery,Positive solution change in tone reflects important point
No,visuals hard to understand
Delivery,explains in laymans terms
Delivery,good gesture
Delivery,emphatic ending
Delivery,Referring to the material yet still mainatining eye contact with the audience
Delivery,Inclusive of audience.
Delivery,her stance and gestures are exactly how the other video instructed and it does make her appear more professional and impressive
No,Use of hands to encourage to look at images.
Delivery,Thought the use of hand gestures with the visuals was effective. It highlighted the main points she wanted to get across and kept the audience engaged.
Delivery,Amazing!
No,"Well structured, logical flow"
Delivery,Hand gestures.
No,Uses stand out words
Delivery,Good video.
Delivery,Explains hypoxia like a story of cells which makes it easier to follow than scientific jargon.
Delivery,Good gestures that aren't too distracting but keep things open.
Delivery,A good tempo is pleasing to hear.
Delivery,"She is a great speaker. Somehow, she looks very interested in her topic and knowledgeable. This makes the audience trust her and want to listen to her."
No,Referencing and explaining the slides rather than using them as a cue system.
Delivery,Introduction and explanation of terms before their repeated use.
No,ted ed is so cool
Delivery,"Uses lots of gestures and gas good body language, Her vocabulary is also very good, choosing the right words for the right circumstances."
No,Good gesturing and point to allow visuals to her speech
Delivery,Good spacing and silence of the sentence
Delivery,Good use of facts
Delivery,"There seemed to be too much scientific information, which lost most people's attention."
Delivery,good hand gestures
Delivery,inspirational
Delivery,"Strong, confident speech. Rehearsed and relevant content. Easy to understand and not fake/cheesy"
Delivery,good hand gestures
Delivery,engages well with the audeince
Delivery,quite fast needs to slow down
No,lots of information
Delivery,Off to a boring start
Delivery,"good makes sure even if what she is talking about is complicated, it can be understood by all"
Delivery,not pausing
No,good visual aid as not much listed/going on
No,lots of technical words in introduction
No,not a very engaging introduction
Delivery,engages the audience
Delivery,now uses lay mans terms
Delivery,good posture
No,ends well
No,"Starts off with simple introduction, in all honesty not as captivating as Abraham"
Delivery,"Strong stance, good posture"
No,Uses a picture/diagram to aid her presentation of ideas
Delivery,Slows down and emaphasises her words when delivering her key point
Delivery,"Interacts with audience, ask them to imagine"
No,Great movement of hands
Delivery,"Great body language, low shoulders, standing up tall"
Delivery,Well timed pauses and good variation in tone of voice
No,Refers to the information on the slide
Delivery,Clarifies definitions so non-academics can understand
No,Effective use of a one slide powerpoint
Delivery,Best speech of the four examples
Delivery,Uses an analogy. Breast = ball
Delivery,A complex idea is made simple through thorough explanation and the use of analogies. Providing a clever way to treat the cancer.
Delivery,"It was interesting because she made it easily understandable and relatable. for example saying ""we"" and using simple ideas like saying the cancer is like a ""ball"". I have learned from this to make my presentation engaging I should follow similar ideas."
No,use of diagram helped explain it and her delivery was also on point
Delivery,She speaks well and encourages intrigue while listening to the presentation
No,She uses her title as a headline and talks about every word.
No,The introduction goes straight into details and does not give an outline
No,Uses hand gestures to expands on the ideas of the power points
Delivery,Uses informal language to connect to the audience
Delivery,"Introduction, wasn't that engaging."
Delivery,"There was a pause, emphasizing and changing of voice tones during her speech which does help with gaining attention and make the presentation to be more exciting and interesting."
Delivery,Her posture and sights connection with the audience were a really good example of that confidence tutorial video.
Delivery,"clear tone and voice. Good gestures and use of visual aids for support. Despite the intro being in the format not recommended, it was delivered in a manner which was good."
Delivery,I think she explained her point very well both technically and in layman's terms.
Delivery,She explained the complex science in a way that was simple and easy for anyone to understand.
Delivery,Introduce yourself before the presentation. Use body language to enhance speaking
No,"Strong finish, clear, to the point."
No,Bit too much scientific language - not everyone will understand what shes saying
No,Not a strong opening- started with an introduction of herself rather than an engaging story.
No,"Pointing out information unnecessarily frequently on the visual aid which is distracting, rather than relying on her audiences engagement to make the connection to her speech."
Delivery,"Delivered well, but wasn't as engaging as it could be due to simply being a delivery of information."
No,"Good brief explanation, keep it short and sharp to keep the audience engaged."
Delivery,"Not a very engaging introduction, but overall was good"
Delivery,BAD: Too many scientific words and concepts delivered too fast - I stopped trying to listen and understand after two minutes and barely remembered anything of what Saggar had said at the end.
No,explains the concept very clearly
Delivery,her use of hand gestures in acting out what she is saying makes the speech a lot more interesting.
Delivery,clear delivery and tried to make it understandable for people with no medical background
Delivery,Hand gestures
No,Hopefully she's successful.
No,"Nice use of the visual aid of the picture
Told it like a story, pointed stuff out"
Delivery,Made a complicated scientific topic interesting for someone who doesn't understand it by projecting her own passion into the topic.
Delivery,"Good delivery and hand gestures to the audience, getting across the important ideas"
No,image helped the audience to understand a complicated issue in a simpler way
Delivery,Good explanation made speech easy to follow. Perhaps not enough information on her solution
No,Interesting topic
Delivery,Good use of gestures
Delivery,Good eye contact and engagement with the audience
No,Good finishing point
Delivery,Put important details in the slides
Delivery,Lots of gestures
Delivery,"Lots of hand gestures, and pauses for effect"
Delivery,Engaging
No,The story aspect made the speech considerably more engaging than it may have otherwise been.
Delivery,ok
Delivery,shows it all using an analogy
Delivery,Engaging beginning
No,"GOOD: Putting pictures of things that didn't seem to relate to each other on the slide and then showing during the course of the presentation how they worked together was an excellent way for the audience to interested in the talk - ""How does lego and chess relate to computers?"""
No,Engages you from the beginning using analogies and then explaining how the random images relate together
Delivery,GOOD: Only a few statistics used - the audience wouldn't be able to appreciate lots of statistics and not using any statistics would probably be boring.
Delivery,The pace is a little bit too fast
No,"Story to start, gaining interest."
No,good and short gets the point cemented more clearly
Delivery,Be humour
No,BAD: Is starting the presentation with a story too adrupt?
Delivery,BAD: Maybe too much gesturing?
Delivery,"Starts with story to engage audience and make topic not seem boring, gestures are used, relaxed confident stance."
Delivery,Well rehearsed and personable
Delivery,"Pauses, hand gestures, eye contact, change in pace"
No,"I like how it starts with a story, includes joke and analogies that we (as an audience) can relate to, (e.g. chess)."
Delivery,Starts presentation with an anecdote.
Delivery,Starts off with interesting story rather than boring introduction
No,starts with a story
Delivery,very engaging begin
Delivery,engaging beginning
No,Starts with his little anecdote
Delivery,He is speaking in a rushed tone.
No,refers to slide but also always looks at audience
Delivery,Eye contact is maintained with the audience
No,using an anecdote to start immediately engages the audience and keeps them listening
No,I like how he structured his speech with an initial opening story to grab the audiences attention and lead them to his main idea
No,Lots of pictures on one slide - makes it unclear what point is being made
Delivery,"Talks clearly with confidence, but talks a bit too fast."
No,"The individual items on the slide were good as they were visual representations of what he was saying, allowing audiences to visualize as they listened without being distracting, however the slide itself was too busy with too many things on it and the tree background."
No,"Clear speaking, but there seems to be too much information on some slides at one time or another."
No,Refers to where the information can be found on slide - this seems unnecessary but does help audience
Delivery,this shows how short pauses in speeches don't seem awkward at all!!
Delivery,changes tone when talks about more serious topics
Delivery,"Varies pitch, tone, speed for better delivery"
Delivery,"only had 3 minutes, yet used his time wisely and didn't rush"
Delivery,Giving numbers meaning with analogy
Delivery,Passionate about speech which adds interest. Gives problem and solution which makes his material more intriguing
Delivery,"Silence between points, emphasising them."
Delivery,interesting story and captivating opening
Delivery, - the use of a story at the start of the presentation made it engaging.- Knew his material well.- Good amount of hand gestures.- Good variation in voice.
No,Starting with a story helps to engage the audience.
Delivery,Use hands to emphasize point
Delivery,His hand gestures help sustain audience attention.
Delivery,Simplification of jobs - makes it easier for all to understand but may be insulting to others
No,"Messy, and hard to understand"
No,Uses hand gestures to emphasise ideas
No,Only uses one slide with very few words for his entire 3 mins
Delivery,Dumbs down content a lot
Delivery,He is only looking in one direction - not at camera - do not feel involved
No,Good gestures with hands
No,start with a stroy
Delivery,Rhetorical questions
Delivery,makes use of metaphor
Delivery,Gives his stats in context
Delivery,Clear and interesting. good pace a tad fast if anything
Delivery,"Good humor, well received by crowd."
Delivery,good hand gestures
Delivery,"engaging, funny and informative. The use of good body language, pauses, humour and examples to convey ideas with ease to listener."
Delivery,Relationship between topic and everyday things ie. chess
Delivery,engaging delivery
No,Anecdotes
Delivery,Uses tree metaphor to expand idea
No,It's interesting how he compares it to something else
Delivery,How computers are better than humans and how this translates to his topic - comparison
No,at the end brings everything back together
Delivery,too much pointing
Delivery,I enjoyed his presentation because he is calm when he speaks and isn't condescending.
Delivery,good to use the chess example so people can visualise what he's talking about
Delivery,Quite and interesting concept. Using hand gestures to display the significance
Delivery,Pauses for effect
Delivery,"Cool presentation, engaging content and well spoken"
Delivery,this ones is actual so good
Delivery,Good variation in speed of delivery
Delivery,Using too much hand gestures now and is becoming a distraction.
Delivery,Very clear and concise delivery
No,almost too much gesturing. Good use of the lego analogy and nice slide presentation
No,good analogies which makes the talk better to understand
Delivery,makes good eye contact
Delivery,"The good thing about this presenter is that he has taglines. He opens his presentation and closes it with remarks. So, he put things clear for the audience to understand. What I think is lacking is the slide. The background picture is covered with other overlapped pictures. This is not eye welcoming."
No,Simple ending that leaves people feeling underwhelmed
Delivery,strong ending
Delivery,"Real case study on trees, I found very interesting and left an impression"
No,Clear opening
No,"Ends with a strong, single message for the audience to remember"
Delivery,The analogies help convey ideas which are complicated in a simple easy to understand manner
No,"Likened a computer's skills at chess a computer's ability to solve medicine issues, therefore he used the technique of making complicated issue simple by using an analogy."
No,The simple power point is useful to the audiences understanding
No,lego analogy on point
Delivery,He used a story and things people already know to explain what he does which engaged you
No,"His use of stories was really engaging, and using different analogies made it more relatable for people from different fields."
Delivery,He was passionate about his topic which made it easy to listen to his ideas.
Delivery,"Was not a fan of this example, found it hard to keep engaged"
No,The tree link was good as it tied his points together.
No,I found there was a little to much hand action which distracted from his points.
Delivery,"surprisingly interesting, relevant to study. He was a good speaker, keeping me engaged. Short and informal, yet factual and insightful"
Delivery,"He had a strong opening statement, however I didnt like it when he said stuff like ""as shown on the slide"""
Delivery,"Powerful introduction that grabbed the attention of the audience by starting with, ""I want to tell you a story..."" used hand gestures, spoke clearly and involved the audience"
No,He gave a single sentence to sum up his speech which was really strong.
Delivery,He was able to make the audience to visualize the point that he was trying to point quite clearly by not only using the image but also by comparing to things in life that we can picture of.
Delivery,Wow what a cool analogy
Delivery,This speech was short but delivered the necessary information. Audience engagement was high due to the delivery of the speech from the speaker being very good. It was also high due to the speech following a structure that was easy to follow.
Delivery,"Strong relateability to a well known topic, and used enthusiasm and confidence to boost the audiences attention effectively as well as other delivery techniques"
No,He had one slide with no words!
Delivery,Super interesting to listen to even though there is no visual aid
Delivery,So he wants to use the alogorims that are used for chess to make chemistry easier???His delivery was to informative and to the point
No,"Used the minimal on the slides, only to support what he was saying"
Delivery,Deliver knowledge to audience
Delivery,"She kept saying I think, which I didn't think was the most assertive way she could be communicating points or ideas."
No,Less wordsImagesMoving imagesMore images than wordsUse words in images
Delivery,Awesome!
Delivery,i like this one
Delivery,Uses a powerful speech to convey her point. Using research and opinion together to help us understand her viewpoint.
No,The visual aids were limited and were very simple to understand making for an enjoyable presentation
No,"This presentation really lacked and intruguing visual aid, plus her constant movement as very distracting"
No,Appropriate movement while talking. Try to relate to something is popular(well-known)
No,GOOD: Having an unusual title interests the audience - they would want to have this title explained as part of the presentation
Delivery,The speaker was very confident and had obviously done a lot of practice.
No,Interesting title that encouraged people to want to listen
No,good visual aids
Delivery,The swaying was distracting
No,GOOD: Having animations is a good idea - they interest the audience and help to explain concepts easily.
Delivery,BAD: I think Blakley paced around too much - it was rather distracting
Delivery,"Her movement across the stage was quite distracting throughout, also when she kept turning to look at the screen with the pointer. Very distracting for the audience"
No,Use of changing computer image slightly distracts from what she is saying.
No,Gives examples of media
Delivery,BAD: Blakley pausing to look at her powerpoint control to change slides broke the flow of the presentation
Delivery,BAD: Blakley pausing to look at her powerpoint control to change slides broke the flow of the presentation
No,"Engaging movement while talking, also related to something the audience is familiar with."
No,Love the pictures
Delivery,Starts with an attention grabbing question
No,Starts off with a strong thought which could be controversial but then joins the dots for clarity
No,She's doing the thing where you connect the dots for the audience
No,boring start
No,Outline argument
Delivery,I strongly disagree with this woman.
No,too much going on on screen - distracts from what she's saying
No,I like how she opens her presentation with the argument she is going to convey to the audience so they have a clear idea what the presentation is about from the beginning. I think this is good structure.
Delivery,Have a strong topic that people are interested in - start with a wild proposition
Delivery,The swaying was a little distracting and so was looking at the notes and trying to change slides ect. could be fixed with more rehearsal.
No,The slides moving while she is talking is slightly distracting
No,Lots of changes in power point - to many points to draw attention to
No,"Not much writing on slides, just photos which means that the slides are not dividing the audience' attention from the speaker"
No,outlined what she was gonna talk about
No,"They are very effective visual aids- simple, easy to understand, minimal"
Delivery,saying is annoying
No,The introduction is interesting and creates the talking points of the speech
No,Stand out words
No,"many visual aids used. Simple slides, which add to keeping speakers content engaging, which without it would not be so."
No,simple and effective aids
Delivery,pauses
Delivery,Animation keeps people interested.
No,Good visual aid. Visualization
Delivery,Try to manipulate peoples thinking to make them think twice about their values and how they align - makes people more interested
No,too much going on.
No,good figure
No,Pretty cool
Delivery," - She keeps moving side to side, which is distracting.- Boring presenter."
Delivery,Analogy
No,Relate to media and their influence - use example that people know
Delivery,"Relates a part to 'Mad Men' which helps some audience members identify with material, whilst leaving others slightly confused as they cannot relate"
Delivery,Too much boring content
No,linked to the wider world.
Delivery,Swaying from side to side - off putting
Delivery,"Sways side to side a lot, a bit distracting. Also perhaps too much gesturing"
Delivery,sways her hips alot
Delivery,engaging finish
Delivery,"Could have a better posture, moves around nervously a bit"
Delivery,She is swaying side to side instead of standing at one point. This is becoming a distraction.
Delivery,Too much swaying
Delivery,Swaying
No,Great mind map and other visual aids
Delivery,She steps from side to side and it is extremely distracting.
No,same theme throughout
No,very visual that distracted from the talking
Delivery,Lots of swaying/side stepping which is quite distracting
Delivery,good use of varying voice to keep audience engaged
No,Nice simple slides
Delivery,She changes her tone to show enthusiasm.
No,Starts with an interesting title so that people are curious about what she's going to say.
No,Very good use of graphs to convey ideas
Delivery,very monotone
No,great visual aids
Delivery,"Blah, blah, blah, not enough variation in pace or tone"
No,Not a lot of connection between the visuals and the speech
Delivery,Changes in pace keep it interesting and emphasises points.
Delivery,"Walking around a little, meaning she seems like she is engaging with different parts of the audience"
Delivery,"Speech is fluent and well prepared creating further engagement, in addition to the original interest of the topic."
Delivery,"Blah, blah, blah"
Delivery,Personal opinion - makes it more interesting - more connection
Delivery,"Whilst clearly committed to her argument, her linguistic choices often reflect a timid approach which comes across as somewhat unreliable."
No,Uses two colours in visual presentation.
No,Graphic is very confusing to understand - draws attention away from point
No,Quite engaging visuals however potentially a bit busy and hard to fully take in dialogue
No,effective figures
Delivery,doesn't look at the audience much
No,No clear structure
No,No key point to follow
Delivery,Wild assumptions - get audience re-interested. Change of tone projects important point
No,"The presentation is clear, big and easily to visualize and understand for each point."
Delivery,"idk bout thiskinda got bored, as in like this is old news"
No,Tries to put your feet in the media's shoes
No,What is the point that the speaker is trying to convey?
No,power points are very effective
Delivery,"Not giving the audience much eye attention, keeps looking to the floor or to the side"
No,Relate points to reasearch
No,visuals were good though
Delivery,Make presentation via questions and pics
Delivery,Rhetorical question
Delivery,"Her speech is fantastic. One advantage though is the title too. The title of the presentation is already exciting. So, by speaking about it, she must make it more interesting. The way she decipher the topic one by one is in good order too."
Delivery,"Living in a false reality, (social media is not all about gender stereotyping)"
Delivery,Using the word 'lame' gives more emphasis to her point.
Delivery,"Her speech was relatable and told I story. My favorite part was when she talked about how advertising is now working on social media, because as a social media user I could relate. My take home from this video is that the audience will be more likely to be interested if you are relatable."
Delivery,"Engaging and well rehearsed speaker, clearly was confident in the topic. However dragged on a bit at the end."
No,Good use of statistics and she ensured the audience understood these statistics or facts by using personal examples
No,Through the visual representation was relevant to the points
Delivery,solid ending
No,The pictures she used helped to keep the audience engaged.
No,Good use of visual aids
No,Sucks to be a guy
No,references to TV shows are v effective
Delivery,"She spoke in a very conversational way, so it was easy to listen to and relaxed."
Delivery,"Speaker is trying to create gender stereotyping, not solve it"
No,"Use of power point effectively and simplistically to engage the audience with the topic, and how it is changing."
No,"There was quite a lot of visual aids, it was practically like a story"
No,Linking slidesTelling a story
No,"Great visual aids, but really hard to listen, being so fast paced"
No,This talk is interesting and the visual aids he employs are very strong however I felt a bit lost in the middle about what the point of his talk was
No,His powerpoint is really good.  It is really easy to understand quickly and doesn't distract you from what he is saying but still adds to the understanding of what he is talking about.
Delivery,tone makes it disengaging
No,GOOD: I thought the introduction and the conclusion were quite strong. The introduction started with an exclamation and the conclusion of encouraging the audience to be involved in the future.
Delivery,Monotone in speaking bored the audience
Delivery,Need to slow down a bit
Delivery,very engaging intro
No,Gives numbers meaning.
Delivery,Fun introduction.
Delivery,Boring beginning but makes it better by asking question. Talks about himself so not very relatable
Delivery,"Gets right into it- no ""hi my name is... and I'm speaking to you today about..."""
Delivery,talking very fast
Delivery,Not a very interesting intro.
No,Nice flowing powerpoint slides
Delivery,"Seems a little uncertain, repeats himself a little. Lacking in confidence??"
No,Starts by telling a story (grabs audiences attention)
Delivery, - Presenter does not make it clear at the start as to what he is talking about/his main points.- Didn't know the material that well.
No,"Very good use of visual aids, the moving diagrams and images allows us to picture the ideas he is talking about in his presentation."
No,Graphs are used create interest in the introduction
No,Clear start but not strong.
Delivery,Talks really fast - hard to understand
Delivery,"says uhh too many times already, it is very distracting"
Delivery,Rhetorical question keeps audience engaged.
Delivery,Used words that audience can relate to i.e. cool.
No,Visual statistics. Good method
No,good visual
No,Very easy graphics to understand
Delivery,Conservational tone making it disengaging.
Delivery,Speech is good. Use of change in tone to give emphasis
No,40% using internet in 2014
No,"Nice use of colours, attracts the audience."
No,Good use of statistics and visual aids. He connects the numbers with his point
No,Numbers are broken down and represented in a picture that are almost understandable without an explanation.
Delivery,Hes got a lisp. He sounds funny.
Delivery,"Spoke quite fast, at times difficult to comprehend."
No,clear and understandable figures
Delivery,Using statistical numbers to reinforce the idea
Delivery,Makes good use of gestures and body and positive language.
Delivery,Speaks a little too fast and is very fidgetty with his movement. Stance is good.
No,"awesome slide animations, makes you want to watch it."
Delivery,"easy going, friendly presentation that keeps you engaged"
No,"Very engaging, simple but informative and visually appealing graphics"
No,Lists examples to back up his opinions
No,"Advantages and disadvantages, looks at both view points"
No,Words where too small and too compact to read.
No,Good graphical images should be used
Delivery,Variation in voice
Delivery,Speak slowly and clearly
Delivery,no idea what he's talking about
Delivery,Too much variation in voice (sometimes too loud / sometimes too quiet)
Delivery,Talks very quickly at points which distracts from the message.
Delivery,talking fast
Delivery,"keeps losing his stance and pacing, also using hand gestures that aren't necessary"
Delivery,Hand gestures are a little distracting and he's speaking too fast to fully take in what he's saying
No,"Uses animations to display the data he wants everyone to see, very effective"
Delivery,"The speaker seems nervous; he talks fast, stammers at times, moves around a lot which deters from what the speaker is saying."
Delivery,Shoulders too high (causes him to speak too quickly)
Delivery,"His passion is obvious when he talks due to his tone, gestures and general confidence and enthusiasm. This makes listeners want to be enthused."
Delivery,speaks too fast no change in tone
No,High quality graphics
No,"Moved around too much, which was distracting. But his slides were simple and effective and provided good video aid. I should try to make my slides similarly effective."
Delivery,what a twitchy guy- passionate though
Delivery,Bad- stuttering and using words like umm.
No,"Although he covers too many topics at a time, the variety means he can connect with more audience members. Not very structured talk"
Delivery,"uses um, no silence"
No,"His body posture looks uncomfortable and uneasy, which gives a bad vibe to the presentation."
Delivery,"Mumbles / ah, ah ,ah (should just pause to regather his thoughts)"
Delivery,His tone of voice and his speech clarity was poor. He tends to stutters and seems like he is not confident on his presentation
Delivery,His volume is changing quite often and he's talking quite fast.Makes you think that he's not 100% comfortable or confident
Delivery,I feel that the presenters voice is some what illegible and perhaps he hasnt practised it enough?
Delivery,He is very passionate about the topic which is evident and captivates the audience
Delivery,not a very clear delivery
No,does not make clear points
Delivery,Shows the speed of voice
Delivery,Great posture and speed
Delivery,"Slightly hard to understand the speech, however he presents confidently and has an effective use of the 5 s's"
No,I enjoyed his visuals because of the simple nature and fun to look at with bright colors
No,Visual aids helping to keep interest.
No,Warnings to the public or risks and benefits
Delivery,Excitement and enthesis
Delivery,Change in tone
Delivery,too much arm movement
Delivery,It is obvious he was unrehearsed for this speech as he stuttered while trying to remember correct lines.
No,"The visual aids are clear and simple, and add interest to the speech."
Delivery,"Has uhms and ahhs, not enough silence!"
No,nice and simple good imagery
Delivery,well delivered point
No,No clear structure to the speech. Points are not fluid and hard to follow.
No,Too many colours in presentation.
No,Pictures
No,"Very engaging, use of correct and appropriate visual slides."
Delivery,"good, makes it relatable to to the audience by talking about what they know and including them, saying we"
Delivery,"Calm, collected and enthusiastic. Clear speaking and therefore keeps the audience focused"
Delivery,needs to slow down in this section
Delivery,The pace is quite fast and he is a bit stuttered.
Delivery,could take more pauses in speech
Delivery,Speaks in an unusual manner
No,Slides are crisp and clean with the same style throughout. They aren't distracting but give power to the words being said.
Delivery,boring
No,effective slides with sufficient information without making them too distracting
