Participant's ID,STRUCTURE Pre Test,DELIVERY Pre Test,VISUAL AIDS Pre Test, ATTRIBUTES of presentations Pre Test,Post Test 1,Post Test 2
CR1,I'd like to give you an overview of,"Let's focus on …', 'I want to highlight …', 'Pay attention to …', 'Let's look at …', 'I want to briefly address …', or 'Now, let's discuss","overhead projectors, PowerPoint presentations, and interactive boards.","should have a good subject matter, should match with the objective, should best fit the audience, and should be well organized.",STRUCTURE,VISUAL
CR28,I'd like to give you an overview of.,None,None,None,good,good
CR42,I'd like to give you an overview of...,"Let's focus on …', 'I want to highlight …', 'Pay attention to …', 'Let's look at …', 'I want to briefly address …', or 'Now, let's discuss",Let's focus on,"should have a good subject matter, should match with the objective, should best fit the audience, and should be well organized.",DELIVERY,STRUCTURE
CR23,"index, introduction , background, facts","sections, eye contact with audience , strategies, timeline","Clear, simple, appealing, transition","Naturalness, storytelling, Knowledge, Outline presentation",simple and short introduction and send a clear main message to targeted audience,"Presenter is passionate about topic and takes charge, words flow seems naturally"
CR26,"intro, body, conclusion, supporting details, beginning, middle, end","tone, attention, organization, standing, seated","graphs, illustrations, picutres, video","energy, goal oriented, informative",make sure that you are passionate about what you are speaking about that you can transfer that passion and enthusiasm to your audience.,Visual aids can help your audience to actually hear you better.
CR13,"intro, body, main points, conclusion, questions and answers","tone, cadence, speed","photos, videos, charts","knowledge, engaging, fun, interactive, short, long, informative",Be confident when presenting. Be relaxed and show some enthusiasm. Have a lot of energy and have good body language. No fidgeting and no hands in pocket.,Give a good summary of what you have talked about. Use signposting language in order wrap up and summarize what has been discussed. Allow for questions and answers as well. Thank the audience for their time.
CR21,"intro, content, conclusion","rhetoric, poise, confidence, visuals, clarity","colors, charts, graphs","persuasion, organization, direction","They way you speak makes a big difference. Speak confidently, naturally, and like it matters to you.",It emphasizes the need for a summary and indication that the presentation is concluding. It is important to the organization of the presentation. The audience is able to follow along easily.
CR60,Introduce the topic.,Use simple language,"Chart , Poerpoint","Inspiring, Competent",intellectual and emotional,"Attention of body language, Voice and tone."
CR48,"Introduction , Main points, Segmentation, Agenda, Conclusion","Pitch, Volume, Emphasis, Eye contact, Humor","Slides, graphs, photographs, Graphics, Captions, Logo","Relevance, Enthusiasm, Empathy, Credibility, Innovation","Orange ovals and Green oval denotes the difference in the chart, and it denotes the difference in value between them","Orange ovals and Green oval denotes the difference in the chart, and it denotes the difference in value between them"
CR57,Introduction main points header bullet points recap conclusion summary references q&a,pitch volume clarity dress visual and verbal communication closing remarks,slides graphs tables maps flip charts,impact coherence confidence credibility,clarity points references,segments introduction
CR8,"Introduction
Opening statement
Overview
Agenda
Objectives
Thesis statement
Main points
Subpoints
Body
Transition
Logical flow
Sequence
Order
Chronological organization
Categorization
Grouping
Topic sentences
Supporting details
Evidence
Examples
Visual aids
Graphs and charts","Verbal communication
Vocal tone
Pronunciation
Articulation
Pace
Pauses
Inflection
Emphasis
Clarity
Enunciation
Volume
Pitch
Intonation
Rhythm
Fluency
Body language
Eye contact
Gestures
Posture
Facial expressions
Movement
Stage presence
Confidence","Slides
PowerPoint
Keynote
Presentation software
Visuals
Graphics
Images
Photographs
Charts
Graphs
Bar chart
Line graph
Pie chart
Scatter plot
Data visualization
Infographics
Diagrams
Flowcharts
Process diagrams
Maps
Timelines
Tables
Bulleted lists
Numbered lists
Icons
Illustrations
Animations
Transitions","Clear
Concise
Engaging
Informative
Persuasive
Well-organized
Structured
Memorable
Relevant
Coherent
Comprehensive
Captivating
Visual
Interactive
Dynamic
Impactful
Thought-provoking
Professional
Credible
Well-prepared
Audience-focused
Tailored
Authentic
Entertaining
Educational
Compelling
Convincing","CONFIDENCE (related to DELIVERY):

Clear articulation and strong voice projection.
Steady and confident body language, including maintaining eye contact.
Conviction in delivering key points.
Engaging the audience with a self-assured demeanor.

NERVOUS (related to DELIVERY):

Acknowledging nervousness as a common experience.
Techniques to manage nervousness, such as deep breathing and positive self-talk.
Tips for calming nerves through preparation and practice.

STRUCTURE: These concepts can influence the overall structure of the presentation by shaping the narrative and the way information is organized and presented. For instance, passion and enthusiasm can drive a more engaging and dynamic storyline, while confidence can provide a solid foundation for a well-structured argument.

VISUAL AIDS: The speaker's confidence, nervousness, enthusiasm, and passion can be reflected in the use of visual aids, such as slide design and animations. Confident speakers may use visuals to reinforce key points, while enthusiastic presenters might employ vibrant and impactful visuals to evoke emotions.

PRESENTATION ATTRIBUTES: The presenter's attributes and emotions impact the overall impression of the presentation. A confident and passionate speaker can enhance the credibility and persuasiveness of the content, while effectively managing nervousness can contribute to a smooth and engaging delivery.","Based on the information you've provided from the video segments, here are the main points related to giving presentations and their focus on DELIVERY, STRUCTURE, VISUAL AIDS, and PRESENTATION ATTRIBUTES, along with the main concepts and their relationships:

**Video Segment 1 (CONFIDENCE - DELIVERY):**
- Main Concepts: Building confidence in delivery, maintaining steady body language, projecting a clear voice, engaging the audience, handling questions confidently.
- Relationships: CONFIDENCE in delivery impacts the effectiveness of STRUCTURE by providing a solid foundation for a well-organized presentation. It also influences PRESENTATION ATTRIBUTES by enhancing credibility and engaging the audience.

**Video Segment 2 (NERVOUS - DELIVERY):**
- Main Concepts: Acknowledging and managing nervousness, deep breathing, positive self-talk, preparing to calm nerves, utilizing nervousness as a source of energy.
- Relationships: Addressing NERVOUSNESS in delivery helps maintain a steady DELIVERY and contributes to a well-structured STRUCTURE by ensuring the presenter stays composed. It's also an important aspect of PRESENTATION ATTRIBUTES, influencing how the audience perceives the speaker's composure and authenticity.

**Video Segment 3 (ENTHUSIASM - DELIVERY):**
- Main Concepts: Conveying genuine excitement, using varied vocal tone, engaging the audience, infusing energy into the presentation, captivating the audience through enthusiastic storytelling.
- Relationships: ENTHUSIASM enhances DELIVERY by making it engaging and dynamic. It can influence STRUCTURE by shaping the narrative to be captivating. ENTHUSIASM is a significant aspect of PRESENTATION ATTRIBUTES, affecting how the audience connects with the presenter and the content.

**Video Segment 4 (PASSION - DELIVERY):**
- Main Concepts: Conveying deep emotional connection, authenticity, powerful language, inspiring through storytelling, capturing the audience's attention.
- Relationships: PASSION drives a compelling DELIVERY, shaping the STRUCTURE through emotional storytelling. It also strongly impacts PRESENTATION ATTRIBUTES by inspiring the audience and evoking emotions.

**Video Segment 5 (CONCLUSION - STRUCTURE):**
- Main Concepts: Ending the presentation, restating main points, reinforcing the central message, tying back to the introduction, summarizing key takeaways.
- Relationships: CONCLUSION is an integral part of STRUCTURE, providing closure to the presentation. It involves SUMMARIZING the key points, reinforcing the main ideas presented.

**Video Segment 6 (SUMMARIZE - STRUCTURE):**
- Main Concepts: Condensing information, highlighting main ideas, reinforcing understanding, focusing on relevancy, enhancing retention.
- Relationships: SUMMARIZATION supports STRUCTURE by providing clear transitions between topics and reinforcing audience understanding.

**Video Segment 7 (SUMMARY - STRUCTURE):**
- Main Concepts: Brief overview, capturing essence of presentation, highlighting key takeaways, reinforcing message.
- Relationships: SUMMARY contributes to the STRUCTURE by providing a succinct recap of the main content covered.

In summary, the video segments emphasize the interplay between DELIVERY, STRUCTURE, VISUAL AIDS, and PRESENTATION ATTRIBUTES. CONFIDENCE, NERVOUSNESS, ENTHUSIASM, and PASSION influence the delivery, which impacts STRUCTURE and PRESENTATION ATTRIBUTES. SUMMARIZATION and SUMMARY techniques contribute to STRUCTURE, enhancing understanding and retention. CONCLUSION provides a closing framework, summarizing key points and reinforcing the main message. All these elements work together to create a compelling and impactful presentation."
CR50,"Introduction
Precise
Coherent
Simple
Closing","Engaging
Authentic
Witty
Easy to follow
Appealing","Neat
Attractive
Careful choice and use of the colors
Design
Relevant images","Well paced
Interesting
On topic
Catchy
Impact
Length","Be authentic.
It should be relatable.
Be confident.
Engage the audience.
Keep practicing.
Don't get nervous in front of the audience.
Presentation style should be impressive.
Show enthusiasm and passion.","Be very well prepared for the presentation.
Don't get stage fright.
Be casual while giving the presentation.
Make careful use of visual aids.
Practice using signposting language.
Maintain the credibility.
Summarize the purpose effectively.
Remind the audience the key points of the presentation.
Conclude the presentation on a high note.
Thank the audience and invite them to ask questions."
CR45,"Introduction, Aim, Topic explanation, overview, conclusion","Content, Bold, clearness, reachable","simple, Drawings, graphs, formulas","Aim, Goal, Purpose","How to gain confidence and avoid nervousness, then handling questions and challenges","Purpose of communication,Audience response,Topic knowledge,handling questions"
CR3,"introduction, body, and conclusion.",Use appropriate gestures,"graphs, photographs, video clips etc used in addition to spoken information",Confidence. I know this seem fairly impossible at the moment but going into a presentation with confidence really helps to sell it to your audience.,"visual materials, such as pictures, charts, and diagrams, that help people understand and remember information shared in an oral presentation.","visual materials, such as pictures, charts, and diagrams, that help people understand and remember information shared in an oral presentation."
CR46,"Introduction, body, greeting, conclusion","volume, confidence, cadence","signs, PowerPoint, projector, index cards, cue cards, teleprompter, podium, pointer","informational, nerves, sweat,","The videos that I saw were mostly about delivery, they mentioned that I needed to be confident, seem into what Im talking about which they called enthusiasm, one was about not being nervous but I feel like thats the same thing as being confident. The passion one was kind of strange, it felt too short of a time for him to really say much or get anything across because he was being passionate, that also made him take longer.",These were about structure as the main point. They mentioned that the conclusion is very important and briefly touched on visual aids and that visual aids can be useful at all steps of a presentation as they can help visual learners stay tuned in and absorb what youre saying. There was more specialized part of the conclusion a bit more and spoke about summarization. That you need to go over your main points quickly and then transition into the end phase of your presentation. They mentioned key points and how they are useful to transition into the end of a presentation. They gave basic advice on how to conclude presentations overall.
CR36,"Introduction, Content, Conclusion, Q&A","Sound, gesture,","Graphs, Diagrams, videos","Clarity, Time","Enthusiastic, delivery time",Summary is also important
CR40,"Introduction, main focus, engagement","Flows well, transitions, does not deviate from focus","Graphs, charts, pictures","Concise, easy to digest, not cluttered","Confidence, natural authenticity, relaxed, enthusiasm, body language, dynamic tone","Conclusion, visual aides, enthusiasm, summarizing, engaging the audience"
CR5,"Introduction, outline, main points, slide design, recap, body, agenda","speaking pace, tone, volume, nervousness, facial expressions","slides, images, icons, graphics, illustrations, timelines","structure, impact, clarity, engagement","My biggest takeaway from the presentations is confidence and delivery are crucial for maintaining the audience's attention. Confidence, enthusiasm, and passion are the main concepts mentioned, and these three all relate to the bigger picture- which is giving a presentation that will teach and keep people engaged.","It's important to provide clarity to the audience and remind them of the content being presented. My biggest takeaway was the importance of summarizing, as tha treminds the audience."
CR17,"Introduction, Project Information, Conclusion","Verbal communication, Non-verbal communication, Assistant","Slides, Microphones, Smart screens","Time, Number of participants","Confidence, Enthusiasm, and Passion is vital to giving a great presentation. Confidence can be achieved by being relatable to the audience and practising the presentation numerous times. Energy of the presentation is equally important. Proper body posture and presentation style are necessary to give an enthusiastic presentation.",Use visual aids to summarize the key points of the presentation. 2 way communication is absolutely necessary. Thank the audience at the end and invite them to ask questions. Sign posting language can be used for an effective presentation. Highlight the pros and cons of the presentation. Start on a high note and end on a high note.
CR6,"Introduction, structure of the presentation, theme","Eye contact, smiling face, clear explantion","Clarity of data, using diagrams","Less fear, no tension, no frustration","confidence, reliable data, formatting the content, style of presentation, facing questions, passionate about presentation.","Importance of conclusion, casual and conversational way of explanation, summarizing the main points, thanks the audience, conclusion, brief rundown, brief summary"
CR41,"Introduction-Purpose and structure of presentation, Body- Main points you need to present, conclusion- Highlighting the significance of presentation.","Preparation, organizing, designing,rehearsing, delivering,handling questions","PowerPoint, infographics, bar graph, pie chart, google slides, white board, video","Passion, knowledge, naturalness,clarity, organisation","Delivery-confidence, nervous, enthusiasm,passion
Structure-summary, conclusion
visual aids- slides, graphs, white board, video
presentation attributes-Knowledge, naturalness, passion","define the presentation, strategy, communication, familiarizing with the expectation of audience, brief and clear, motivate people, complete knowledge of the topic, getting rid of phobia,grasping attention of audience"
CR30,"it is a main part of project , it is very useful to complete project",it is very clear about the data,it is easily understand everyone,it is must of every project,it is very clear about the project it is very useful to understand everyone,it is also very deep relation of all attributes
CR7,"lecture, question & answer",speech,"PowerPoint, slides, poster",engaging,"When giving a presentation it is important to be relatable, authentic, relaxed, enthusiastic, and passionate. You can gain confidence from practicing and should pay attention to your energy, body language, and tone of voice.","It's important to end by giving a conclusion that summarizes the presentation to reinforce your main points. Using signposting language is a good way to lead into a conclusion. You should thank the audience and invite them to ask questions and employ a conversational method to keep the audience engaged. Visual aids such as PowerPoint, graphs, and whiteboards also help to keep the audience engaged."
CR49,Main SRRUCTURE of presentation was show detail short and easy conclusion summarizing and main point highlight.,Delivery presentation was easy convey for a natural audience.,Visual aids presentation was easy cover for un knowledge person. It more short and extra visual detail .,"ATTRIBUTES for simply knowledge , passions, Naturalness and content clarity.",Main point was DELIVERY a Presentation.,STRUCTURE
CR54,"Most of all key points are used to present and also using images, graphs and charts for easy to understand. Highlighted the important point. Commonly using color change and bold option.",I was detailed explanation was provided to the key points. Also provide detailed data and real time example to easy to understand.,Most of time I was use visual aids to provide easy to understand.,Most of all explain the details and images are used to understand clearly about my presentation.,Delivery,Presentation Skills & structure
CR18,"opening, closing, visual aids","note cards, microphone, speaking to audience","PowerPoint, projector, big screens,","brief, one person or a team, speech,","confidence-people will not listen to someone who is too stern or looks too nervous, like they are unsure of what they're talking about; you should be somewhere in the middle; be relaxed and practice the material a lot in front of your friends to get feedback; be excited about the subject matter, and use the right body language-don't lean too much to either side, and don't speak in one flat tone","you should end the presentation on a high note the same way you did the introduction-use signpost language like in conclusion to let the audience know you are giving a summary; you could say here are the three main ideas, explain what they are again, and summarize what the most important ideas are; you can use visual aids like PowerPoint or a whiteboard with markers for people who learn better with signs"
CR16,organization outline sections introduction results discussion,tone expression volume eye contact confidence,charts slides white board,bold clear concise meaningful informative collaborative thought provoking,"make the audience relate to you, have confidence that you are an authority, don't be nervous and know you are an expert on your subject area","you need to have very good visual aids and be a confident presenter, summarize the main points and encourage questions. Summarize the key information and have a conclusion that ties everything together."
CR20,"organization, order, logical","persuasiveness, charisma, interest","enticing, interesting, captivating","enticing, interesting, captivating","don't be nervous, confidently talk about what you care about, have an energy that makes people care about what you're saying, relate to the audience, etc., do all this to basically make people interested in what you're presenting","basically, reword everything you said in a way that can remind people of the main points in the most persuasive, captivating way"
CR10,"organized, flow, finesse","forceful, clear, concise","clear, organized, colorful","organized, interesting, helpful","help audience engage, be relatable, be authentic, be enthusiastic, build confidence with practice, exhibit energy and enthusiasm, pay attention to body language and modulation, main concepts are confidence, nervous, enthusiasm, and passion, these interact to form a coherent presentation","casual and quality insurance, cope with stage fright, summary and conclusion, signposting language, maintain credibility, discuss pros and cons, main concept is that the presentation should be organized and engage the audience, these are related in a casual manner"
CR27,"ou can use phrases such as 'Let's focus on …', 'I want to highlight …', 'Pay attention to …', 'Let's look at …', 'I want to briefly address …', or 'Now, let's discuss …. ' You can use these phrases after your sequencing words to help you with your structure.","The message or messages are delivered by the presenter to the audience. The message is delivered not just by the spoken word (verbal communication) but can be augmented by techniques such as voice projection,","What is a visual aid used for? A visual aid is typically used to help an audience understand and remember information in a presentation. It can also be used to maintain an audience's attention, inspire listeners to action, clarify the organization of a presentation,","The main purpose of presentation is to give information, to persuade the audience to act and to create goodwill. A good presentation should have a good subject matter, should match with the objective, should best fit the audience, and should be well organized.","DEFINITION: Main points are the major divisions of the body of a presentation. Each main point introduces one idea, or makes one claim, that helps to advance the central idea (thesis) of the presentation. LIMIT the number of main topics in the body of the presentation. Develop between two to five main points.","All types of presentations consist of three basic parts: the introduction, the body, and the conclusion. In general, the introduction should be about 10-15% of your speaking time, the body around 75%, and the conclusion only 10%."
CR24,outline,"annunciation, projection","slideshow, graphs charts",dynamic,Delivery. Using confidence and passion to give a presentation with practice.,Delivery. This is about using conclusions with summaries to end presentations and remind your audience of what your presentation was about.
CR59,"present, opening, conclusion, slideshow, PowerPoint","loud, confident, informative, intelligent","pictures, graphs, charts, PowerPoint","quick, informative, smart",The main point was that you have to show people that you believe what you are saying.,Understand how to structure your presentation.
CR43,Project Green,Making Environmental Pollution free from Planting Trees,Videos Making on Farming or Tree Plantation in Urban and Rural Areas.,Eco Friendly and Green Revolution,"Narration of particular segment, Presentation Skills on the area we speak, Description of the video on a particular Issue, Engage the audience with communication when you speak audible and stress the key words to engage them.","key information summary signposting language using main points. brief presentation that can engage the audiencem, maintan credibility, conculde on high note."
CR19,"Purpose, Talk and Conclusion
","Consideration, Memorize and Languages","projectors, presentation applications, and whiteboards.","Topic, Outline and Practice",Video Presenting,make a video
CR14,"technology, PowerPoint, audience","speaking, information, question and answer","PowerPoint, graphs, charts, pictures","clear, well spoken, informational","confidence is important, being nervous is a normal thing, visual aids help with the topics presented, presitation is as important as the content, you need to have a passion for the topic being discussed","graphs are useful for people to learn the material, summarize the main points of the presentation and tell them to the audience, use sign posting language to show you have reached your conclusion, using a summary reinforces main points"
CR11,"The structure of presentation is the main part of a presentation where we should have the introduction part, complete description and at last conclusion of the presentation.","The way we can able to deliver it to the audience and how much they able to grasp, the skill of delivering the presentation is depends on the experience of the candidate who going to deliver it.",Visual aids is the way it was visually designed and attract the audience.,"The presentation should have clear objective, why it was prepared, what is the purpose of it, have all useful information related to it and should be beneficial.","The introduction part and the description of the presentation has very clear focus on audience, here the presentation delivered on a right manner, with clear structure and visual aids and presentation attributes. All the aspect of presentation was delivered rightfully and it has beneficial effect on audience.","The main point is the impact of presentation and it's memorability related to it, as the video segment was automatically captured from youtube using algorithm."
CR15,"The structure of presentation represents the entire requirement, why it was prepared and conclusion of it.","The delivery of presentation is depends on the experience of the candidate who is delivering it, and the medium used to deliver it.","The diagrams, pictures, charts which are inserted in the presentation make the visual aids more attractive and visually clear.","The objective, why it was prepared, the target audience, and usefulness all comes under attributes of the presentation.","The confidence, nervous, enthusiasm and delivery of the presentation skill was good to go, it has all the aspect and related information available so that the audience get benefited from it.","The conclusion and summarizing presentation was good enough which have positive narrative in this presentation, as it has directly linked with youtube algorithm which impacted with positive skill of presentation."
CR61,"The structures are the starting content, main content and conclusion of the point.",The pictures should be very attractive and avoid unnecceasary activities.,"Add some photos, videos and bullet points of the content.",It should be explained very clearly and effectively.,The main point to explaining the content is to understand in a sequential manner. It should be very clearly understandable.,It should be very manually explaining the presentation. The structure and visual aids are very important to explaining the content. The visual aids are presenting very attractively to understand the theme of the content.
CR58,"Thesis, Main Point, Summary","Audience, engagement","Graphs, Charts, Diagrams, Audio Video Photos","Organization, Structure","Delivery, Visual Aids, Structure and Presentation. I feel like the delivery and visual aids were part of the structure and presentation. Without any of these elements the presentation would not be as complete. I felt high confidence in the first video and last video and less so in the rest.",The delivery and structure felt like the strongest points in these videos as they felt related the strongest. Visual aids were helpful in really only one video although they were mostly provided in all videos.
CR47,"TITLE, SUBJECT, CONTENT","GREETING, PRESENTATION, COMMUNICATION","PICTURES, CHARTS, DIAGRAMS","CONFIDENCE, KNOWLEDGE, CLARITY",Be confident. Don't be nervous. Be enthusiastic,"Checklist, Conclusion, Summery"
D36,", garages, storage buildings, play houses, gazebos, and the like) fence, dock, pier, retaining wall,",ensures that products are delivered on time and in the proper condition.,"photographs, infographics, diagrams, videos, and data charts and graphs, such as pie charts and bar charts.",used to style SVG elements and can be used as CSS properties,the key pieces of information or arguments contained within the talk or presentation,"pictures, charts, and diagrams"
D69,"A structure can be a skyscraper, an outhouse, your body, or a sentence. Structure is from the Latin word structura which means ""a fitting together, building."" Although it's certainly used to describe buildings.",ensures that products are delivered on time and in the proper condition.,"photographs, infographics, diagrams, videos, and data charts and graphs.",used to style SVG elements and can be used as CSS properties.,DELIVERY,STRUCTURE
D1,ads,asd,ads,ads,yes,visual ads
D45,"an introduction detailing the purpose and structure of the talk,a body covering the main points, and a conclusion summarising and highlighting the significance of your talk.","Smile,Take a deep breath,Speak clearly,Speak at an even pace

","projectors, presentation applications, and whiteboards.","Credibility,Memorability,Visual appeal,Professionalism,Audience-focused,Informative",the key pieces of information or arguments contained within the talk or presentation.,the key pieces of information or arguments contained within the talk or presentation.
D58,an introduction detailing the purpose and structure of the talk; a body covering the main points; and a conclusion summarising and highlighting the significance of your talk.,"impromptu, extemporaneous, manuscript, and memorized.","Common technologies used to share visual aids include projectors, presentation applications, and whiteboard",A good presentation should be concise and should be focused on the topic. It should not move off-track.,"The main points of any speech are the key pieces of information or arguments contained within the talk or presentation. In other words, the main points are what you want your audience to remember.","Main points are not intended to stand alone. Instead, speakers must back up their main points
by offering up examples, statistics, facts, anecdotes, or other information that contribute to the
audience’s understanding of the main points. These are sub-points, which are used to help
support the main points. 
"
D71,an introduction detailing the purpose and structure of the talk; a body covering the main points; and a conclusion summarising and highlighting the significance of your talk.,"Use commas to separate independent clauses when they are joined by any of these seven coordinating conjunctions: and, but, for, or, nor, so, yet.","Use commas to separate three or more words, phrases, or clauses written in a series. Example: George traveled to Spain, France, and Germany. Use commas to separate two or more coordinate adjectives that describe the same noun.","Use commas to separate three or more words, phrases, or clauses written in a series. Example: George traveled to Spain, France, and Germany. Use commas to separate two or more coordinate adjectives that describe the same noun.","Visual aids are visual materials, such as pictures, charts, and diagrams, that help people understand and remember information shared in an oral presentation. When giving a speech or presentation, a speaker communicates information orally.",The main points of any speech are the key pieces of information or arguments contained within the talk or presentation.
D59,"architecture, construction, design","transmit, give, transfer","visual structure, visual interconnected","visual film, webminar, seminar",There are several transitions and slides which is used to deliver a presentation in a particular styles for that one can use photoshop. It takes work and forethought to use PowerPoint well. Break down the previous slides into minimum essential components. use structures to build an ideas. use visuals are the common way and 65% of people are visual learners,"checklist for an effective presentation, using different kinds of visual aids such as PowerPoint using graphs, whiteboard with marker pens, sounds, use visual aids to the presentation. Audience attention increases as you signal the end of the talk"
D62,"arrangement, apparatus","transfer, collection","flipchart, projectors","aspect, train",explain the content in a simple way and also doesn't make fancy transitions,Be clear about your presentation and create an effective presentation and use visual aids to aid the presentation
D57,"arrangement, apparatus","transfer,collection","flipchart,projectors","aspect,trait",Explain the content in a simple way and also don't make fancy transitions,be clear about your presentation and create an effective presentation and use visual aids to aid the presentation
D24,"arrangement, construction, design","Transport, Carriage, Export","Picture, figure, sketch","Topic, slides, Speech",Good thinking for association,Project the presentation very well
D61,"arrangement,apparatus","transfer,collection","flipchart,projectors","aspect,trait",explain the content in the simple way and also don't make fancy transitions,Be clear about the presentation and create an effective presentation and use visual aids to aid the presentation
D47,building,service,Flip chart,"aspect.
",VISUAL AIDS,STRUCTURE
D33,"building, edifice, house, construction, hut, cottage, cabin, shed",ensures that products are delivered on time and in the proper condition,"photographs, infographics, diagrams, videos, and data charts and graphs, such as pie charts and bar charts","Important qualities of a good employee and candidate include teamwork, willingness to learn, communication, self-motivation,",delivery,delivery
D37,"Clarity, Structure, Content, Relevance, Organization, Flow, Coherence, Logic","Presenting with authority, Engaging storytelling, Vocal dynamics, Charisma, Authenticity","Slides, PowerPoint, Keynote, Presentation software, Graphics, Images","Slides, PowerPoint, Keynote, Presentation software, Graphics, Images, Charts","Outline, Framework, Organization, Format, Sequence","DELIVERY, STRUCTURE, VISUAL AIDS, PRESENTATION ATTRIBUTE."
D22,"CONSTRUCTION, ARRANGEMENT, ERECTION, FRAMEWORK, CONFIGURATION, ASSEMBLY, GEOMETRY, FRAME",BETTER PRESENTATION,NICE,WELL PRESENTATION,PRESENTATION ATTRIBUTES,VISUAL AIDS
D9,"Contending that the coordinating conjunction is adequate separation, some writers will leave out the comma in a sentence with short, balanced independent ...",Adding a comma after the first sentence and changing “I said” to “saying” is the most effective way to combine sentences 2 and 3. Option A is incorrect.,"Use a comma to separate three or more words, phrases, or clauses written in a series. (A comma is necessary before the last 'and.') Example: The Constitution ...","Welcome to IconLogic's Blog, where we share insight on Camtasia, PowerPoint, eLearning & mLearning, and Adobe's Captivate, FrameMaker, Acrobat & RoboHelp.
",the key pieces of information or arguments contained within the talk or presentation,the key pieces of information or arguments contained within the talk or presentation
D60,epithet,consignment distribution shipment,they can increase the audience understanding,presenting or making,delivery,structure
D31,"France, and Germany","France, and Germany","France, and Germany",NICE,AIDS,VISUAL
D13,"George traveled to Spain, France, and Germany.","George traveled to Spain, France, and Germany.","George traveled to Spain, France, and Germany.",nice,aids,5
D4,"George traveled to Spain, France, and Germany. Use commas to separate two or more coordinate adjectives that describe the same noun.","While a period ends a sentence full-stop, a comma is a smaller, softer pause. It can separate words, clauses, or ideas within one sentence.",Use commas to separate “too” from the rest of the sentence when it can be replaced by the word “also.” .,"Whenever you have two complete thoughts (Independent Clauses) joined by a Coordinating Conjunction, you must include a comma",NOTHING,DELIVERY
D27,good,nice,very goodq,none,"The main points of any speech are the key pieces of information or arguments contained within the talk or presentation. In other words, the main points are what you want your audience to remember.","The main points of any speech are the key pieces of information or arguments contained within the talk or presentation. In other words, the main points are what you want your audience to remember."
D48,GOODTHINK,DEIVERY IS GOOD JOB.,VISUAL AIDS IS ARE THINGS THAT YOUCAN LOOK AT SUCH AS A FILM,ATTRIBUTES IS A QUALITY OR CHARACTERISTIC THAT SOME ONE OF PRESENTATION,GOOD HITS,VISUAL AIDS STRUCTURE DELIVERY PRESENTATION ATTRIBUTE
D23,I HAVE VERY PLANNED TO EXPERIENCE IN THE PROJECT. THE STRUCTURE IS VERY IMPORTANT IN THE COMPANY.,THE DELIVERYIS VERY IMPORTANT AND EXPECTED IN THE SOCIETY.,THE VISUAL AIDS IS VERYCLOSED AND USED IN THE SOCIETY AND EXPECT TO THE PRESENTENTED.,THE PRESENTED IS VERY WONDERFUL AND CLOSED IN THE PERSON. I HAVE VERY PLANNED IN THE SOCIETY.,DELIVERY ANDATTRIBUTES,VISUAL AIDS
